"gene","Prostate Adenocarcinoma Acinar Type-Prostate Adenocarcinoma  Other Subtype","mean-Prostate Adenocarcinoma  Other Subtype","mean-Prostate Adenocarcinoma Acinar Type","SEM-Prostate Adenocarcinoma  Other Subtype","SEM-Prostate Adenocarcinoma Acinar Type","Q1-Prostate Adenocarcinoma  Other Subtype","Q1-Prostate Adenocarcinoma Acinar Type","Q3-Prostate Adenocarcinoma  Other Subtype","Q3-Prostate Adenocarcinoma Acinar Type","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.587722888994495,391.639293333333,376.784771681416,26.1228839479843,4.91172818732187,295.4856,307.414375,490.62955,430.444225,311.584713461538,377.937813078471,301.11035,366.0629,250.318625,352.05255,307.2579,433.9623,12.9030917618845,4.69462070130282,1.21295364230095,1.2157101208909,0.278524413359866,0.28179926742562,"PRAD"
"ZNF263",0.84951493031148,838.10894,828.446743584071,42.2136683502053,9.1623998848481,728.84035,696.177025,946.1863,923.65785,700.941219230769,832.701676056338,663.6972,794.535,630.724075,743.940275,703.7676,933.2941,17.2913925514542,8.84717306069825,1.18797647108008,1.19713477772695,0.248506262576188,0.259585585207338,"PRAD"
"ZNF200",0.237088828630718,197.122133333333,181.553939159292,17.7557647759193,2.32434857988663,158.72855,147.9864,209.50515,208.46505,166.445811538462,183.091236820926,163.50865,176.2144,138.61105,179.36985,148.9325,208.5745,4.76664311086876,2.26779150403296,1.1000050714921,1.07770689807542,0.137510175204146,0.107964864370918,"PRAD"
"ZNF582",0.25820544834838,93.7620066666667,85.5087050884956,8.22674914470193,1.30022912795977,73.06915,69.473725,101.1783,97.89065,74.0681557692308,85.5970426559356,72.7837,82.4842,60.365425,85.019725,69.4651,97.9163,2.92112159353411,1.24638789397961,1.15565240914901,1.13327846756898,0.208707537108685,0.180502401686947,"PRAD"
"ZNF285",0.522257495410708,113.645906666667,120.542854646018,8.38754738914704,1.94145017240922,90.52005,90.9471,134.4264,140.92245,81.9690423076923,120.06252917505,77.25245,115.4213,63.385725,94.19605,89.6694,139.7059,4.81204848067088,1.83444140360592,1.46473016879182,1.49407947579656,0.550634917206916,0.57925689263045,"PRAD"
"ZNF275",0.0907505199494122,859.439246666667,971.206383849557,66.5072005366163,11.8085073155843,661.99195,817.9878,1025.25165,1124.99445,1119.63438846154,967.479532394366,867.32745,956.7142,705.3537,962.889625,809.9768,1123.3553,113.661980560466,11.299550159077,0.864103087905111,1.10305998040302,-0.21072465803371,0.141511241588639,"PRAD"
"ZNF37A",0.395216764886928,469.37356,504.578140929204,40.2633445701881,7.41667263048312,359.8798,399.730225,572.37555,613.303375,476.038215384615,502.553475251509,479.1218,505.7682,388.282425,546.700975,397.8076,609.7804,16.9848639121554,6.98253011515495,1.05569985562077,1.05561508576734,0.0781997226160682,0.0780838734409022,"PRAD"
"ZNF510",0.304137661223653,286.770226666667,313.157401769912,24.736849470736,4.59979589829552,242.8302,254.36535,338.51155,365.5625,337.329730769231,310.519709859155,330.88445,306.8482,275.49935,389.702875,254.0926,363.353,9.93476786290642,4.32607255559716,0.920522804648913,0.92735757150268,-0.119474632142854,-0.108802372900961,"PRAD"
"ZNF506",0.714216549376434,496.129386666667,486.16825420354,26.5177563643717,4.8733514252039,430.3693,412.44935,532.545,552.584275,446.441955769231,486.6108861167,443.8917,476.2316,398.40155,493.256025,412.5279,554.0821,11.0272432318645,4.69989420635819,1.0899757064236,1.07285538341897,0.12429598031158,0.101455619724071,"PRAD"
"ZNF324",0.429591027707666,186.514226666667,195.234662168142,12.581971296992,1.96627947214004,158.32675,165.9457,207.1697,221.34075,191.863507692308,196.36760221328,192.7537,193.6855,166.4074,215.264975,167.6906,221.9048,5.44226384586556,1.9667663214729,1.02347551431299,1.00483414844955,0.0334765876551425,0.00695739896168579,"PRAD"
"ZNF671",0.14108797778253,175.891906666667,147.915982300885,18.553585302609,3.40157691586269,143.48095,96.522725,219.66835,195.812025,196.081851923077,147.816096780684,192.23235,148.5116,150.418,233.608025,96.4028,195.507,9.50175672535872,3.28086863942044,0.753848942831652,0.772562994730075,-0.407652631420863,-0.372275519825926,"PRAD"
"ZNF416",0.359440042409409,129.062046666667,122.159189823009,7.11366223712456,1.35021140325533,113.80595,103.230425,138.7591,138.1304,129.085307692308,122.079900402414,129.61255,120.5273,114.3006,143.766775,103.8534,137.0952,3.68054944609083,1.30525696201831,0.945730405612143,0.929904550138085,-0.0804991141958829,-0.104845456203844,"PRAD"
"ZNF586",0.58352047111015,215.37954,207.329322123894,11.0097314415056,2.64675867775287,181.69755,167.82355,239.06475,238.481425,222.487594230769,208.582176257545,219.40485,198.2627,181.6991,251.01595,168.5966,239.4458,7.84472153760186,2.53893100969508,0.937500254693748,0.903638638799461,-0.0931090124497678,-0.146182134456753,"PRAD"
"ZNF446",0.756152566995221,494.622973333333,480.245211725664,37.9975510420336,8.33189649350235,405.21275,366.07365,563.40115,539.087225,359.145719230769,481.614602816901,347.1885,443.5761,307.78795,414.523025,371.2755,543.3128,10.0397494196938,7.82498497621691,1.34100053830083,1.27762325077011,0.42330981636527,0.353462472922457,"PRAD"
"ZNF8",0.973044638195316,65.09054,64.9125460176991,4.99212949746947,0.944603502248739,50.9013,50.541275,78.676,77.405175,62.6847865384615,65.528714084507,64.1132,62.5624,50.130075,73.823425,50.8985,77.1447,2.51576827692661,1.02976597677687,1.04536870432351,0.975811533350387,0.0640118744419019,-0.0353255599641924,"PRAD"
"ZNF264",0.831020579749968,764.515266666667,776.119878982301,45.1397323212074,9.78412900129698,697.95595,663.10975,844.6752,905.4759,773.315288461538,774.838392957746,783.88765,772.4888,649.075275,912.55475,663.9065,894.2696,22.7023462196149,9.24289013528917,1.00196957763403,0.985458566670874,0.00283870527681558,-0.0211328800519498,"PRAD"
"ZNF213",0.906828007716262,628.547226666667,634.015030309734,60.6483664510159,8.27102589187695,493.02755,522.803,642.82615,718.496075,557.171709615385,635.458572434608,542.55785,613.8794,445.8226,652.798225,524.8741,718.3571,18.6545777293139,7.87194647270769,1.14050760558763,1.13145427717984,0.18967606743652,0.178178285516248,"PRAD"
"ZNF343",0.808697388343865,267.444026666667,263.865087610619,14.0219001916678,2.65066077026547,234.69335,228.0603,313.9135,293.589175,241.294719230769,264.281147484909,233.87055,258.4081,210.51505,274.027775,228.107,296.4371,7.23318014356227,2.52767017047055,1.09526287325068,1.10491936671804,0.131277171580085,0.143941090448773,"PRAD"
"ZNF302",0.721099315174333,663.4793,647.158647123894,45.529833740125,8.18521913033965,539.5508,525.002375,776.58125,733.1542,566.614211538462,647.27100362173,533.32675,634.3745,487.5361,645.74615,527.5946,734.6362,17.737308888317,7.83289500894702,1.14234869235678,1.18946686998168,0.192003088484633,0.250315089183167,"PRAD"
"ZNF268",0.547126499620455,326.432226666667,346.48688340708,27.8536350375117,5.99089738765988,279.5759,265.1186,407.92855,424.105075,433.898361538462,343.568557746479,449.0458,337.2598,358.72035,498.375825,266.2454,419.5584,14.4164585572596,5.60117819536119,0.791818057409337,0.751058800683583,-0.336759126486454,-0.413002233574213,"PRAD"
"ZNF184",0.580923007822437,216.2068,208.033571902655,13.8857640393729,2.65529779389191,177.49145,167.786725,265.13965,238.993775,201.933701923077,208.103810865191,201.016,206.5693,171.49515,226.118425,167.9956,239.3594,5.35374613944217,2.52869454985989,1.03055512221761,1.02762615911171,0.0434216736526687,0.039315520867512,"PRAD"
"ZNF500",0.000948445716326018,385.54798,310.645126106195,27.6126120443974,4.00041376841522,325.01475,257.82285,424.88265,360.271175,295.801978846154,314.001702615694,303.4533,307.047,260.873225,342.67235,259.4197,361.7415,8.30532495613513,3.86177684717762,1.06152671405557,1.01184267892292,0.0861406781208686,0.0169849975607242,"PRAD"
"ZNF419",0.00834496488745329,292.571353333333,236.709738938053,18.8557725835551,3.78938513895127,232.32135,178.319875,343.7148,282.320125,165.857865384615,240.326073038229,156.2173,227.0838,133.98675,187.411675,180.6002,285.5163,5.76169743154339,3.68509960394473,1.4489880988214,1.45364053789177,0.535045745452565,0.539670557898717,"PRAD"
