"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",5.51908413681801e-06,0.999770729050938,5.24345767405343e-06,367.13223125,429.418507619048,367.387842608696,8.44316220436065,11.1182921722601,7.2888536326901,313.4839,356.8655,308.7604,415.47295,491.4034,424.1847,311.584713461538,377.937813078471,301.11035,366.0629,250.318625,352.05255,307.2579,433.9623,12.9030917618845,4.69462070130282,1.21295364230095,1.2157101208909,0.278524413359866,0.28179926742562,"PRAD"
"ZNF263",0.0117054487107475,0.822108798642193,0.00160547904868191,780.229201785714,848.030228571429,766.514672173913,16.3592993941929,20.1341301514139,12.7019976212984,676.166375,721.4135,678.07035,836.068425,940.897,842.32175,700.941219230769,832.701676056338,663.6972,794.535,630.724075,743.940275,703.7676,933.2941,17.2913925514542,8.84717306069825,1.18797647108008,1.19713477772695,0.248506262576188,0.259585585207338,"PRAD"
"ZNF200",4.448663659673e-12,0.176239942791231,9.30116020869676e-08,169.647279464286,213.460099047619,180.003319130435,3.74799177279364,5.33178215521984,3.30690640834379,145.0687,175.8617,155.8001,191.018675,242.4938,202.2424,166.445811538462,183.091236820926,163.50865,176.2144,138.61105,179.36985,148.9325,208.5745,4.76664311086876,2.26779150403296,1.1000050714921,1.07770689807542,0.137510175204146,0.107964864370918,"PRAD"
"ZNF582",0.0239181323247755,0.000241345884350985,0.412206927046943,95.7708616071429,85.5253285714286,80.6107756521739,2.43073325958591,3.82345070210631,1.67083477026955,79.937425,62.9411,69.44605,107.97905,97.4325,89.4303,74.0681557692308,85.5970426559356,72.7837,82.4842,60.365425,85.019725,69.4651,97.9163,2.92112159353411,1.24638789397961,1.15565240914901,1.13327846756898,0.208707537108685,0.180502401686947,"PRAD"
"ZNF285",0.812666445667027,1.55371073127242e-05,0.000294725823854702,127.220398214286,123.957137142857,103.153083478261,3.91229328625369,4.13606328351361,3.11024668498078,99.022425,92.5926,85.6484,149.56495,151.4423,118.05375,81.9690423076923,120.06252917505,77.25245,115.4213,63.385725,94.19605,89.6694,139.7059,4.81204848067088,1.83444140360592,1.46473016879182,1.49407947579656,0.550634917206916,0.57925689263045,"PRAD"
"ZNF275",0.000156374377747737,0.0872198938260943,0.105210252468797,978.645502678571,1100.22372761905,1040.16402521739,20.9643355095437,23.5740219571636,17.8479343237719,820.8173,958.0168,923.2812,1096.248725,1218.4406,1139.61575,1119.63438846154,967.479532394366,867.32745,956.7142,705.3537,962.889625,809.9768,1123.3553,113.661980560466,11.299550159077,0.864103087905111,1.10305998040302,-0.21072465803371,0.141511241588639,"PRAD"
"ZNF37A",0.365616149963316,0.213934497412778,0.954919220736226,527.317751785714,553.503876190476,559.057046956522,13.3227066450348,14.8267071834541,12.493353043029,434.665325,459.8266,466.11535,616.9307,635.836,642.15725,476.038215384615,502.553475251509,479.1218,505.7682,388.282425,546.700975,397.8076,609.7804,16.9848639121554,6.98253011515495,1.05569985562077,1.05561508576734,0.0781997226160682,0.0780838734409022,"PRAD"
"ZNF510",0.00268753804258948,6.82774213313087e-05,0.663676118184902,308.4643375,347.590468571429,357.644289565217,8.10680694404701,8.85479977564778,7.68622919286678,262.4956,289.5858,297.01945,336.9657,408.2886,415.53545,337.329730769231,310.519709859155,330.88445,306.8482,275.49935,389.702875,254.0926,363.353,9.93476786290642,4.32607255559716,0.920522804648913,0.92735757150268,-0.119474632142854,-0.108802372900961,"PRAD"
"ZNF506",5.30275712229411e-10,0.0396694230381152,9.16680070566223e-05,456.591946428571,541.950606666667,487.556432173913,9.25402238497274,9.7410207639552,8.24938592943724,401.112925,474.0151,428.7074,499.056575,606.0259,528.10955,446.441955769231,486.6108861167,443.8917,476.2316,398.40155,493.256025,412.5279,554.0821,11.0272432318645,4.69989420635819,1.0899757064236,1.07285538341897,0.12429598031158,0.101455619724071,"PRAD"
"ZNF324",0.547290880891228,0.956157087035141,0.719288678675002,202.633694642857,196.270038095238,200.940808695652,4.97699899507849,4.21099533506317,3.4506601485427,170.874525,165.5695,172.4117,231.162975,219.125,223.53645,191.863507692308,196.36760221328,192.7537,193.6855,166.4074,215.264975,167.6906,221.9048,5.44226384586556,1.9667663214729,1.02347551431299,1.00483414844955,0.0334765876551425,0.00695739896168579,"PRAD"
"ZNF671",0.57060780745002,0.00282416453600509,0.0640965264528812,131.312767857143,141.010917142857,162.490902608696,7.49515232151829,7.30198244626155,5.24695998445893,62.30545,90.9149,119.3943,185.521575,186.2689,201.90705,196.081851923077,147.816096780684,192.23235,148.5116,150.418,233.608025,96.4028,195.507,9.50175672535872,3.28086863942044,0.753848942831652,0.772562994730075,-0.407652631420863,-0.372275519825926,"PRAD"
"ZNF416",0.0174603071983045,0.215608465790796,0.50606414993492,117.276289285714,128.707511428571,124.098919130435,2.94620207646239,3.73188085164225,1.93369236049158,97.094825,108.0332,110.7789,133.438725,142.5339,138.66535,129.085307692308,122.079900402414,129.61255,120.5273,114.3006,143.766775,103.8534,137.0952,3.68054944609083,1.30525696201831,0.945730405612143,0.929904550138085,-0.0804991141958829,-0.104845456203844,"PRAD"
