"gene","YES-NO"
"ZNF195",0.0856765636224267
"ZNF263",0.00210312699938453
"ZNF200",0.0133727909783309
"ZNF582",0.197084300033959
"ZNF285",0.117006027976931
"ZNF275",0.322293593934147
"ZNF37A",0.527984020334998
"ZNF510",0.828914566114296
"ZNF506",0.0194400830266429
"ZNF324",0.00509425017262921
"ZNF671",0.453641024759632
"ZNF416",0.571373423290151
"ZNF586",0.859581326684023
"ZNF446",0.358786266345322
"ZNF8",0.0140654134896629
"ZNF264",0.757676107731834
"ZNF213",0.109247252212577
"ZNF343",0.0677824687967473
"ZNF302",0.0401857001642111
"ZNF268",0.0580461488317238
"ZNF184",0.541139050445758
"ZNF500",0.0111312891698646
"ZNF419",0.00057662349458143
"ZNF175",0.322044346795933
"ZNF14",0.245091595875877
"ZNF85",0.0658897879536874
"ZKSCAN1",0.659539507472855
"ZNF862",2.64566338196159e-05
"ZNF684",0.581391925298645
"ZNF430",0.752001137528014
"ZFP30",0.00763720584574867
"ZNF549",0.104661569440851
"ZNF211",0.0871524296987503
"ZNF205",0.652946823171836
"ZNF45",0.829044641570345
"ZNF133",0.591258659187793
"ZNF436",0.987229246748817
"ZNF484",0.882071193264544
"ZNF780B",0.0779295616806024
"ZNF557",0.0376396048399766
"ZNF337",0.00168257598487231
"ZNF317",0.427781526177924
"ZNF426",0.61690433593092
"ZNF331",0.904948952860389
"ZNF227",0.216576140978743
"ZNF141",0.000725882129499533
"ZNF304",0.568378075662014
"ZNF132",0.366728560365655
"ZNF20",0.412768785874191
"ZNF670",0.12464164287232
"ZFP37",0.610728556125818
"ZNF189",0.580165313344503
"ZNF434",0.00370040325736065
"ZNF287",0.415293912841266
"ZIM3",0.19225191611887
"ZFP14",0.177584734901368
"ZNF473",0.34583473840051
"ZNF614",0.616067749990705
"POGK",0.125883780319345
"ZNF514",0.0126848973762412
"ZNF300",0.113358516899471
"RBAK",0.00369992030336053
"ZNF92",0.0214107485588795
"ZNF157",0.284918080415687
"ZNF182",0.168674168624722
