"gene","Distant Metastasis-Biochemical evidence of disease","Locoregional Recurrence-Biochemical evidence of disease","Locoregional Recurrence-Distant Metastasis","New Primary Tumor-Biochemical evidence of disease","New Primary Tumor-Distant Metastasis","New Primary Tumor-Locoregional Recurrence","mean-Biochemical evidence of disease","mean-Distant Metastasis","mean-Locoregional Recurrence","mean-New Primary Tumor","SEM-Biochemical evidence of disease","SEM-Distant Metastasis","SEM-Locoregional Recurrence","SEM-New Primary Tumor","Q1-Biochemical evidence of disease","Q1-Distant Metastasis","Q1-Locoregional Recurrence","Q1-New Primary Tumor","Q3-Biochemical evidence of disease","Q3-Distant Metastasis","Q3-Locoregional Recurrence","Q3-New Primary Tumor","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.292645377534299,0.797546962701472,0.975366605120788,0.995070599521613,0.469482870709042,0.812809456211294,398.031572222222,497.39504,461.978566666667,383.30825,19.0046643269278,71.7265420662853,77.8440381032128,13.5870933396674,314.755975,357.0213,386.17685,372.079075,463.8995,578.4008,515.2204,400.079725,311.584713461538,377.937813078471,301.11035,366.0629,250.318625,352.05255,307.2579,433.9623,12.9030917618845,4.69462070130282,1.21295364230095,1.2157101208909,0.278524413359866,0.28179926742562,"PRAD"
"ZNF263",0.951922178041648,0.528396953238217,0.864325956898294,0.872183626326644,0.76596812973538,0.390883105745571,858.139322222222,898.89118,990.743166666667,793.3801,24.7596240624777,80.5341165064062,203.008371107814,15.1892787673301,756.209375,818.7257,804.53205,777.085,951.2665,844.407,1153.87275,811.15325,700.941219230769,832.701676056338,663.6972,794.535,630.724075,743.940275,703.7676,933.2941,17.2913925514542,8.84717306069825,1.18797647108008,1.19713477772695,0.248506262576188,0.259585585207338,"PRAD"
"ZNF200",0.805135706025082,0.999583277409135,0.90639509492327,0.995367175483979,0.968234717155517,0.994790262934767,199.903091666667,222.92018,196.531366666667,206.5421,8.23537171389885,32.9533738972112,39.9237341395789,28.5194168003427,164.8015,175.769,164.52145,176.825675,218.717025,228.1967,233.19915,222.853475,166.445811538462,183.091236820926,163.50865,176.2144,138.61105,179.36985,148.9325,208.5745,4.76664311086876,2.26779150403296,1.1000050714921,1.07770689807542,0.137510175204146,0.107964864370918,"PRAD"
"ZNF582",0.794632373974723,0.976234259635944,0.78394751920483,0.727400113929488,0.463425639630712,0.979048957689196,90.8797527777778,80.7298,96.5971333333333,103.5518,3.89824482165134,7.42706984934166,13.5733796609802,13.4995405203906,72.59415,68.1967,85.78915,84.680275,106.47105,90.8619,109.11225,118.913975,74.0681557692308,85.5970426559356,72.7837,82.4842,60.365425,85.019725,69.4651,97.9163,2.92112159353411,1.24638789397961,1.15565240914901,1.13327846756898,0.208707537108685,0.180502401686947,"PRAD"
"ZNF285",0.735303305308868,0.710791321219676,0.996766337311909,0.979525606377116,0.97424366203255,0.940333862603929,122.053519444444,145.87878,153.2731,132.06935,7.53117427273771,27.9042463563415,39.9040775772769,25.1689809681315,85.927525,105.1064,126.4888,102.4004,153.58625,150.1639,192.2817,171.3834,81.9690423076923,120.06252917505,77.25245,115.4213,63.385725,94.19605,89.6694,139.7059,4.81204848067088,1.83444140360592,1.46473016879182,1.49407947579656,0.550634917206916,0.57925689263045,"PRAD"
"ZNF275",0.688726569670836,0.339629129101126,0.164378075665212,0.986888393927608,0.95317213540516,0.409903588240636,1033.04689722222,915.65802,1259.5887,993.746625,35.0403413699968,125.001403578421,150.381600912711,124.851995120405,909.094025,897.4468,1169.24845,804.033975,1194.0338,1092.9065,1408.8739,1165.78555,1119.63438846154,967.479532394366,867.32745,956.7142,705.3537,962.889625,809.9768,1123.3553,113.661980560466,11.299550159077,0.864103087905111,1.10305998040302,-0.21072465803371,0.141511241588639,"PRAD"
"ZNF37A",0.723363188312781,0.680813916266841,0.995319405845131,0.849960202581575,0.999529666729575,0.988391535642184,540.470444444444,618.92378,645.972,607.4399,26.4260335268214,89.1005773489229,77.660718720084,30.4787033187656,443.95565,529.5051,591.8697,597.10635,636.453325,784.683,721.2735,644.35555,476.038215384615,502.553475251509,479.1218,505.7682,388.282425,546.700975,397.8076,609.7804,16.9848639121554,6.98253011515495,1.05569985562077,1.05561508576734,0.0781997226160682,0.0780838734409022,"PRAD"
"ZNF510",0.871263749102135,0.554890599972189,0.397790051259057,0.999090776521815,0.91552358334469,0.780588192464808,331.6086,304.07956,391.735833333333,337.032925,13.523077484942,18.9953114036491,42.0959049462191,18.7732290433912,274.14495,277.0488,364.0494,331.000025,373.86285,346.3136,433.04075,354.8077,337.329730769231,310.519709859155,330.88445,306.8482,275.49935,389.702875,254.0926,363.353,9.93476786290642,4.32607255559716,0.920522804648913,0.92735757150268,-0.119474632142854,-0.108802372900961,"PRAD"
"ZNF506",0.956024129788522,0.952151030815716,0.99964209393131,0.976998360685801,0.902978981558515,0.898427947658485,530.04725,565.7936,576.438233333333,498.636725,25.334058589524,62.1777071645698,71.9783061231029,48.2670600127108,445.010375,470.6383,514.7542,425.4696,604.34425,651.6008,639.4045,568.936175,446.441955769231,486.6108861167,443.8917,476.2316,398.40155,493.256025,412.5279,554.0821,11.0272432318645,4.69989420635819,1.0899757064236,1.07285538341897,0.12429598031158,0.101455619724071,"PRAD"
"ZNF324",0.886694312179856,0.108064640589981,0.482710176291236,0.117065273519176,0.110971692412942,0.00748244355092842,206.486066666667,193.9504,155.8746,250.139425,6.30265114567886,16.0012465345985,10.774871059244,12.6747490540822,176.694225,161.3115,146.07465,229.718975,225.28465,221.3316,164.65325,267.3807,191.863507692308,196.36760221328,192.7537,193.6855,166.4074,215.264975,167.6906,221.9048,5.44226384586556,1.9667663214729,1.02347551431299,1.00483414844955,0.0334765876551425,0.00695739896168579,"PRAD"
