"gene","p-adj-N1-N0","mean-N0","mean-N1","SEM-N0","SEM-N1","Q1-N0","Q1-N1","Q3-N0","Q3-N1","count-N0","count-N1"
"ZNF195",0.056617860608938,374.90685154321,400.610694666667,5.72723263000686,12.9982817236526,301.645625,340.2464,435.791975,442.18895,324,75
"ZNF263",8.90765185390663e-07,811.138149382716,933.035006666667,9.86551283379676,27.5863259990841,692.92175,780.6539,897.951575,1072.36895,324,75
"ZNF200",1.94465432645785e-08,176.271041666667,212.511364,2.52377397462066,7.34336544882255,144.27325,166.22975,202.18545,238.90835,324,75
"ZNF582",0.46011807685852,86.0811950617284,88.8078186666667,1.37280370376689,4.86921447423835,70.2648,72.2542,98.909925,95.7473,324,75
"ZNF285",0.495497219346334,120.723784259259,117.084892,2.3746857083255,4.19637652148637,89.8758,90.6449,140.289275,140.2096,324,75
"ZNF275",0.62842557814941,968.657036111111,984.495761333333,13.9838424876612,31.1744801291627,817.693525,799.3346,1116.920625,1184.0497,324,75
"ZNF37A",0.655690387839848,503.655347839506,512.790516,9.01056943755448,17.1758551213927,400.290175,396.41755,615.34635,618.54975,324,75
"ZNF510",0.172389747384939,311.336937962963,328.905864,5.32829073639584,13.5726635011033,256.515,257.1092,368.1869,379.24035,324,75
"ZNF506",0.00217197313001583,482.503117283951,523.623274666667,5.59318558055176,13.5522730418263,411.95575,438.21985,541.64665,602.583,324,75
"ZNF324",0.100301695607572,194.339891049383,203.198861333333,2.27635299134648,5.31942323690915,167.6289,160.91065,220.91475,233.13395,324,75
"ZNF671",0.0213886164004777,141.649743209877,163.1453,3.7367746139447,10.6705889356018,95.66925,93.50535,187.530525,229.3792,324,75
"ZNF416",0.00599144334826052,120.05997037037,130.439642666667,1.47684740253557,4.51086254738759,101.589725,113.65945,134.534925,143.3358,324,75
"ZNF586",0.0228027450285467,206.794167592593,223.052941333333,2.98836514231842,7.21467455176422,169.089825,179.7587,237.229325,258.4927,324,75
"ZNF446",0.199691304640316,482.900651234568,453.331116,10.2788980194017,17.7790163600328,368.852925,344.2538,546.5531,518.79765,324,75
"ZNF8",0.0116665700647371,64.6560320987654,71.267056,1.1143694908631,2.4980813621508,50.44935,56.94575,77.759975,84.44265,324,75
"ZNF264",0.0301740591057678,770.483191975309,829.181876,10.8651330746545,30.7445948040075,657.46755,697.39985,901.106875,924.90245,324,75
"ZNF213",0.0215776842080724,622.818136419753,675.718366666667,9.31955245490875,25.5574739642144,519.920325,545.34015,707.985075,752.32895,324,75
"ZNF343",0.0484653826593165,261.123380246914,275.698818666667,2.99104917250728,8.21756983437245,224.914575,240.8138,290.627575,313.13455,324,75
"ZNF302",0.0181549385618943,642.949132407407,696.419701333333,9.59642843160924,21.8348039730503,521.812075,553.8554,732.607925,794.1563,324,75
"ZNF268",0.671151602245033,349.984667901235,342.863086666667,7.36010910914114,14.2277618158983,261.38935,276.60255,432.698425,401.08385,324,75
"ZNF184",0.0479847640437613,206.380837345679,220.681798666667,3.09654781011814,6.75475479564974,167.592525,181.5415,237.9089,252.62905,324,75
"ZNF500",0.00194634197075505,308.953099691358,344.249665333333,4.56922024930591,12.8139343452344,258.863425,260.81475,360.17785,401.4932,324,75
"ZNF419",5.91625158230524e-05,230.560813580247,271.861249333333,4.15360243996216,11.2035339966247,176.69875,217.8205,278.827825,308.22535,324,75
"ZNF175",0.292706245549316,143.976664506173,150.042790666667,2.48392605486807,5.29816105179057,114.8645,121.79895,173.432775,165.38965,324,75
"ZNF14",9.61746689065457e-06,239.089410185185,272.625644,2.91466654669155,9.13980982652753,201.23675,227.59975,270.476975,293.3666,324,75
"ZNF85",0.0140455823355063,117.30955154321,129.861029333333,2.1624613127542,4.95875513847919,90.257375,100.74345,134.69065,153.06755,324,75
"ZKSCAN1",0.20088415839597,1566.16995648148,1395.91069866667,59.9979936366971,95.1872011149425,769.468425,856.7649,2022.028,1869.42295,324,75
"ZNF862",0.0458473826933832,727.939746296296,827.476802666667,21.0361377171048,49.1224436214217,509.0027,551.1518,871.258975,1007.75985,324,75
"ZNF684",0.0462984235065012,35.8199805555556,38.65,0.580815801135699,1.53981338503454,29.366875,30.3141,41.44525,47.61755,324,75
"ZNF430",0.796003653765123,115.918097839506,117.731894666667,3.06788699597232,6.05651574285214,82.6993,89.4003,149.542175,140.62225,324,75
"ZFP30",0.000589064240208548,198.31862808642,228.013176,3.41038014956601,10.036112177057,157.420575,178.41075,233.3025,261.50425,324,75
"ZNF549",0.0031040588421013,224.455936728395,250.133170666667,3.33575830482965,10.7052900642112,185.021375,195.8299,261.757375,288.23825,324,75
