"gene","p-adj-T2b-T2a","p-adj-T2c-T2a","p-adj-T2c-T2b","p-adj-T3a-T2a","p-adj-T3a-T2b","p-adj-T3a-T2c","p-adj-T3b-T2a","p-adj-T3b-T2b","p-adj-T3b-T2c","p-adj-T3b-T3a","p-adj-T4-T2a","p-adj-T4-T2b","p-adj-T4-T2c","p-adj-T4-T3a","p-adj-T4-T3b","mean-T2a","mean-T2b","mean-T2c","mean-T3a","mean-T3b","mean-T4","SEM-T2a","SEM-T2b","SEM-T2c","SEM-T3a","SEM-T3b","SEM-T4","Q1-T2a","Q1-T2b","Q1-T2c","Q1-T3a","Q1-T3b","Q1-T4","Q3-T2a","Q3-T2b","Q3-T2c","Q3-T3a","Q3-T3b","Q3-T4","count-T2a","count-T2b","count-T2c","count-T3a","count-T3b","count-T4"
"ZNF195",0.943316413596048,0.995135905834246,0.98101810668034,0.993869586834112,0.983747512265899,0.999999829851585,0.740541987502042,0.999999813567404,0.344171931844542,0.382212964928186,0.433153555646159,0.93505185743468,0.415905407626358,0.429803358409297,0.852464075504577,354.101785714286,392.337236363636,369.369535714286,370.147631372549,394.52207804878,436.432633333333,26.2531308017402,15.688536934725,9.07962552721804,7.47771201866834,10.027393545347,26.8954743564993,329.5533,365.27415,292.593175,306.8752,323.2669,380.276,419.3121,436.38505,422.6871,430.4367,446.0619,467.6259,14,11,154,153,123,9
"ZNF263",0.999999999401644,0.999997775883927,0.999999750042523,0.958496265046218,0.978171887516195,0.464808271638609,0.294438100743581,0.437292449571156,7.25638479974755e-05,0.0430582739174669,0.127655077376494,0.175472186038903,0.0318276639248766,0.15193065577627,0.739039715712043,778.164628571429,779.778390909091,783.95973961039,822.919566013072,889.748060162602,979.963822222222,42.1031505198427,41.9920074666411,13.5607988467535,14.9859350145712,18.3312193369779,134.282043111516,650.292925,689.7782,658.411325,710.8043,738.46735,693.9721,905.467275,816.7117,855.13995,916,1001.82215,1127.5306,14,11,154,153,123,9
"ZNF200",0.999487915454642,0.99989117472934,0.999943669568014,0.995114194797299,0.947530931842277,0.419409540617691,0.447982372518803,0.310035287623636,2.87162581038558e-05,0.0293149998723417,0.000830745130506072,0.000564641344482752,3.50880662525199e-06,7.20079352394265e-05,0.00621072016879465,172.760992857143,166.375890909091,169.533903896104,179.839493464052,197.613339837398,256.219011111111,10.9457640797681,7.49222416077865,3.50820605443522,3.59600394567876,4.98567478391714,31.4102212173019,146.177925,151.82485,142.629375,152.0891,158.1472,178.8284,202.8257,184.0663,190.337275,207.9138,226.6873,334.9265,14,11,154,153,123,9
"ZNF582",0.992785984864948,0.999889720324321,0.932008915151586,0.998689080435185,0.883078231057435,0.998854954130258,0.999834510407967,0.996224713067239,0.853276008958434,0.645545600915211,0.999691067418411,0.968332121068126,0.999978018109026,0.99999997536197,0.992279662700725,84.8142,78.3796818181818,86.6893844155844,87.9265758169935,82.7568138211382,88.3527666666667,5.49169988382068,6.85734285756143,1.75122533496813,2.90067661025609,2.27052587742526,3.63583345465658,73.77855,62.25785,70.70425,70.276,66.6276,87.3587,92.527525,84.7746,101.167225,99.1185,94.667,94.6266,14,11,154,153,123,9
"ZNF285",0.999552604547877,0.996310362760105,0.956401635585702,0.99999931256499,0.99649205068833,0.917659574514349,0.999869451373728,0.988515458657753,0.993262349886213,0.998966158250178,0.427493865002687,0.675683442158536,0.0727633468646202,0.162158540785284,0.12430314042177,122.7577,128.027072727273,117.101216883117,121.768702614379,119.887248780488,155.258777777778,8.61525843056925,19.0677296784722,2.92409298850495,3.52597888291045,3.74602990140881,11.9474262574365,109.214875,90.52705,92.04265,87.2533,90.6449,133.7108,138.24845,147.0135,136.627525,142.6086,143.78735,175.5097,14,11,154,153,123,9
"ZNF275",0.961976701485311,0.795278268175166,0.99999966291627,0.928868352034697,0.999946590715378,0.971819942749801,0.733469909839332,0.999971281924126,0.999753823683842,0.913816593487778,0.913199862788085,0.527543265055036,0.193600225143307,0.316760389202012,0.162027615807071,1046.5137,962.454281818182,956.555621428571,978.77171503268,947.939251219512,1155.48648888889,82.9125784475538,38.8963282459431,19.461039688263,20.3387345601176,23.7334577694668,88.4353545673861,944.029625,867.7435,810.116775,827.5862,794.51665,1100.1464,1243.324725,1055.2276,1136.5073,1088.3377,1118.9947,1300.2986,14,11,154,153,123,9
"ZNF37A",0.988637036195979,0.887648382852068,0.999987751439362,0.969470931067604,0.999997742814276,0.979073430689554,0.910949361611489,0.999998087887267,0.999996251161174,0.993468242520961,0.979562317312588,0.999996834450751,0.999999999931807,0.999855064622866,0.999999920614558,545.213135714286,504.887127272727,497.245674675325,510.32957124183,499.579885365854,496.500766666667,53.0519937592831,40.4972807939453,12.7359418824696,12.7380300108251,14.0674562997825,58.934512231247,508.620975,430.37595,402.2752,414.6067,379.1788,419.5111,618.648175,601.8965,602.1139,614.2639,614.45865,535.3298,14,11,154,153,123,9
"ZNF510",0.75649850911962,0.996259254107977,0.785802384511822,0.999861261526748,0.653166231899231,0.99105012229766,0.99807225623466,0.761854049340519,0.999992815448645,0.9982020560674,0.851364270177675,0.187358248855197,0.427533023069383,0.558062792899908,0.466796003233837,322.809907142857,269.566418181818,309.226214285714,315.921435947712,310.868267479675,371.689455555556,28.8226794592488,22.6125194450163,7.75867368105697,8.0397007095009,8.66331762285859,42.5805022927947,263.679,225.19085,255.15025,261.754,244.74385,301.548,387.772925,316.062,369.793925,364.2381,364.0726,393.6014,14,11,154,153,123,9
"ZNF506",0.999942506259214,0.999986537963483,0.998455620213551,0.999999876233034,0.999500989956438,0.999902746399428,0.99726499331974,0.983320823081446,0.97916735267005,0.935226698987105,0.695138038633938,0.619419715254326,0.545397395544071,0.493934796959152,0.717333946343324,479.899328571429,471.084927272727,484.457099350649,481.679845098039,493.517386178862,544.229766666667,26.9441871490884,18.7429104737236,8.61391701703395,8.55820409823512,8.5234386531932,54.5236013480274,414.59755,412.295,409.269875,405.9113,428.97265,389.8184,569.50785,517.3848,554.469675,527.1676,565.5977,656.6176,14,11,154,153,123,9
"ZNF324",0.999999569104364,0.999999218349608,0.999972752301622,0.999276846265095,0.999938236742984,0.888723957217426,0.999950105006723,0.999999457071882,0.98374078760131,0.999425719569956,0.998778672593595,0.997799161390065,0.998368950031234,0.97120438060195,0.98664092049681,196.343307142857,195.005054545455,197.387951948052,192.193758823529,193.910252845528,203.417966666667,13.3808436957608,15.2040827358094,3.21929720172571,2.98609263645636,4.188318158418,23.0548914283029,175.370375,157.1967,171.711375,167.6906,158.98485,160.4301,214.593475,230.5425,223.30805,213.5162,220.7705,242.1112,14,11,154,153,123,9
