"gene","TUMOR FREE-[Discrepancy]","WITH TUMOR-[Discrepancy]","WITH TUMOR-TUMOR FREE"
"ZNF195",0.620090227544969,0.388280775298139,0.0717800469534027
"ZNF263",0.97667030812689,0.836756778297086,4.76343584592254e-05
"ZNF200",0.901909952915442,0.99959492616648,0.0617638012048316
"ZNF582",0.954122010970502,0.982382536979213,0.810267674646171
"ZNF285",0.940872520101379,0.980258289974618,0.712225394353569
"ZNF275",0.978307843662547,0.955930091962022,0.871774054270571
"ZNF37A",0.940570581426059,0.980356503080625,0.707556504504554
"ZNF510",0.593498492440522,0.688995564547741,0.702325121694825
"ZNF506",0.985297171635619,0.900193559773342,0.269058529351877
"ZNF324",0.65716478548499,0.832929387360535,0.233293012284032
"ZNF671",0.810529884727405,0.807481294772424,0.997681840288979
"ZNF416",0.921560596948693,0.802451953650422,0.333346857477798
"ZNF586",0.581453710923326,0.844058610697029,0.0419966295320687
"ZNF446",0.877191382040292,0.98818778702388,0.140717017521365
"ZNF8",0.556063810608099,0.597319387252605,0.947723174110586
"ZNF264",0.987158904827472,0.995231829898638,0.351623946371634
"ZNF213",0.925820656567231,0.899496296678767,0.921836153317857
"ZNF343",0.923003827086407,0.998584840065089,0.156310979761527
"ZNF302",0.93918645966669,0.97220171033477,0.814977271643376
"ZNF268",0.984992298212817,0.976104731055687,0.964386374907738
"ZNF184",0.998779664803463,0.998156211800483,0.825770339645807
"ZNF500",0.922222057187812,0.999429008985274,0.1233420729413
"ZNF419",0.997230288161445,0.964503082913971,0.15742916221896
"ZNF175",0.488065260956195,0.564811438762049,0.801212489561851
"ZNF14",0.992685585548309,0.98701990684531,0.285428350112543
"ZNF85",0.606224927882794,0.404553158120925,0.134987643759929
"ZKSCAN1",0.863901501610598,0.803337561295841,0.775909397277924
"ZNF862",0.959328586621485,0.763103582962452,0.0419481916584401
"ZNF684",0.998163148293654,0.999581518823946,0.881584844920313
"ZNF430",0.971129262013995,0.989023283401212,0.876118646724688
"ZFP30",0.615358099304804,0.711240905893245,0.696018377291059
"ZNF549",0.868658495841541,0.885774335835848,0.98274897080214
"ZNF211",0.986566228067771,0.930796260442741,0.477497773316783
"ZNF205",0.774764163159964,0.870167376750253,0.596273236590034
"ZNF45",0.535709571956016,0.567517103594028,0.971841687840367
"ZNF133",0.858303019305286,0.867404863873497,0.996836880197932
"ZNF436",0.979053756134309,0.975027554823604,0.992912894763367
"ZNF484",0.453529575825438,0.657908461817365,0.175735534725185
"ZNF780B",0.938620408203129,0.976400173445389,0.751658826304472
"ZNF557",0.955437007448308,0.958914423654642,0.998603386519639
"ZNF337",0.725508232801278,0.963184357826074,0.0149485466910682
"ZNF317",0.99022217417877,0.980592192324991,0.945792218175831
"ZNF426",0.763685820236871,0.783691663987854,0.986615615040288
"ZNF331",0.894064162047172,0.788605726792986,0.461474410260434
"ZNF227",0.293681545606503,0.626817205432897,0.00479301240925478
"ZNF141",0.992576092417697,0.953150393916667,0.0548544800005334
"ZNF304",0.940704700522654,0.91498540095227,0.91363255944185
"ZNF132",0.5171682404729,0.429202221209353,0.650723670922538
