"gene","p-adj-GASTRIC-EBV-CIMP-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-EBV-CIMP","mean-GASTRIC-CIMP","mean-GASTRIC-EBV-CIMP","mean-OTHER","SEM-GASTRIC-CIMP","SEM-GASTRIC-EBV-CIMP","SEM-OTHER","Q1-GASTRIC-CIMP","Q1-GASTRIC-EBV-CIMP","Q1-OTHER","Q3-GASTRIC-CIMP","Q3-GASTRIC-EBV-CIMP","Q3-OTHER"
"ZNF195",0.689347016693765,0.999895027046285,0.636603377679102,462.44486,616.89705,464.01775625,55.3330513974659,40.69145,62.0951410037928,401.2567,596.551325,318.626825,541.9847,637.242775,470.076375
"ZNF263",0.335657713449641,0.265614651546442,0.863105064522111,492.447,700.86945,633.99789375,30.3533682252728,80.30615,48.2778237689715,435.5499,660.716375,517.92595,541.1894,741.022525,714.990525
"ZNF200",0.753863535479207,0.882673668840721,0.506862872097198,238.27416,295.34165,215.1476875,25.4248460379331,61.26915,25.6878498339485,228.9048,264.707075,153.730575,261.8896,325.976225,238.490425
"ZNF582",0.770191352082975,0.0956652155874657,0.74915639700582,9.44282,20.5037,30.93925625,4.56606268653859,1.1443,5.34522088019576,4.7664,19.93155,10.0913,7.0883,21.07585,53.318575
"ZNF285",0.983856350732854,0.0434780982972512,0.275689787664248,4.68244,7.7751,33.31056875,1.54534209403614,1.0246,6.1910875840916,2.693,7.2628,11.35925,4.3621,8.2874,49.120325
"ZNF275",0.98931096126037,0.997206146731126,0.97724423509014,932.2153,972.10785,919.7534,265.061116708021,34.40985,62.0420077382951,690.3052,954.902925,778.274675,708.2936,989.312775,1144.70585
"ZNF37A",0.945146407751495,0.0697656860968545,0.43486885358333,543.09582,595.1644,778.3092875,78.9664558528139,54.5097,50.9914961321345,455.289,567.90955,658.9505,609.0664,622.41925,809.31085
"ZNF510",0.539792696372688,0.172692206581288,0.996534934083684,272.9852,365.7931,371.932275,63.6580608661857,22.4505,23.3411935357222,226.5115,354.56785,328.204325,236.535,377.01835,412.736275
"ZNF506",0.793969035532598,0.506944267073689,0.998820759275475,539.0394,666.6169,674.74479375,141.314909481219,89.1029,53.3143598085516,281.4164,622.06545,549.3762,764.3627,711.16835,807.697075
"ZNF324",0.780212785743678,0.440464594800376,0.266530083723832,164.31498,135.25325,197.168475,11.2861784334823,41.44505,13.9798974488147,144.9582,114.530725,153.960525,186.4776,155.975775,231.114275
"ZNF671",0.817200253725225,0.193373965505608,0.845347906482186,44.19824,79.77755,108.8470375,6.34492286845159,20.18725,20.0086290353955,38.2387,69.683925,51.0971,44.711,89.871175,127.6225
"ZNF416",0.113793624597228,0.890837775852815,0.129383218338758,108.3679,40.36,99.28763125,25.2798410722655,11.0304,8.35426086770856,83.4242,34.8448,71.648625,95.0174,45.8752,119.247475
"ZNF586",0.989333187310826,0.991791021470186,0.997140022264154,215.30152,206.57155,210.614925,39.08700826192,64.81175,17.4312327380087,175.5119,174.165675,146.793475,274.0705,238.977425,246.539475
"ZNF446",0.932869527468481,0.858598656199891,0.999282693970284,147.42152,162.6124,161.23120625,28.155864016993,64.2162,10.8033572013498,91.0582,130.5043,142.8531,193.5323,194.7205,180.849075
"ZNF8",0.164064079904805,0.0898543145079944,0.823510309357652,160.27318,312.5282,269.7173875,14.2400884588334,160.8615,23.0284858169414,152.9771,232.09745,205.3816,156.3285,392.95895,310.117925
"ZNF264",0.928386909475104,0.114668773913081,0.569597164864919,864.31984,1009.3184,1371.81906875,253.387234673352,557.7355,102.730073269763,701.7448,730.45065,995.4474,877.9174,1288.18615,1669.39585
"ZNF213",0.294213691997959,0.3775811828443,0.715899880469624,528.11776,714.3399,629.1763,69.435016880502,129.3771,34.6324095975359,412.1315,649.65135,602.99735,561.4901,779.02845,714.238825
"ZNF343",0.559471060971501,0.894248824841939,0.325204188045704,266.38818,189.2054,286.8606875,37.3954237446028,18.116,23.0885062960247,188.3767,180.1474,236.57835,316.2486,198.2634,318.685225
"ZNF302",0.985640412266268,0.763921897195039,0.787977445266669,338.06928,266.856,527.54301875,28.8372929411795,83.4699,151.220595722222,309.3859,225.12105,261.72185,393.9466,308.59095,531.7645
"ZNF268",0.00445394478240724,0.000247694053995051,0.757528378853552,136.75458,437.4603,384.48658125,31.8479015821357,59.8998,26.4315722334803,65.5296,407.5104,319.98035,181.0251,467.4102,459.468825
"ZNF184",0.520720230330081,0.943520739467363,0.331862422602009,238.39814,305.9168,226.254425,23.5747546829994,40.0881,19.5669099676544,241.6587,285.87275,186.320775,255.8348,325.96085,251.720375
"ZNF500",0.0146731802950458,0.00489788943221747,0.579721802168933,192.4148,367.54995,316.5591375,23.1432019039285,37.94105,17.9312630427299,188.7512,348.579425,266.0814,200.6543,386.520475,361.730175
"ZNF419",0.920899465001818,0.148043955869554,0.642086283920999,47.8781,61.5618,90.2834375,20.3853366730353,23.6195,10.4495850750994,26.0323,49.75205,62.899475,36.5322,73.37155,108.122525
"ZNF175",0.863466343878541,0.17073635366697,0.175902087036653,118.74768,84.1039,195.68740625,14.8133273665777,6.3572,22.6655452702012,93.7841,80.9253,142.9092,143.1054,87.2825,249.3562
