"gene","No-[Unknown]","Yes-[Unknown]","Yes-No"
"ZNF195",0.573293164151849,0.639802899679649,0.858202701099576
"ZNF263",0.0707779575238543,0.937969488039925,0.84742298495485
"ZNF200",0.156315706192483,0.835007223498477,0.986828094763475
"ZNF582",0.465268841924009,0.880843642974689,0.999634601195544
"ZNF285",0.99975710011407,0.862772590526336,0.863843789085921
"ZNF275",0.92703204967898,0.990792806872768,0.959600600735794
"ZNF37A",0.132385777196049,0.544139915479086,0.949687296967868
"ZNF510",0.988349367456179,0.90438514872797,0.924997765992642
"ZNF506",0.995726545748478,0.97607458406121,0.967250248032643
"ZNF324",0.117080885997892,0.6629480029221,0.996014974279038
"ZNF671",0.880094317445877,0.92386470523182,0.978546712020063
"ZNF416",0.998265932192167,0.98043588504096,0.984210378696203
"ZNF586",0.941524360448333,0.970529126739893,0.99353406997008
"ZNF446",0.961081628198356,0.835345692745655,0.775350627275939
"ZNF8",0.994689333328516,0.967479863747056,0.975993389043487
"ZNF264",0.221543544956183,0.907178092815612,0.970852495453509
"ZNF213",0.987024340815662,0.995689933985325,0.987890497400759
"ZNF343",0.934029750217126,0.994112109280983,0.968757075878449
"ZNF302",0.710977889424675,0.945811827582462,0.999837139367576
"ZNF268",0.996118330812161,0.546920793509567,0.520287291589664
"ZNF184",0.992188430726175,0.73029314034797,0.752272917282614
"ZNF500",0.0583175443812282,0.300966473116026,0.820055736062079
"ZNF419",0.630357771262936,0.482353967736445,0.690133077343507
"ZNF175",0.676883515118007,0.999992318619208,0.941865052704786
"ZNF14",0.232320020570829,0.981311313133441,0.6860757558571
"ZNF85",0.874781706140925,0.87066785741199,0.945721636987424
"ZKSCAN1",0.857658313032782,0.779167117493956,0.881031799263171
"ZNF862",0.545744450281496,0.758142468544045,0.94761745491489
"ZNF684",0.984619196137478,0.94419777871221,0.962834177052415
"ZNF430",0.410594859242739,0.983416734088473,0.944495018581618
"ZFP30",0.115708447457912,0.957154444092545,0.865534677961876
"ZNF549",0.888257190349756,0.997589363458207,0.967343744118152
"ZNF211",0.920613504736264,0.995788733765046,0.997972989209376
"ZNF205",0.172125788243498,0.431897854857709,0.843749917424122
"ZNF45",0.810860042004786,0.958997378567867,0.99908313722693
"ZNF133",0.999163241733421,0.912751824144277,0.916928716277265
"ZNF436",0.322057476980759,0.978194333137187,0.7259266110236
"ZNF484",0.219823906036616,0.76014640990961,0.998141243341889
"ZNF780B",0.749843713728692,0.890932639195925,0.981423915986486
"ZNF557",0.991224165630321,0.994345786271365,0.987485158078506
"ZNF337",0.851994347346595,0.886165892739254,0.96156572654801
"ZNF317",0.0684090523530313,0.939166223979077,0.84237829619505
"ZNF426",0.912333499162518,0.964325146911591,0.99420531142387
"ZNF331",0.803218841842884,0.838777921603506,0.941932501737914
"ZNF227",0.968853876359274,0.962974544780879,0.983715283843684
"ZNF141",0.831924722540559,0.868426070820092,0.954716118570756
"ZNF304",0.8405885857027,0.996684685433464,0.953234875025269
"ZNF132",0.700916052204429,0.896041030849967,0.989060760370688
"ZNF20",0.574013470264951,0.823793816930874,0.975620065680495
"ZNF670",0.886813874267649,0.809190349270651,0.894937950573089
"ZFP37",0.999474213397888,0.893758468798745,0.896724438772658
"ZNF189",0.124073867387901,0.999824483000663,0.726754654884223
"ZNF434",0.945576619820824,0.98477518730599,0.954368775232337
"ZNF287",0.409588795532406,0.872149741064183,0.999979072607567
"ZIM3",0.998498300853141,0.921867514706499,0.92786769807162
"ZFP14",0.306854388574513,0.947973041073635,0.962682475250261
"ZNF473",0.555605161749145,0.990402407545668,0.961123012671991
"ZNF614",0.99029536867927,0.999199051242955,0.99557630704438
"POGK",0.999999847992421,0.968877063382939,0.968234168542902
"ZNF514",0.996266988266514,0.962151991504712,0.951878345984798
"ZNF300",0.971786979498012,0.923619045769688,0.952637515207485
"RBAK",0.88009216851965,0.882683091613093,0.952644609529808
"ZNF92",0.92402344178161,0.792344403099754,0.864879937324026
"ZNF157",0.492607436308837,0.992730130557465,0.943125422179691
"ZNF182",0.971658140460558,0.994672463215925,0.999924177204343
"ZNF673",0.229885402905006,0.839386098822991,0.996738696471671
"ZNF41",0.609439093232001,0.941792984048472,0.999346521769085
"ZNF7",0.988961312807323,0.842390967211658,0.86638469124883
"ZNF214",0.624285924663133,0.950843324939627,0.785567833971791
"ZNF215",0.528634380114305,0.439663974789092,0.683074131542065
"ZNF547",0.530151509574815,0.698679910049632,0.441558379917353
"ZNF773",0.68009924063611,0.830159857963607,0.961844318747558
"ZNF776",0.865602206516453,0.99978626601064,0.974351770259635
"ZNF256",0.926381622548964,0.980898472098046,0.94098466766284
"ZNF599",0.0235168619235566,0.0907865466494925,0.501679854820701
"ZNF18",0.172025856404024,0.978154844304658,0.865992324120734
"ZKSCAN2",0.949857356176551,0.970316075543014,0.933396477115314
"ZNF689",0.55500422225042,0.777797495485167,0.956561980258259
"ZNF19",0.987105418746624,0.92622393315468,0.900648525636937
"ZNF230",0.626739186769218,0.955970991264099,0.99742989541775
"ZNF222",0.452261876713129,0.708811021600086,0.939896208796709
"ZNF221",0.94836828759197,0.831964608450504,0.762325014185383
"ZNF233",0.10697204421789,0.995163957377805,0.639663245618214
"ZNF235",0.99757379474287,0.840429206837999,0.850166821839266
"ZNF208",0.608221586799972,0.967684300028684,0.991810847580958
"ZNF714",0.974250720000137,0.625107114656242,0.670074295942156
"ZNF394",0.210525167224074,0.220199902502851,0.544389787747345
"ZNF333",0.846334090176587,0.894920709468602,0.968087392344823
"ZNF382",0.484975607250918,0.859192819569167,0.996050884052356
"ZNF577",0.936590581257754,0.999912615339737,0.988415092784706
"ZNF75A",0.979620220875001,0.890727845190257,0.919767829709857
"ZNF496",0.474962331158645,0.635218709390936,0.884683594178243
"ZNF2",0.449572954910572,0.979725768918762,0.784943754025681
"ZNF589",0.71393950431402,0.927089910724539,0.997099570263117
"PRDM9",0.802456270129556,0.978422720509845,0.896917564474599
"ZNF12",0.864569396790767,0.698401335895939,0.808141117727165
"ZNF202",0.0181145575408496,0.929146851175552,0.72626600639826
"ZNF3",0.865198105678521,0.92270443201424,0.82957570917007
"ZNF606",0.716468856538073,0.857321847781069,0.683866045844865
"ZNF91",0.818362862338273,0.6874983553356,0.817111540630297
"ZNF226",0.824419377583786,0.976457414082314,0.999818979937039
"ZNF229",0.902078808665052,0.956283864392432,0.892743228833739
"ZNF180",0.603369414000681,0.940428522398221,0.999355382030383
"ZNF641",0.249884573291464,0.804104448918864,0.999946326900299
"ZNF610",0.599973352371076,0.759051875581015,0.936556674244387
"ZNF528",0.277187180011214,0.635012075614424,0.944056531506459
"ZNF701",0.957144893455909,0.994543405649514,0.999967450151474
"ZNF283",0.906648494906799,0.825264041625726,0.72945088658317
"ZNF558",0.102287176178368,0.690562084808397,0.999918299086734
"ZNF597",0.883231977132439,0.942512927413071,0.987852466512135
"ZNF30",0.853382574152847,0.985969263983799,0.998888688320842
"ZNF354A",0.24715650717398,0.894198951734749,0.983214028916862
"ZNF764",0.101361597031163,0.648234085765491,0.996455884610744
"ZNF747",0.303215226267405,0.622004867945433,0.928435574328239
"ZNF778",0.933905589449681,0.905064389253842,0.838912642624897
"ZNF212",0.207152042663349,0.300776598072362,0.669362856974884
"ZNF282",0.910856100260423,0.670857795125511,0.760027787303258
"ZNF160",0.806856507055357,0.998233011028055,0.981582087971765
"ZNF415",0.361096113383122,0.73885884710718,0.973767176098127
"ZNF439",0.589096796590741,0.548783128990409,0.772379806587898
"ZNF440",0.208894341247308,0.686967250655291,0.984144248115019
"ZNF562",0.858662010031432,0.898826597020709,0.794880148168174
"ZNF561",0.986474928472093,0.991652974035656,0.997723686508984
"ZNF584",0.540477322534071,0.848594982299764,0.988930353264785
"ZNF274",0.909446594690927,0.79195271719222,0.69380052786797
"ZIK1",0.977623912342195,0.910601408720918,0.938503715678377
"ZNF540",0.243895334741689,0.869215425422464,0.991621189581595
"ZNF570",0.128216415220042,0.668628313124875,0.995097696504141
"ZNF57",0.620977594683825,0.998829735551711,0.912726303621531
"ZNF556",0.800883862584013,0.7717519815948,0.893884542155575
"ZNF554",0.346766282825454,0.998594822677412,0.823098933452143
"ZNF738",0.565272719360125,0.719422242805648,0.919307927475367
"ZNF596",0.683835174872537,0.883814984795626,0.986320596262509
"ZNF621",0.890081340926981,0.943971111082884,0.987618011895576
"ZNF680",0.995382069557201,0.69040255012411,0.663161094375656
"ZNF483",0.704465119991494,0.790428919764135,0.933001211626308
"ZNF417",0.887274667042554,0.973975162848821,0.999037387449678
"ZNF791",0.127512070902425,0.563181517109683,0.961568919462361
"ZNF519",0.999974395760932,0.760811110657976,0.754631696598434
"ZNF25",0.528736708113493,0.888558499290619,0.998615457119549
"ZNF77",0.999802492144857,0.797664947165438,0.797665946042887
"ZNF169",0.482598250266425,0.998339219017082,0.918380527958232
