"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","N3a-N0","N3a-N1","N3a-N2","N3a-N3","NX-N0","NX-N1","NX-N2","NX-N3","NX-N3a","mean-N0","mean-N1","mean-N2","mean-N3","mean-N3a","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-N3a","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-N3a","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-N3a","Q3-NX"
"ZNF195",0.597800390806397,0.999996666302596,0.821409622482025,0.999177132946508,0.807054207083216,0.998605073198527,0.999815449728873,0.719986654910753,0.999540829962872,0.999991954406418,0.780337322039078,0.292835500291536,0.79778253943649,0.978673682257844,0.92570380054439,472.914513333333,335.526228571429,462.44685,522.7218,500.32215,655.818,54.096389140519,28.9733232107178,102.728636605274,77.422,55.2605360947952,113.8733,352.5535,269.94375,285.63425,484.0108,465.681375,598.88135,548.51265,368.7001,522.3927,561.4328,576.207125,712.75465
"ZNF263",0.975023533527435,0.999168465593461,0.938607604395488,0.92121868019344,0.995962971867125,0.872281260311633,0.942590929694508,0.754017520745617,0.994892850284429,0.704572830835042,0.999989278641941,0.992814784197321,0.999999627524074,0.955858833769015,0.997184260657662,576.266606666667,520.009385714286,604.7901,454.08355,660.602975,594.6358,40.9520627501908,47.5063917184656,104.314695126919,37.72615,44.6370249463077,112.5672,474.02875,495.2623,487.359475,435.220475,594.2756,538.3522,622.2949,597.1915,719.354875,472.946625,701.739725,650.9194
"ZNF200",0.985452388659506,0.941551719324741,0.999855621254249,0.959835020198707,0.998478663050645,0.999908417188641,0.965711050442605,0.999884686705816,0.999999999814912,0.999948782936818,0.998552769619505,0.973808110786609,0.942179836908552,0.937121492946629,0.951809587079519,229.406566666667,204.290528571429,192.704466666667,177.20125,191.82015,254.57645,27.9944559911638,13.8826784884672,26.0610205586257,4.38815000000001,31.3331149540307,52.14425,158.43135,184.74035,150.2309,175.007175,139.43715,228.504325,248.5971,221.51755,216.4173,179.395325,239.7665,280.648575
"ZNF582",0.519934482055408,0.793758241441563,0.999520324981843,0.999985963829606,0.956278033919077,0.989188301341842,0.999999998646672,0.810784339732237,0.93385424121303,0.99999624278378,0.968398003816954,0.526263967239737,0.680129020387781,0.979764142441793,0.980987959922229,18.6664533333333,35.0798428571429,31.4277166666667,21.08095,18.949575,6.4992,4.5889747969907,10.7706616317719,10.1952488097289,8.85515,4.29788096767368,1.7328,6.74645,12.60625,9.34245,16.653375,16.275575,5.6328,21.7487,53.89435,54.462425,25.508525,23.43405,7.3656
"ZNF285",0.47444263645637,0.902550416367106,0.990831868130021,0.947591067289265,0.999945383646246,0.999947517009027,0.999596547897176,0.606324928742836,0.899989544658535,0.924698881254846,0.963893317655551,0.485774417394152,0.751669861664638,0.796988684482087,0.99569037641981,19.6181866666667,40.0313857142857,31.92305,35.99775,15.366525,4.645,5.01575752739368,11.7932036384042,13.8428569726231,24.77175,2.86956778754078,0.5935,4.5828,11.7361,3.416975,23.611875,12.24955,4.34825,36.8474,64.3552,58.009875,48.383625,18.245675,4.94175
"ZNF275",0.735285458883725,0.996328898179581,0.978229649689957,1,0.966225993405815,0.999685866645867,0.999999984023171,0.897790507937786,0.998571013539187,0.999999999166443,0.989152541460423,0.999930730477601,0.999747546317808,0.996996108607591,0.992899991139908,850.01874,1060.8691,928.048866666667,848.9164,842.548925,1003.72585,104.157827548264,99.0451587836459,119.310074350866,58.6708,39.8158721185696,295.43225,590.89345,968.21545,719.638225,819.581,786.032225,856.009725,979.4527,1102.6375,1161.59435,878.2518,891.70725,1151.441975
"ZNF37A",0.994608478927203,0.256422877420907,0.668068899983532,0.896061585795237,0.788623674811865,0.230868012185906,0.999802818453096,0.988409757388881,0.423905476906796,0.974816582044525,0.913778078791264,0.986986031440333,0.998660223610245,0.638556149235627,0.899475995505103,631.769993333333,679.555828571429,844.545566666667,474.98275,602.247125,781.02405,49.0483578070017,65.1863186023531,107.949988610895,200.62105,71.5711982541671,15.44875,504.0706,538.4226,653.136,374.672225,515.97225,773.299675,732.1489,784.63675,980.31715,575.293275,682.894925,788.748425
"ZNF510",0.854797435262939,0.999996442170562,0.89636029583143,0.98858119491962,0.813054551742962,0.995683549914529,0.999566622949072,0.99271053965269,0.999126991664482,0.974854415187261,0.602011138314786,0.955704196261354,0.636612041485567,0.557724763333718,0.836920974512993,335.148133333333,391.255357142857,329.097666666667,285.4685,353.763825,463.513,34.61171507233,32.9692740880112,28.944896038135,43.8288,22.9865085824771,56.0294,234.4071,366.3953,292.871675,263.5541,327.97085,435.4983,418.57985,452.04325,368.9568,307.3829,389.344725,491.5277
"ZNF506",0.99888801106604,0.933997694124387,0.867865111956847,0.999549935880538,0.995371667963325,0.999805782866606,0.94270391345284,0.88276419562856,0.999999207426716,0.999547199819592,0.944560722376577,0.894321157953032,0.999774405928071,0.997747017403928,0.999959994986756,593.979533333333,549.417785714286,710.338183333333,654.7895,724.835225,767.60815,76.112057278253,67.6373880643314,77.0098427422643,55.3867,170.47205682168,154.69885,439.02055,460.03555,681.4399,627.09615,481.698325,690.258725,781.4302,643.1871,848.111125,682.48285,865.666,844.957575
"ZNF324",0.999258055767369,0.993365896001601,0.971346167376738,0.999991958763763,0.999433859838864,0.99995287368883,0.99999715933174,0.999178714645316,0.999544548792897,0.999999961975376,0.999979296122151,0.99999998213094,0.996491747059807,0.999899843045608,0.999922601042279,170.352626666667,161.9616,184.3976,175.863,173.6951,163.6872,14.4493952509454,14.783656312454,21.9938351819322,38.0888,30.157237441008,31.9753,140.4217,144.6784,161.943275,156.8186,140.55705,147.69955,190.6484,179.52705,191.840975,194.9074,196.34385,179.67485
"ZNF671",0.690164610335918,0.999999999744879,0.839291095251916,0.998225712283583,0.997619855068283,0.998946131417058,0.997557159586964,0.686611613419629,0.998514095047672,0.98580306438842,0.959569424575898,0.596519917937913,0.969653195814755,0.93322236577979,0.997903263812325,86.5625733333333,136.5019,87.19165,109.9772,67.84405,39.94745,21.3529828523892,33.2495365444607,23.9152602605219,36.9819,19.9598828300878,12.06375,40.88775,70.2807,46.81715,91.48625,52.518725,33.915575,97.8365,183.2467,107.2369,128.46815,94.943475,45.979325
"ZNF416",0.927799776882949,0.997778024274814,0.84888130733489,0.999999931658932,0.990494242530593,0.999938495700527,0.960450810201775,0.703278444919821,0.998667590558804,0.996181615566098,0.999728494975981,0.963072607968643,1,0.999976180483893,0.999691510454932,97.0486,114.744485714286,88.5234833333333,95.4249,78.286775,88.44565,12.5468036710588,14.4929715060756,11.1951436646853,18.2033,14.8243026150403,3.60295,71.1164,86.19925,74.675025,86.32325,64.448425,86.644175,125.3057,146.79205,104.63465,104.52655,84.42635,90.247125
"ZNF586",0.999999657668863,0.993594641736959,0.994192928652574,0.600534200749696,0.687158269578841,0.477633339011362,0.999953392871752,0.999995462418081,0.99149945416852,0.799412824195236,0.960391460243964,0.976159109044869,0.883527652207238,0.991077609401935,0.991018386147408,207.444933333333,209.991185714286,187.494816666667,298.72845,215.844925,254.34115,22.8100261873916,21.8770655758102,22.1331042854577,84.20215,31.3851308898916,19.72935,141.729,184.8586,158.318725,256.627375,182.4276,244.476475,239.47475,223.1395,200.46285,340.829525,262.031625,264.205825
"ZNF446",0.974591452166461,0.999998361095334,0.980560393988068,0.385185634109851,0.237838207101978,0.510388498161115,0.999865940604184,0.999479180839587,0.999698009150096,0.440918670946045,0.82629388318101,0.978506348667571,0.842931473093444,0.190728001708448,0.944325658190193,172.891726666667,151.091828571429,176.011966666667,267.5813,164.0641,114.3467,11.6586097911268,28.1205637950213,24.3571967872286,135.5902,21.5506919992143,23.2885,147.7009,104.9694,151.156775,199.7862,141.30215,102.70245,188.4418,197.741,209.6952,335.3764,172.6894,125.99095
"ZNF8",0.999795897315024,0.997241615513458,0.999972839348928,0.938060874518994,0.978995044276139,0.991742045688548,0.351585268950849,0.58930395128417,0.712096577101568,0.995093542825745,0.999916671127188,0.99910714644001,0.996676224661406,0.952935883464344,0.660461466991831,226.620653333333,238.379928571429,247.879516666667,293.33455,336.4148,210.49925,29.319890990655,27.6855437391646,22.6857806864773,63.35365,59.009220694326,1.76955,151.70845,189.5379,226.30485,261.657725,250.820875,209.614475,289.3225,276.2779,256.177075,325.011375,413.262275,211.384025
"ZNF264",0.998564806259422,0.530484169628538,0.849781892048938,0.999962747382583,0.999999950303454,0.956839438236554,0.906706543833978,0.988092575341596,0.998624597176966,0.995794807540698,0.534529765800253,0.459517019789808,0.129492159818354,0.70817973085051,0.288875182890862,1137.16924666667,1216.7176,1499.1628,1199.20965,1387.97465,575.18175,137.720222027366,93.493428773198,155.121119874787,209.27655,122.075411766501,425.75375,660.5753,1039.3167,1221.694875,1094.571375,1335.181575,362.304875,1596.4181,1365.89715,1770.61135,1303.847925,1529.851125,788.058625
"ZNF213",0.999968599002638,0.999587291515522,0.998202423107924,0.971216149961618,0.960871450279009,0.994784352916268,0.963711963809771,0.990775344276019,0.933990332340972,0.837651504110865,0.523420579010332,0.524352381652452,0.719023857526819,0.97709522254661,0.35019317080286,665.22118,679.702214285714,639.437033333333,565.3888,744.026425,439.59195,38.5198943268172,94.7455378626964,69.6374639745047,111.2356,52.6624783707745,62.79125,592.27585,538.4035,541.06735,509.771,695.25805,408.196325,714.52555,831.41125,728.614275,621.0066,812.895975,470.987575
"ZNF343",0.999970245787331,0.98609150222594,0.998266891576792,0.00772084643018522,0.018027878028313,0.0411665573360531,0.981782638953387,0.973537278516586,0.882897912015363,0.00877924910316397,0.997403825245879,0.999499255450543,0.999999994434315,0.148438280371561,0.957352485679215,268.74548,277.654928571429,302.5081,577.51255,226.95435,305.3513,24.0304625181817,19.8852394195234,48.0084157345633,256.71975,25.831115035118,25.7993,206.86215,255.41415,242.702325,449.152675,196.204825,292.45165,315.38935,308.33665,305.86435,705.872425,267.868425,318.25095
"ZNF302",0.290767903759235,0.999997321375702,0.56021246045473,0.999320378197068,0.637649217365801,0.998850465056367,0.994996244729995,0.347197925572642,0.99419816818154,0.999999983002469,0.999999999997053,0.823669995265022,0.999999884943294,0.999812070371252,0.999300914045024,362.93834,769.229971428571,385.15235,256.77045,242.3141,365.16785,41.1113195480582,328.531392239563,82.7675956040033,82.73235,27.8752668978852,28.77875,238.7387,333.6498,232.1148,215.404275,204.900825,350.778475,413.26075,623.96295,556.5451,298.136625,275.934925,379.557225
"ZNF268",0.997636704196297,0.99952738681355,0.999999123790172,0.999999877094449,0.999581750879454,0.999871739816494,0.557751779813122,0.842315587955123,0.822059302773893,0.860342510588039,0.99992123484679,0.997185207018325,0.998704412237414,0.999996047418322,0.793402606573355,324.93614,357.503714285714,349.544233333333,317.6692,476.50395,298.3156,36.9565380024232,64.9965444544277,47.1644911475902,14.2258,103.283096878575,240.8799,250.66105,219.04215,293.036525,310.5563,326.6636,177.87565,399.34345,517.0772,394.048775,324.7821,563.25655,418.75555
"ZNF184",0.981402517529516,0.899025002558754,0.681300751831258,0.991418745407603,0.999987319139755,0.853930815054655,0.982539255318042,0.999997780946301,0.740240210336404,0.999999840313301,0.993060173282913,0.938716083126186,0.999998071586292,0.953455599014004,0.936144321673106,236.026766666667,261.173857142857,196.024333333333,270.85075,266.504075,202.7751,20.1145472419262,38.4868778205164,21.2863177439354,53.13345,40.1209256373441,38.8836,198.41465,198.90085,171.6567,244.284025,202.44005,183.3333,260.83175,296.5147,191.399675,297.417475,329.886875,222.2169
"ZNF500",0.965592500718804,0.531487657821327,0.958608377046557,0.878265087737254,0.674939904247472,0.350772387067503,0.823806277874769,0.995298302462263,0.999917856476137,0.513167154081649,0.807478151141841,0.584975338061546,0.280581268972334,0.999996674972114,0.432470930365525,271.695373333333,301.410685714286,339.1511,204.48445,327.507975,195.0304,17.0190193130354,39.2925417672509,44.189144828438,32.96345,31.4045398266019,6.27919999999999,221.0545,252.89605,299.11605,188.002725,277.862075,191.8908,315.2951,391.89035,418.6488,220.966175,364.82945,198.17
"ZNF419",0.999683026629353,0.993648002099889,0.978668645612694,0.999947928572251,0.999999998930299,0.995399324022128,0.992916252549971,0.978554047636584,0.999999521789265,0.994016725325558,0.936905613462274,0.902242960302841,0.994502734782898,0.955588175227146,0.99768771931046,82.2442133333333,88.0786714285714,70.7236,88.89215,68.502475,51.84765,13.5068055567797,13.8076986993922,5.38150219926246,47.38975,15.2322051003991,36.83335,40.1918,63.55005,62.924175,65.197275,43.6127,33.430975,116.8771,109.2036,81.6259,112.587025,89.641075,70.264325
"ZNF175",0.836037496899791,0.946791707560438,0.999933146893344,0.68670924447435,0.981018312083013,0.959843890900972,0.940492469351006,0.548194507439196,0.69222280898889,0.440408714775288,0.805000482909376,0.443577949495473,0.552418760896573,0.338969743408097,0.995769215877967,164.867586666667,208.312342857143,198.905083333333,252.6471,124.1041,89.6483,26.2298758810851,20.4544124925913,21.7570131743831,52.2792,24.5070892376403,16.2451,85.7654,168.4739,173.6158,226.5075,86.693875,81.52575,231.68665,248.6683,241.575325,278.7867,159.043525,97.77085
"ZNF14",0.995376738174537,0.999379804303361,0.999994448853878,0.999546846368157,0.991213123433105,0.996253263967366,0.980980736901123,0.91507489528589,0.953591789922318,0.99997137481039,0.999949901622372,0.996537642944621,0.998811944876823,0.999999287048341,0.999751253088458,175.61176,191.652028571429,186.727816666667,159.3707,148.70805,165.2348,19.9600031089481,24.7961683824885,30.2749293962228,23.2974,16.4960200395176,9.13379999999999,149.3406,156.25455,163.881325,147.722,124.480025,160.6679,184.9795,226.23925,207.019775,171.0194,163.913425,169.8017
"ZNF85",0.666455021653873,0.999103672658881,0.938034111589537,0.999972501340473,0.981735088775739,0.999999951053736,0.998441322558604,0.691106983237294,0.988318921736083,0.998197024177601,0.999847984197502,0.880424097345679,0.997557624948205,0.999480582972093,0.999999970716073,95.0884133333333,192.113914285714,119.75585,113.9964,62.8508,68.36285,23.6300503008006,104.018882052398,22.7312716306963,44.9392,11.939984110263,52.87195,41.40695,67.5198,76.546,91.5268,51.55105,41.926875,102.8394,126.5991,144.05695,136.466,70.28595,94.798825
"ZKSCAN1",0.830518055799012,0.870946819429016,0.387154379674189,0.999999445532505,0.98929240169222,0.975870897943316,0.99812286141486,0.995710626122797,0.832090334927111,0.999946482861311,0.999175301707985,0.999181254906675,0.918257756638308,0.999942497349817,0.999999991829265,2221.66436,1611.44787142857,2817.53978333333,2154.10135,1959.3629,1925.9472,337.917699242571,108.184569616314,629.928962245513,10.94715,53.0827638220889,354.6889,1167.0613,1436.2812,1937.257625,2148.627775,1898.956025,1748.60275,3265.33715,1748.5654,3238.5439,2159.574925,2005.114275,2103.29165
"ZNF862",0.989642681845785,0.999370524931783,0.966771903579467,0.99772680121633,0.999999815512571,0.989967890837687,0.994715079463034,0.999999997486896,0.979350324211568,0.999999983144172,0.991268406547042,0.999947450276585,0.975361242419244,0.99999744659729,0.999979456222371,488.413453333333,416.019928571429,530.66075,402.4309,411.52315,373.73585,67.4929635743149,83.0899660823069,146.966497263423,207.1774,26.1364669676138,146.37645,334.56765,254.70245,341.3238,298.8422,374.74485,300.547625,547.771,575.74215,597.874625,506.0196,452.1499,446.924075
"ZNF684",0.989735879645611,0.999689861495378,0.999861380148305,0.999992332672928,0.996682996864085,0.99964540516228,0.995192368023592,0.942216462077457,0.984359464805157,0.999929942667813,0.999979755593899,0.999962486717883,0.999999999715743,0.999903147711891,0.996540701750144,64.29994,71.6869142857143,68.03555,61.5458,56.596525,67.64825,8.38498094090914,8.61496164453857,9.35507350531429,5.8105,4.94759053839594,13.54915,40.87655,57.3072,48.618475,58.64055,50.202925,60.873675,86.30005,83.5621,86.404975,64.45105,61.6141,74.422825
"ZNF430",0.178951191447095,0.999985564339202,0.298246909122646,0.999815517511352,0.86042312222634,0.999394393749853,0.989058843010448,0.823343032025346,0.985668681358769,0.99997637226551,0.996678058210562,0.932830477818669,0.994440813774461,0.99998312171395,0.999999999925704,174.2303,335.735657142857,163.266716666667,202.83205,224.538675,226.25445,17.9101207130972,114.261844799424,13.752397890051,29.51305,23.2688027323559,44.65295,121.38485,165.07965,145.8999,188.075525,200.4209,203.927975,206.5886,365.2362,188.44405,217.588575,230.449975,248.580925
"ZFP30",0.98680597794002,0.999996607474404,0.998024125143368,0.999950806453757,0.999972120740863,0.999996810420191,0.999959767604927,0.99966166832814,0.999999483775351,0.999999955228083,0.99613887235195,0.999998791938018,0.998807138333054,0.999922799343361,0.999626059391817,206.907086666667,161.679471428571,198.217616666667,183.71045,190.256825,149.9544,53.4106760810206,35.3381001599967,23.818378595004,50.01845,36.0484969105596,107.6719,108.7173,95.7408,197.19235,158.701225,149.3713,96.11845,207.9297,228.1934,236.3849,208.719675,207.952975,203.79035
"ZNF549",0.967518695138141,0.999998991172433,0.992364031834722,0.656957826873005,0.922671646250785,0.758804631518894,0.999503473705542,0.952471237195075,0.99925944817572,0.650968203514184,0.956505529114287,0.812635987908831,0.958968232700178,0.494903253085025,0.994677445831836,116.543513333333,146.971071428571,120.275183333333,212.8658,101.341475,62.90495,24.171147826956,36.3552880681537,22.1435812339139,80.1943,18.5870418502324,43.36255,36.53495,86.99175,101.3723,172.76865,83.209425,41.223675,182.26005,198.4966,150.48015,252.96295,120.20135,84.586225
