"gene","p-adj-Stage IB-Stage IA","p-adj-Stage II-Stage IA","p-adj-Stage II-Stage IB","p-adj-Stage IIA-Stage IA","p-adj-Stage IIA-Stage IB","p-adj-Stage IIA-Stage II","p-adj-Stage IIB-Stage IA","p-adj-Stage IIB-Stage IB","p-adj-Stage IIB-Stage II","p-adj-Stage IIB-Stage IIA","p-adj-Stage IIIA-Stage IA","p-adj-Stage IIIA-Stage IB","p-adj-Stage IIIA-Stage II","p-adj-Stage IIIA-Stage IIA","p-adj-Stage IIIA-Stage IIB","p-adj-Stage IIIB-Stage IA","p-adj-Stage IIIB-Stage IB","p-adj-Stage IIIB-Stage II","p-adj-Stage IIIB-Stage IIA","p-adj-Stage IIIB-Stage IIB","p-adj-Stage IIIB-Stage IIIA","p-adj-Stage IIIC-Stage IA","p-adj-Stage IIIC-Stage IB","p-adj-Stage IIIC-Stage II","p-adj-Stage IIIC-Stage IIA","p-adj-Stage IIIC-Stage IIB","p-adj-Stage IIIC-Stage IIIA","p-adj-Stage IIIC-Stage IIIB","p-adj-Stage IV-Stage IA","p-adj-Stage IV-Stage IB","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage IIA","p-adj-Stage IV-Stage IIB","p-adj-Stage IV-Stage IIIA","p-adj-Stage IV-Stage IIIB","p-adj-Stage IV-Stage IIIC","mean-Stage IA","mean-Stage IB","mean-Stage II","mean-Stage IIA","mean-Stage IIB","mean-Stage IIIA","mean-Stage IIIB","mean-Stage IIIC","mean-Stage IV","SEM-Stage IA","SEM-Stage IB","SEM-Stage II","SEM-Stage IIA","SEM-Stage IIB","SEM-Stage IIIA","SEM-Stage IIIB","SEM-Stage IIIC","SEM-Stage IV","Q1-Stage IA","Q1-Stage IB","Q1-Stage II","Q1-Stage IIA","Q1-Stage IIB","Q1-Stage IIIA","Q1-Stage IIIB","Q1-Stage IIIC","Q1-Stage IV","Q3-Stage IA","Q3-Stage IB","Q3-Stage II","Q3-Stage IIA","Q3-Stage IIB","Q3-Stage IIIA","Q3-Stage IIIB","Q3-Stage IIIC","Q3-Stage IV"
"ZNF195",0.918401512553839,0.999999999966364,0.971757114999503,0.997730969931068,0.997282213884721,0.999693234846092,0.996999169673572,0.999989602527165,0.99921104662075,0.999999764217868,0.991006727318087,0.999990142080897,0.997725961818473,0.999996662538918,1,0.999999999953152,0.91047420923386,1,0.998104063870983,0.997608961677197,0.99180089918141,0.996123369462758,0.997811788846057,0.999451048886302,0.999999999997755,0.99999993174741,0.999998667635276,0.996482226417954,0.999959661855392,0.998122815762013,0.999995246123674,0.99999997837499,0.999996290295148,0.999981566248679,0.999982318298981,0.999999881525259,358.777766666667,560.53625,371.96465,462.935716666667,498.81255,506.474766666667,370.276975,468.691585714286,436.39835,24.2207345906583,182.114498347342,104.07475,55.0422751222635,158.77595,209.521865450938,61.6781259265441,46.6806489944604,70.52875,342.0646,355.611125,319.927275,401.4552,419.424575,297.67825,287.816525,393.622,401.133975,382.3161,611.584425,424.002025,551.776625,578.200525,625.95845,414.62945,576.20865,471.662725
"ZNF263",0.974636555089779,0.999936150313324,0.883964996373015,0.999999769128212,0.980311132392271,0.998491769160851,0.998424530988726,0.999999858288967,0.977165720068907,0.999522455654279,0.98650188633924,1,0.92054834513835,0.99165135366944,0.99999997753122,0.999985272526916,0.823330320455439,0.999999990109621,0.998687680294713,0.975119233641655,0.889862663480357,0.970878424032039,0.999999999622385,0.868988218420606,0.973211023232787,0.999999990732601,0.999999999999156,0.770883040591357,0.999819092469374,0.999976567287283,0.992141104368503,0.999979067779318,0.999999976117876,0.999992169323386,0.992714941846656,0.999990690359206,514.8335,652.33805,445.40375,540.9261,622.2949,647.398466666667,466.8832,642.019014285714,594.5833,43.6018701204815,141.328766797354,175.20555,42.7730328224377,1.73160000000001,70.7674321628326,55.9448207863933,78.1189888861473,0.9803,474.02875,467.5816,357.800975,452.20925,621.4291,577.87735,434.94225,504.61065,594.09315,548.5427,805.3884,533.006525,596.722925,623.1607,693.61035,529.6607,728.21835,595.07345
"ZNF200",0.870742908545112,0.999999998060607,0.960515819724793,0.999999999919863,0.786674145942591,0.99999999998647,0.999602724721788,0.99880489179303,0.999965072743281,0.999610796612109,0.999787644260902,0.992175044588109,0.999990108359255,0.999783178480466,0.999999999429729,0.999871807149494,0.503800060027885,0.999666682614934,0.998777603248161,0.977841061712501,0.975610241115383,0.999999999488176,0.640948939698102,0.9999997246383,0.999999680787447,0.997557371207447,0.997892222898753,0.999878536272715,0.99997974601468,0.753911729769912,0.999921317318025,0.999853827353185,0.992389956658059,0.993392495701934,1,0.999989910030347,196.9883,289.46925,206.126,201.736216666667,240.91965,233.0823,165.43415,191.143571428571,167.40675,28.8213387095395,91.9443069325711,34.7499,17.2577641155011,115.69115,32.9711819916019,20.4070077175505,16.5135637579957,31.74165,168.20485,193.081625,188.75105,165.2016,183.074075,200.1319,147.62475,159.14785,151.535925,212.65945,342.689725,223.50095,232.077825,298.765225,250.57115,178.28725,220.28845,183.277575
"ZNF582",0.996393710171339,0.982370125466287,0.999987209513598,0.999996391586022,0.99952294190723,0.99372037173377,0.989031842749972,0.999997992717425,0.999999999981158,0.996814511525046,0.871040097090759,0.997094094775806,0.999997824285859,0.903889117818734,0.999987475258954,0.522920133690224,0.896013220388979,0.997017777857635,0.499203349850577,0.994285864320571,0.999814368009281,0.998967951797925,0.999999596301512,0.999591528218302,0.999962217854019,0.999871683050824,0.976080273464239,0.69030115994296,0.999999227265283,0.999959274426202,0.998624801775743,1,0.999342007383303,0.978168631268911,0.823012997668005,0.999998582967064,10.9489666666667,23.7794,30.53785,15.6368666666667,29.10555,36.2102333333333,44.6865,20.6365142857143,15.9199,1.3540309454038,9.0825498064512,24.50805,9.58108249491906,7.45755,22.4128645850498,11.3107092658536,5.35792011935995,11.3342,9.6834,14.8406,18.283825,5.02355,25.376775,13.99815,42.28935,9.6672,10.2528,11.99865,28.6898,42.791875,9.9971,32.834325,49.90855,57.30335,26.0484,21.587
"ZNF285",0.999990572828496,0.412328266070767,0.523362019901232,0.999996022722387,0.997149526271664,0.17403476137875,0.999999994686745,0.999999973468432,0.605656368788983,0.999959782341146,0.999905469629163,0.999999983833768,0.669772911370866,0.993316008686899,0.999997949057649,0.776497437815774,0.89084005648899,0.989437676835,0.392065447116519,0.921592431701855,0.963096427398715,0.999999999526607,0.99999569858753,0.295671125858183,0.999802414373843,0.999999999977913,0.999923819704392,0.63021988783349,0.999995134579024,0.999049449390067,0.359065251805224,0.999999999828086,0.999963691011702,0.997460328664812,0.693313394078872,0.99993305319827,19.6373666666667,25.9776,68.2938,14.3847666666667,22.57085,28.8004333333333,49.346025,21.2746,12.67845,12.6717535710116,12.6085433273766,11.0461,7.22932312754413,15.82035,21.56073066954,15.4959611015459,7.74955563730684,9.73055,7.5452,5.989625,62.77075,3.110275,14.660675,7.4693,36.203525,10.01285,7.813175,28.9644,40.832275,73.81685,19.7709,30.481025,42.1837,68.61575,26.6529,17.543725
"ZNF275",0.989874928316042,0.925678576548395,0.999703134366406,0.981332997047814,1,0.999635981543467,0.999999722211058,0.999607616917487,0.98512581750233,0.99925626204978,0.996535815266676,0.999999999888529,0.999494799987982,0.99999999892402,0.999904563753802,0.996973917760033,0.999999974830633,0.998564204290551,0.999999867322237,0.999946867364985,0.999999999975431,0.96522334309806,0.999999998092031,0.999851057081836,0.999999999135876,0.998138406397579,0.999999880226896,0.999996764263705,0.803656344049744,0.992970395105333,0.999998664235303,0.990933083556253,0.937953160440189,0.991515640837024,0.982416919370495,0.994146002762213,676.637033333333,919.521,1085.31065,924.60855,747.31735,897.400533333333,879.0915,945.435085714286,1179.8386,145.00005911675,130.026053003754,72.09965,234.58297780665,259.20035,127.093660766438,134.856016100092,62.9874312381954,385.8345,538.7617,742.012025,1049.260825,580.209175,617.717175,822.16845,827.367125,833.3113,986.92135,784.45345,1006.125125,1121.360475,1059.78625,876.917525,1023.7279,992.302025,1053.8683,1372.75585
"ZNF37A",0.964442594660873,0.999999480487347,0.997586365946671,0.999999999847172,0.94009665859669,0.999999904718508,0.997929142146799,0.999999626387363,0.999945906670247,0.997718709336173,0.944930328310675,0.999999956965759,0.993852653898237,0.916200865986432,0.999986327943294,0.982038753010106,0.999999995561295,0.99920981526015,0.970172888973626,0.999999997459103,0.99999723635063,0.998544831708852,0.999334083899772,0.999995665494841,0.997512830348521,0.999999628540666,0.997211635982445,0.999914699824725,0.971564263074672,0.999999988648923,0.996825811078215,0.962581558860516,0.99999406892214,1,0.999999148647897,0.999098467906724,554.1163,749.494575,604.17515,568.05365,703.9504,780.0591,728.231125,661.815585714286,778.79845,93.8855697245855,116.421629076111,164.63215,76.4795523893053,54.2763,139.598716110679,54.2088420814565,120.287714010681,126.21305,484.9831,632.517775,521.859075,456.788425,676.81225,655.85135,655.232275,491.2898,715.691925,643.69495,800.54845,686.491225,729.843475,731.08855,897.3461,809.31085,724.71365,841.904975
"ZNF510",0.934879684278369,0.868981225531437,0.999963442612823,0.999999720196721,0.724240907458023,0.676659150507378,0.857267999197,0.999939201544828,1,0.657965634137077,0.99642437242714,0.999961021679843,0.997373562947753,0.964378409450051,0.996640200115116,0.988366364590684,0.999991192396544,0.99833568743077,0.905489819708423,0.997794239045029,0.999999999536259,0.99964290612732,0.990326200712271,0.9576427603871,0.984002883372029,0.950940664456719,0.999988150758459,0.999812467607559,0.999962592505935,0.998813834730612,0.988099384124528,0.998891869680965,0.98596409373932,0.999998275893594,0.999980481650916,1,296.2101,396.59255,434.37005,279.70955,436.9821,362.994766666667,370.95765,336.999557142857,336.1512,40.6135947338244,56.9419751598429,34.37005,64.9103494838163,93.6395,77.551099201265,35.055870554338,20.3334617636833,2.70869999999999,269.90485,321.101675,417.185025,170.613225,390.16235,306.7927,347.25035,312.3005,334.79685,336.16055,444.518425,451.555075,380.504475,483.80185,437.3735,411.3374,374.1467,337.50555
"ZNF506",0.938583558098385,0.993003910286973,0.999999937668906,0.856659430827787,0.999999990236451,0.999996183786565,0.70444552993229,0.996942971565597,0.995010295595232,0.998416854859204,0.77493905114112,0.999828366561014,0.999424509040356,0.9999617812252,0.999997367400564,0.651536396628448,0.998925235209186,0.997938371242816,0.999595787532475,0.999999679960307,0.99999999961464,0.686694378498958,0.999921475624149,0.999666621418929,0.999990483876903,0.999916589156098,0.99999998941706,0.99999827397125,0.998715073394973,0.999980311350418,0.999999962042295,0.999796991897107,0.982922431590424,0.996062921923173,0.989406640652034,0.996605238863032,366.1234,610.4161,569.2861,634.690116666667,780.75885,711.033,730.177525,684.818714285714,524.6724,163.072386166216,75.7496335591467,218.6038,149.327139008405,203.24485,86.0582149377385,65.2905373076933,99.3440733930707,65.8943,249.88295,546.311275,459.9842,369.20465,679.136425,632.9902,659.099375,544.3706,491.72525,523.29195,670.657425,678.588,826.056125,882.381275,781.46305,811.12395,732.948,557.61955
"ZNF324",0.999940216292926,0.987423217408722,0.8912622365872,0.999851467032768,0.972588772793359,0.999262855717724,1,0.999963242597978,0.994077202159042,0.999968924080895,0.999999819219039,0.999999756338986,0.962532666839198,0.997415163043511,0.99999980940168,0.999999999912882,0.999629991332738,0.989017031655034,0.999929953288403,0.999999999999108,0.999996612036003,0.999999994161605,0.999977542453045,0.949982949089761,0.99554141641645,0.999999990876824,0.999999998755836,0.999999328621812,0.998923414032104,0.999997024495045,0.861053648101179,0.955644195463231,0.999278173302394,0.999910321255354,0.996918689783451,0.999199363896283,173.312866666667,191.84735,126.14425,153.949366666667,172.1326,182.7144,169.9449,178.468328571429,206.0877,22.2858214232228,40.7417852174419,18.25435,13.1423589757107,78.3244,15.1960445091258,23.9072315179947,20.418145341218,49.1928,151.03095,146.57115,117.017075,139.1132,132.9704,172.992,144.441425,143.74375,181.4913,184.8151,201.77105,135.271425,178.57005,211.2948,197.68975,196.943925,198.0956,230.6841
