"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF195",0.737002655637132,447.68384,469.533,35.4911256774111,48.1643589795228,349.68985,327.2333,541.9647,576.2056
"ZNF263",0.570477013754133,592.09268,560.536466666667,39.0556576616588,37.2335438393644,517.7545,447.4151,638.02055,620.6093
"ZNF200",0.503800524414242,201.956246666667,220.42149047619,13.6387326370084,20.8799225921263,153.8483,165.646,237.88725,240.8759
"ZNF582",0.127700665632572,29.7499333333333,18.991980952381,6.72321102466364,3.32062950544894,7.09845,8.8136,50.9769,22.1607
"ZNF285",0.947304332226242,25.5775,25.0057095238095,6.01033895248925,5.84611034802467,4.8003,6.385,41.0986,43.8217
"ZNF275",0.0909973794155223,1018.27846,835.521966666667,87.231938767877,63.3573998924215,778.06035,616.5192,1172.0106,1006.5177
"ZNF37A",0.463974048262021,703.258986666667,651.08720952381,54.1930141365585,45.2322668945042,620.9013,531.3601,771.963,768.8073
"ZNF510",0.497690815285301,365.88158,341.209052380952,25.5928735419121,24.2931800403878,345.3373,273.224,418.57985,400
"ZNF506",0.766045463717786,647.187873333333,621.617366666667,73.869842145092,49.1890755820012,453.37885,577.514,783.5186,787.8899
"ZNF324",0.115450967571624,186.74034,160.389614285714,11.8206227304366,10.8902655107741,146.98895,138.9412,210.01795,164.6329
"ZNF671",0.292465176790434,108.512166666667,81.9354666666667,25.704457223396,10.3537019604086,37.92885,48.3548,151.6311,100.609
"ZNF416",0.850516299648146,97.89556,95.3588619047619,5.61599367306318,10.5177587325448,84.5835,69.4698,112.89385,118.3934
"ZNF586",0.860970586828088,210.60142,215.09899047619,18.4120369910044,17.0467205582466,168.14555,170.2223,246.7631,242.4145
"ZNF446",0.610880139529352,176.92784,165.394538095238,13.0166246277919,16.5082976128766,148.03685,131.3073,200.00705,193.5323
"ZNF8",0.908345490870493,245.229146666667,249.054095238095,20.1315289127891,23.8261154513772,202.0335,154.9421,301.14665,278.2108
"ZNF264",0.14977372051887,1342.85334666667,1120.35332857143,125.685137946745,90.8249500640651,1140.1223,877.9174,1645.6622,1408.4862
"ZNF213",0.762026894555296,664.968186666667,646.876180952381,38.716371354026,41.696425309031,612.80035,561.4901,777.404,725.6329
"ZNF343",0.378476300706463,268.75472,306.2876,10.0149749703712,34.6836800016644,253.3894,204.6948,287.28725,348.2569
"ZNF302",0.937268364931959,419.78188,431.238276190476,43.2277039167291,117.702976640201,309.10645,210.3286,544.5059,412.2486
"ZNF268",0.414893224907041,375.911173333333,332.054823809524,44.6454266736476,31.6715518927512,285.9848,260.0548,510.5467,421.1264
"ZNF184",0.196400702417753,217.753833333333,251.986904761905,14.9169579938841,19.1516941641868,177.02305,188.3657,246.7094,297.2676
"ZNF500",0.153331741027906,311.201166666667,269.583623809524,22.4967224329756,17.9472720098161,239.58335,215.9536,392.4006,316.0676
"ZNF419",0.814443931116994,80.57714,77.2089476190476,9.00828753062212,10.1520977285429,51.7193,42.4413,109.2036,90.3955
"ZNF175",0.862302036532193,178.045906666667,173.092823809524,22.9354777363834,17.4914098275505,99.83875,136.2285,244.5399,225.5702
"ZNF14",0.299640615501397,189.586233333333,166.4932,14.2588401258096,15.4543986251056,152.0414,119.5545,213.45615,192.9546
