"gene","Mucinous-Mixed","Papillary-Mixed","Papillary-Mucinous","Poorly_Cohesive-Mixed","Poorly_Cohesive-Mucinous","Poorly_Cohesive-Papillary","Tubular-Mixed","Tubular-Mucinous","Tubular-Papillary","Tubular-Poorly_Cohesive","mean-Mixed","mean-Mucinous","mean-Papillary","mean-Poorly_Cohesive","mean-Tubular","SEM-Mixed","SEM-Mucinous","SEM-Papillary","SEM-Poorly_Cohesive","SEM-Tubular","Q1-Mixed","Q1-Mucinous","Q1-Papillary","Q1-Poorly_Cohesive","Q1-Tubular","Q3-Mixed","Q3-Mucinous","Q3-Papillary","Q3-Poorly_Cohesive","Q3-Tubular"
"ZNF195",0.736888994355327,0.94838693552915,0.945130682995396,0.710331263497307,0.999854786308924,0.935791627265004,0.993658491485267,0.663222092879635,0.974039544487658,0.435554046662059,576.2056,334.5733,442.3236,354.900483333333,506.9185,NA,66.6834,62.462571283316,37.1193552422759,74.9457924752093,576.2056,301.2316,392.51305,285.63425,364.330225,576.2056,367.915,499.86875,394.420675,580.677575
"ZNF263",0.266233815939792,0.999587522356702,0.125648775414051,0.628649812946226,0.698882197779705,0.39295162405382,0.6325605144224,0.64876488909913,0.377603502041586,0.999995711975994,781.1756,405.6938,747.375933333333,559.21245,564.2332,NA,135.4956,155.845240000653,29.8275360348985,43.8583811105578,781.1756,337.946,610.21085,517.58305,444.4488,781.1756,473.4416,880.0296,587.76035,621.4291
"ZNF200",0.991269090232459,0.99439819770089,0.808950938585048,0.907037792727705,0.988548209135279,0.332360158427455,0.99999979998167,0.965052606498769,0.949302084421456,0.484308727017842,234.0725,200.14045,262.537766666667,175.82675,232.0961125,NA,28.76435,29.5304999058224,16.5810342699674,27.9855750166456,234.0725,185.758275,240.4463,148.231925,162.038675,234.0725,214.522625,290.55445,205.91015,271.162975
"ZNF582",0.966168998986709,0.987468693464727,0.594229983832649,0.305778689368643,0.458888996103758,0.0111692686486501,0.999352533869049,0.699653395534055,0.988450265247357,0.00348598668421163,19.3594,30.6648,11.2414666666667,50.8088166666667,15.89825,NA,24.3811,5.34688889022808,5.22491940348791,4.12759628290399,19.3594,18.47425,5.9375,48.166375,8.382275,19.3594,42.85535,14.479,57.77085,23.0704
"ZNF285",0.933697218956245,0.988724286254702,0.991187444146169,0.474882231536351,0.825422969451551,0.413484085828872,0.998658651191964,0.914673039191896,0.995042359594593,0.0813110342738388,8.7997,29.97035,20.9638333333333,49.181,15.2215125,NA,27.27735,18.2430358125444,8.23884840484397,5.86013670027164,8.7997,16.331675,2.7366,38.77325,3.78005,8.7997,43.609025,30.7349,60.5007,20.178125
"ZNF275",0.999670494007402,0.999999986790723,0.999226094222364,0.999358934025352,0.975551182108984,0.995621898988733,0.999422291492772,1,0.997526870835916,0.899446415520328,937.698,851.7581,931.284866666667,1027.40103333333,851.9062625,NA,161.4529,134.793446677516,64.7994838021552,176.914014737367,937.698,771.03165,809.936,938.708725,549.172925,937.698,932.48455,1042.7805,1161.59435,965.9202
"ZNF37A",0.969677773472522,0.492625185883485,0.72258526927741,0.894314102263843,0.998953066049229,0.682694555594153,0.992317082073829,0.994751892806688,0.254514659244479,0.87216496587131,540.6547,688.93685,912.363366666667,729.658683333333,629.21315,NA,79.87045,187.705575827627,33.6837569205536,75.0055479679265,540.6547,649.001625,728.7725,657.4785,512.342325,540.6547,728.872075,1038.00895,792.875275,708.8437
"ZNF510",0.977275572926189,0.999999728921775,0.924260284694548,1,0.907624447223333,0.999998180837011,0.853546451049774,0.990699005818171,0.511551636893308,0.332496697731473,388.2436,318.2675,391.943266666667,388.295916666667,282.7724875,NA,81.7325,66.4057059239474,16.430250169031,42.6578470639611,388.2436,277.40125,328.1437,356.842475,215.791225,388.2436,359.13375,439.7961,422.204325,344.7121
"ZNF506",0.999995408834493,0.99418339845912,0.974614724220472,0.999996045407225,0.999732501738932,0.979933766207154,0.948841751394332,0.821019996920248,0.990703336203572,0.702986960648581,755.7198,776.1263,638.340433333333,738.3829,560.4684375,NA,11.7636,161.058151714697,101.758262910897,96.0848908514143,755.7198,770.2445,496.35715,596.771325,406.3388,755.7198,782.0081,775.1755,825.673,665.732875
"ZNF324",0.922761753425279,0.959579889521545,0.339714231678924,0.988701239923825,0.386071932898427,0.995361218525906,0.999978913674515,0.78832823827259,0.698100717164523,0.786859422462558,176.6983,131.36865,212.036133333333,199.981116666667,172.09195,NA,23.47875,33.1226285209137,14.3374731479764,17.5680399676108,176.6983,119.629275,180.1477,183.6053,143.62595,176.6983,143.108025,235.73775,217.204825,199.3844
"ZNF671",0.999944942383051,0.963853937068452,0.857572990169689,0.840250943271338,0.765825429065061,0.114805857610707,0.967125229123325,0.834068647710368,0.999951756288173,0.0339852564367945,99.9648,109.29135,52.7829333333333,169.451416666667,57.7701875,NA,65.75455,23.9198110363448,38.3427926672225,7.2700679003372,99.9648,76.414075,28.8699,98.0813,42.610525,99.9648,142.168625,65.23255,190.796275,69.028175
"ZNF416",0.00270347526777936,0.344503409029266,0.014492219638007,0.296190314404009,0.00576234047294033,0.999999370780075,0.954546912292723,0.000142308636400634,0.231218498066462,0.0995491912157132,51.3904,181.56045,102.814366666667,102.16845,68.3983,NA,26.69805,9.75885731567881,9.13461785074596,7.89615417990664,51.3904,168.211425,95.02485,88.084775,59.32015,51.3904,194.909475,111.8002,117.086675,85.136325
"ZNF586",0.999991425605769,0.858314462807824,0.668060323748995,0.985862967212005,0.93287657195579,0.913967351120953,0.794432981267374,0.508512324046503,0.999992217498716,0.755615041031154,271.3833,278.2675,187.431766666667,231.29015,183.7176125,NA,41.7325,45.8673066690329,29.0482041659348,26.8766148239734,271.3833,257.40125,144.1124,191.907425,139.030375,271.3833,299.13375,222.1464,252.7565,228.371375
"ZNF446",0.584659431545602,0.751623289932255,0.988134704355774,0.80462507729273,0.932760828402746,0.998474363948499,0.779459593634899,0.936515114329725,0.999061913915548,0.999997341372639,226.8286,127.71295,151.506766666667,162.305916666667,160.6393375,NA,65.81935,37.0576183479337,6.49472629361272,21.6216565036072,226.8286,94.803275,117.8253,151.156775,123.079525,226.8286,160.622625,181.73105,175.289525,189.47185
"ZNF8",0.0436506057770915,0.0265182361583765,0.999983220605472,0.164286747957865,0.551562539512394,0.358685883581491,0.00875920319460322,0.989336308687816,0.992616057362972,0.057012335852739,473.3897,210.67985,205.102833333333,296.271533333333,185.6832375,NA,54.35135,30.706408569783,30.3237512914071,23.1221424916984,473.3897,183.504175,180.48345,250.6464,152.57705,473.3897,237.855525,233.3052,343.178675,196.681525
"ZNF264",0.759185914308094,0.653017239892317,0.999886838059259,0.999557662919011,0.29063774615601,0.130206421047751,0.807192830896101,0.995563427669138,0.96815227130462,0.129538792051714,1567.0539,922.26145,863.350966666667,1665.36535,1052.0956625,NA,44.34405,497.779503985725,73.6884298666883,152.573338894118,1567.0539,900.089425,384.4169,1528.850375,808.140775,1567.0539,944.433475,1220.31245,1785.700825,1408.1924
"ZNF213",0.17487213739652,0.609031347898558,0.66029985185936,0.702999831467318,0.375588034579917,0.994127540168598,0.563834349120332,0.496442036369612,0.999988961973232,0.992825293791465,843.717,440.1946,612.214733333333,651.2022,619.816875,NA,121.2955,67.3525352562256,38.9144427542183,57.6073345294173,843.717,379.54685,550.98605,608.466925,541.754975,843.717,500.84235,667.1305,698.999475,683.607575
"ZNF343",0.606349382210175,0.867414557515281,0.946150917037388,0.972054649952779,0.650629187504274,0.964476328019137,0.991693562128204,0.482882921778981,0.868969792221503,0.996233289776585,207.3214,359.94535,302.7605,263.454233333333,247.0200125,NA,11.68845,11.6046426745218,6.71928056464711,43.9372279387856,207.3214,354.101125,296.8757,251.7466,174.8697,207.3214,365.789575,314.36475,277.2681,247.40715
"ZNF302",0.123629905630326,0.995670397748409,0.0585377179071344,0.950438366450146,0.0663330162758343,0.987328658666867,0.999409305339931,0.0153248947451966,0.998465444732396,0.85513212289876,183.3861,1562.1823,368.231666666667,518.4858,285.2876375,NA,1147.9094,32.1967546267908,73.6967154959704,27.0665085428926,183.3861,988.2276,349.097,388.0892,240.472025,183.3861,2136.137,400.2238,638.666725,323.132175
"ZNF268",0.759864452713517,0.694878064840949,0.999997469509314,0.935904186836579,0.938016462207617,0.872508012039948,0.491449574652706,0.995223256041199,0.995796033123734,0.461738368999688,497.3601,298.81985,291.8165,383.80805,258.022125,NA,233.29025,118.929189937598,27.2363571907937,34.0680552020812,497.3601,182.174725,215.6736,339.039825,178.819675,497.3601,415.464975,409.0069,394.048775,298.70835
"ZNF184",0.640466799093997,0.508872668949191,0.999753813769381,0.24031438866793,0.929759477282055,0.957083250295599,0.137158627304972,0.736648509610955,0.754548761035076,0.972542659652629,346.0049,257.64215,249.289266666667,224.27925,207.439525,NA,1.80735,36.5438794042784,17.5565546343381,20.2310776059538,346.0049,256.738475,215.90665,195.6439,164.8489,346.0049,258.545825,278.8566,241.903875,249.663275
"ZNF500",0.447454181288547,0.598737579950715,0.989358232035242,0.993352893232792,0.291448363668737,0.428168613342692,0.300519124167562,0.999999179381091,0.958405134072521,0.0438647333153943,405.491,250.28035,281.4569,372.920466666667,247.8279875,NA,59.07745,79.4933087376751,15.7263613148468,22.5122926621565,405.491,220.741625,202.3524,342.8108,241.079975,405.491,279.819075,327.80975,398.621475,273.926825
"ZNF419",0.994561178601595,0.999965570659443,0.994724052036161,0.999988016577127,0.988474701900363,0.999998442795952,0.98568083629558,0.999993072534085,0.971947176469437,0.918843554409839,85.1813,66.59415,80.3385333333333,81.7043,64.375625,NA,40.56185,35.7582999622155,12.4718609372993,11.2424238810878,85.1813,46.313225,51.40265,64.222525,37.589775,85.1813,86.875075,113.00065,105.018325,78.388025
"ZNF175",0.657404098410354,0.849925012027442,0.978570350338034,0.247802823351791,0.924747265906392,0.486825349481729,0.999268991622188,0.407667124244685,0.668461733489568,0.0114898231528771,90.4611,200.76455,166.883366666667,244.182433333333,106.7548375,NA,53.54735,48.7803295196719,30.2130474015412,17.8764464969166,90.4611,173.990875,131.4235,194.074375,73.59275,90.4611,227.538225,213.62345,251.5488,137.947725
"ZNF14",0.978044793738465,0.994974095857682,0.998565928428621,0.999718481771099,0.971691855552748,0.996621029382812,0.971661846107081,0.466795239239156,0.517121348541464,0.54296560396683,193.2418,228.725,215.813833333333,203.346633333333,160.2646,NA,54.5778,44.5007951735072,21.8515007185726,11.2560114783803,193.2418,201.4361,172.3079,167.79815,149.68625,193.2418,256.0139,245.67025,208.355475,179.089875
"ZNF85",0.217477563062259,0.999727726975733,0.0880217328777276,0.999364947770508,0.0521277639409474,0.999998740535925,0.999564194200583,0.0406084507906748,0.999999996661406,0.999998610124114,61.95,456.01805,92.0013666666667,96.779,93.0389625,NA,356.82595,61.3175832122492,15.8770664584488,20.7951583654185,61.95,277.605075,31.3733,76.546,56.544625,61.95,634.431025,130.2566,117.194025,117.15315
"ZKSCAN1",0.998972142538571,0.421414299640242,0.123052914537108,0.99999377300614,0.998317597626492,0.0580048695779609,0.99966806438408,0.964160328822027,0.0957786261699318,0.984523289379683,1848.9968,1502.024,4137.24426666667,1764.36968333333,2074.5844375,NA,15.0402,1288.8709378832,153.413896193964,377.897080411226,1848.9968,1494.5039,3389.26785,1541.51655,1235.165325,1848.9968,1509.5441,5420.23725,1965.846425,3171.5983
"ZNF862",0.997485930491109,0.986579971808443,0.825926517674613,0.979139845254556,0.741735092262901,0.999999044402099,0.988573194788395,0.787961574837182,0.999972861056157,0.999706362871558,353.3967,226.2984,539.331533333333,549.42845,516.9875125,NA,64.0966,353.575020692438,56.5241023566098,114.198731044707,353.3967,194.2501,186.5427,436.608575,356.980725,353.3967,258.3467,736.1343,659.3022,605.335025
"ZNF684",0.0201960900643741,0.998440937345777,0.00381172440915101,0.506306916376637,0.0404261461896483,0.30449400994004,0.999519282064854,0.000288196688854603,0.923589266605876,0.0169387346074646,51.3904,119.6383,56.4875666666667,78.7839166666667,47.9197625,NA,13.2163,8.1500894834215,6.57100541801718,5.38012169275996,51.3904,113.03015,48.90845,65.99405,43.596125,51.3904,126.24645,62.87245,89.031475,55.729075
"ZNF430",0.447580380567608,0.999846018121101,0.138914756426582,0.999617028216396,0.0769949173708396,0.999998906088908,0.999532403463084,0.0638939423069634,0.999997133770417,0.99999999268521,209.4333,539.452,181.146333333333,176.134083333333,175.0396875,NA,414.6764,24.6289376079125,16.0067822877349,13.1506851527298,209.4333,332.1138,159.93175,165.9046,166.580375,209.4333,746.7902,202.5885,191.40585,202.581475
"ZFP30",0.999676804881868,0.993308822718452,0.933966406929487,0.995668982895931,0.935303171812589,0.999961222289664,0.983894706251841,0.855049699836106,0.999958563667293,0.998340966560597,132.3478,90.26385,218.643833333333,204.393283333333,232.516625,NA,64.23155,26.2501636988758,11.722992409859,92.3349613353792,132.3478,58.148075,199.1526,197.19235,114.5057,132.3478,122.379625,243.6168,220.64795,212.4892
"ZNF549",0.923782559766362,1,0.811071827007103,0.86316409769877,0.999992615101071,0.585920252218125,0.998353953175417,0.497738919318643,0.990756549786022,0.140886311379191,92.221,168.8222,92.2120333333333,173.448,68.739975,NA,136.5062,70.0177893955608,19.2716460156365,14.5208781505133,92.221,100.5691,22.2112,146.724475,45.977575,92.221,237.0753,128.54685,172.574975,77.3406
"ZNF211",0.998684767149271,0.919158508122244,0.957999782238375,0.999999959263311,0.991976064599584,0.651227906149899,0.883664335907503,0.486736591838023,0.0772810665251158,0.423356169828068,227.6276,251.5905,296.446466666667,226.067783333333,156.8035125,NA,51.8957,67.3248287771144,31.9314419341336,16.5596180267847,227.6276,225.64265,231.60965,174.266025,118.196875,227.6276,277.53835,344.56885,252.181425,199.44655
"ZNF205",0.996314510039582,0.99464522140791,0.999999969978955,0.985333044437505,0.999895207499011,0.999900425239097,0.999999979445033,0.983542394396133,0.96662336146264,0.859294048697248,307.8212,261.65545,259.850166666667,249.207533333333,305.9131875,NA,158.34905,75.2432680432682,12.7004719911681,38.4028773357285,307.8212,182.480925,191.8705,224.8782,211.917125,307.8212,340.829975,321.7727,270.3975,357.72175
"ZNF45",0.879029734678762,0.797033768335236,0.999854436906232,0.785114791351825,0.999972290410045,0.999988414588548,0.842920835679302,0.999988942993382,0.997936307564782,0.998634314443885,443.5058,264.0969,241.9392,251.032283333333,274.1450875,NA,90.3985,36.6447034080416,5.44024210444209,78.2921364189402,443.5058,218.89765,205.3897,241.0213,193.2176,443.5058,309.29615,262.50005,256.6396,230.4258
