"gene","C2-C1","C3-C1","C3-C2","C4-C1","C4-C2","C4-C3","mean-C1","mean-C2","mean-C3","mean-C4","SEM-C1","SEM-C2","SEM-C3","SEM-C4","Q1-C1","Q1-C2","Q1-C3","Q1-C4","Q3-C1","Q3-C2","Q3-C3","Q3-C4"
"ZNF195",0.84914810328451,0.805409974885356,0.999693895365256,0.846058712281983,0.999792423234585,0.997185113131466,616.89705,462.44486,449.502766666667,472.72675,40.69145,55.3330513974659,95.4072457461824,85.0029226441489,596.551325,401.2567,340.5135,285.63425,637.242775,541.9847,387.035725,494.643525
"ZNF263",0.506477591686815,0.951689046841984,0.607847457382061,0.968603844556041,0.444841999154575,0.998617196124644,700.86945,492.447,625.166266666667,639.29687,80.30615,30.3533682252728,50.1078538666523,73.2808066731453,660.716375,435.5499,570.86585,517.58305,741.022525,541.1894,709.77145,701.0296
"ZNF200",0.891070455749309,0.573285535876724,0.866624892648401,0.801680029931094,0.997318415632802,0.896593137301426,295.34165,238.27416,193.570033333333,228.09428,61.26915,25.4248460379331,30.1470327557862,37.5104029915518,264.707075,228.9048,144.64085,166.200875,325.976225,261.8896,247.20265,229.782025
"ZNF582",0.899857174217935,0.988789458935003,0.527607210644756,0.79211687329639,0.119364968468983,0.810881586217777,20.5037,9.44282,25.4411333333333,34.23813,1.1443,4.56606268653859,6.81160673016613,7.58286907056587,19.93155,4.7664,13.35025,9.544025,21.07585,7.0883,32.9625,56.563675
"ZNF285",0.998266416646765,0.499135889134953,0.172074509699572,0.463327343183683,0.119282957605466,0.999995892505002,7.7751,4.68244,33.4689833333333,33.21552,1.0246,1.54534209403614,8.65396158024045,8.78895978488922,7.2628,2.693,19.647425,7.45565,8.2874,4.3621,45.2674,54.538575
"ZNF275",0.998779145884579,0.770351222596289,0.696258794588486,0.99267045563263,0.926619545110125,0.247062132138575,972.10785,932.2153,719.777033333333,1039.73922,34.40985,265.061116708021,88.44715838267,58.234614149879,954.902925,690.3052,527.2742,946.33355,989.312775,708.2936,902.77805,1172.9966
"ZNF37A",0.988626195942838,0.833071052555544,0.41530761585802,0.518681099243176,0.100437206530053,0.873183985426316,595.1644,543.09582,730.42455,807.04013,54.5097,78.9664558528139,78.3159420629915,68.1516232474621,567.90955,455.289,668.899825,657.4785,622.41925,609.0664,789.906325,819.409225
"ZNF510",0.719239765463744,0.998890872157504,0.595057180680406,0.996514777417041,0.255753429879861,0.946502213820859,365.7931,272.9852,353.427866666667,383.03492,22.4505,63.6580608661857,46.2430720372661,26.5235531370843,354.56785,226.5115,295.537175,353.873475,377.01835,236.535,413.71495,406.4463
"ZNF506",0.919391621069738,0.999416547577318,0.731877604943559,0.999999982161946,0.770546654420064,0.997506925940763,666.6169,539.0394,689.4163,665.94189,89.1029,141.314909481219,78.4880010022764,74.1847252975667,622.06545,281.4164,576.692675,490.348875,711.16835,764.3627,807.34995,763.16815
"ZNF324",0.909787880384248,0.603108772487231,0.865918698880081,0.377185603132486,0.563050044885915,0.959781616542959,135.25325,164.31498,188.8331,202.1697,41.44505,11.2861784334823,17.0303262898669,20.4224968719193,114.530725,144.9582,153.889525,161.943275,155.975775,186.4776,216.8051,245.92955
"ZNF671",0.931348306651676,0.992723633132899,0.63822207231487,0.906126100137442,0.275550330120085,0.937226979293937,79.77755,44.19824,95.5674333333333,116.8148,20.18725,6.34492286845159,20.912718946623,30.0498960036174,69.683925,38.2387,68.537375,49.2689,89.871175,44.711,99.22275,159.2381
"ZNF416",0.170329327376369,0.541658572109809,0.658551454697212,0.115431348101772,0.999902168027215,0.498419415509181,40.36,108.3679,81.9544833333333,109.68752,11.0304,25.2798410722655,10.5885664683317,10.8026461568019,34.8448,83.4242,68.968275,86.255375,45.8752,95.0174,97.092825,129.615925
"ZNF586",0.999032364388386,0.996365039657904,0.962546450171635,0.994572358310686,0.999031412829257,0.892158629942624,206.57155,215.30152,193.275616666667,221.01851,64.81175,39.08700826192,23.7502843334196,24.2933356835548,174.165675,175.5119,143.631425,158.318725,238.977425,274.0705,228.72855,254.789425
"ZNF446",0.985221735069267,0.999999311505896,0.959072443146944,0.999910137312847,0.970420259573148,0.999467823648617,162.6124,147.42152,163.136716666667,160.0879,64.2162,28.155864016993,20.3227645449041,13.1595788360756,130.5043,91.0582,134.628575,151.156775,194.7205,193.5323,158.171375,181.730825
"ZNF8",0.272677052496043,0.86234838190135,0.437875979778072,0.975053860513944,0.140372170559997,0.92766329884959,312.5282,160.27318,250.58005,281.19979,160.8615,14.2400884588334,31.1763185684984,32.4208285570436,232.09745,152.9771,192.65805,218.697,392.95895,156.3285,294.87835,320.634625
"ZNF264",0.981497635097578,0.971730792146977,0.691399279946687,0.547296880673585,0.0966903570691725,0.556267214662669,1009.3184,864.31984,1173.41796666667,1490.85973,557.7355,253.387234673352,146.59508094859,129.539526445589,730.45065,701.7448,991.919475,1129.08,1288.18615,877.9174,1440.147,1836.308575
"ZNF213",0.419905214702688,0.996193047084372,0.273266775906931,0.693657130871584,0.836024897668389,0.570967417862653,714.3399,528.11776,689.010733333333,593.27564,129.3771,69.435016880502,39.6496431126155,47.8800067716212,649.65135,412.1315,634.608775,536.733925,779.02845,561.4901,710.39355,696.003
"ZNF343",0.740054432390516,0.648208170477405,0.997938581777196,0.464927448639521,0.947204629009089,0.982445307720827,189.2054,266.38818,276.115016666667,293.30809,18.116,37.3954237446028,56.6242873977731,18.4514935187399,180.1474,188.3767,174.3987,251.7466,198.2634,316.2486,305.7599,326.9128
"ZNF302",0.998380502634913,0.99893785660116,0.999984553936985,0.780752475548502,0.70097124546282,0.637655744703322,266.856,338.06928,327.179483333333,647.76114,83.4699,28.8372929411795,53.002231377194,236.139462472084,225.12105,309.3859,222.047975,305.84145,308.59095,393.9466,410.8117,638.666725
"ZNF268",0.00568243702359617,0.517280707841169,0.0142123568529348,0.991757103158935,0.00015934490865388,0.312777375480893,437.4603,136.75458,330.5778,416.83185,59.8998,31.8479015821357,41.9031803342817,31.1082916120811,407.5104,65.5296,274.600475,340.5821,467.4102,181.0251,407.7804,513.0705
"ZNF184",0.704741904120686,0.507408756127447,0.976065627262499,0.566978540954884,0.996918652356514,0.993252619755435,305.9168,238.39814,219.86785,230.08637,40.0881,23.5747546829994,22.0833750606008,29.2243277796506,285.87275,241.6587,190.634425,182.67815,325.96085,255.8348,236.705175,249.633
"ZNF500",0.0212741098562624,0.407572356804223,0.13080093181235,0.925531335194705,0.00348086605156805,0.408069952220339,367.54995,192.4148,283.2602,336.5385,37.94105,23.1432019039285,24.192582410469,23.3247962078414,348.579425,188.7512,260.767,311.03525,386.520475,200.6543,285.662075,388.1669
"ZNF419",0.980916204301477,0.905298699667889,0.494922387102113,0.779910332139508,0.253523626630097,0.984271868224508,61.5618,47.8781,85.3470166666667,93.24529,23.6195,20.3853366730353,14.1270709693226,14.9016626763105,49.75205,26.0323,62.301675,64.222525,73.37155,36.5322,104.41055,102.53725
