"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES"
"ZNF195",0.365803772832639,0.905920581721767,0.794062319525701,516.087733333333,404.303545454545,472.29364,76.2910084328018,30.1726807365006,59.9033848734827,329.66,352.5535,365.8696,580.677575,453.0205,600.1438
"ZNF263",0.998914254630661,0.868835542701868,0.887914570400473,585.70465,582.626463636364,540.91094,51.1419210765249,53.653940412796,37.428404267743,507.394225,475.16295,491.8097,620.5748,649.6438,600.78
"ZNF200",0.552248090748559,0.649558455729225,0.997480274313357,233.145808333333,194.938672727273,191.76236,35.3826925447282,14.5847170510971,6.30204154830798,149.783175,156.5055,181.5894,265.662175,231.02015,199.1484
"ZNF582",0.986891173646868,0.615596901348822,0.549783420138778,25.4718166666667,26.9264181818182,14.10676,6.28360940815207,7.97952146577063,4.80017560299621,8.21135,7.09845,4.6035,48.166375,42.88705,19.1827
"ZNF285",0.95477772163218,0.731754462156534,0.860643122658084,29.6670416666667,26.4636181818182,18.99252,8.76358025983239,6.82688331512489,10.585871795105,6.26375,5.37355,7.1145,50.611275,41.10645,12.9047
"ZNF275",0.930236581881263,0.885221115822402,0.981403655789995,885.3712,939.488063636364,975.0718,65.9513209627523,138.149992723547,161.207465406199,709.50125,597.72935,790.2456,1038.953675,1178.4646,999.5911
"ZNF37A",0.933144326657701,0.945934718791123,0.827582691956564,676.80125,710.805981818182,637.94972,66.290620067368,67.5151369204887,108.717201789194,556.736625,577.96045,545.4851,809.31085,768.16005,789.2865
"ZNF510",0.97161199451852,0.917218432188848,0.974990199899098,339.6428,350.669772727273,364.03072,33.6506126698041,35.9927274119498,45.6033168424447,258.9953,282.96235,329.2973,411.3374,418.57985,399.3481
"ZNF506",0.516547536067973,0.730757756995771,0.99335011808419,590.734825,702.8673,688.51476,60.1356057530586,92.5388374842467,46.39753363838,478.9987,492.8388,599.4028,714.52435,891.2507,710.1762
"ZNF324",0.998830838927123,0.836050233250075,0.857914571047656,176.154233333333,175.138427272727,160.06516,16.8958472868978,16.0049985630858,13.982561319179,143.20625,144.7855,138.9412,199.3844,198.4892,156.8949
"ZNF671",0.761613831592238,0.924904416796474,0.633478925102626,89.8297666666667,113.898918181818,73.4668,16.3752576959151,33.3707229203788,20.4719215837205,47.28305,36.69645,48.5457,119.72265,153.65025,73.9404
"ZNF416",0.824081290446298,0.95598291302477,0.98266537793293,93.0939,103.571327272727,99.5172,12.4068554034563,14.1134217092686,10.6516297465224,67.5889,80.58535,84.507,107.640625,126.39935,113.6282
"ZNF586",0.997987465725248,0.814892998254801,0.793600473136635,201.601325,199.5555,228.0163,16.0819555011723,29.500511925213,41.5085730185826,146.808875,124.5147,194.2053,236.315725,230.0621,215.1078
"ZNF446",0.771403949070677,0.847302901644678,0.99995575237392,170.305208333333,189.617754545455,189.94172,15.5109103255236,14.696182123948,53.3222049805182,145.539575,155.70865,136.8326,190.794475,208.8548,138.8685
"ZNF8",0.999047039551674,0.902620107405097,0.918186529488129,241.965566666667,243.590418181818,263.49244,31.7189269036699,26.0524170446178,24.0585348406049,152.57705,175.8329,229.9809,281.37995,293.9794,255.791
"ZNF264",0.948585066216925,0.950492371221064,0.852663892869522,1312.50979166667,1257.71821818182,1381.03362,131.258286368871,129.344467297647,136.76931547295,1017.792225,909.38125,1279.3091,1646.15945,1460.3435,1408.4862
"ZNF213",0.998584658234043,0.788787393301242,0.77142093176725,678.684458333333,675.171836363636,736.96056,47.8380868314759,43.4035095426925,94.8065789614497,601.6086,596.0309,668.603,738.31505,785.33765,884.376
"ZNF343",0.999985124617716,0.0272771746511632,0.0293174101613071,264.12055,263.854645454545,444.82682,31.0013960450647,17.9100214469054,103.402702183891,194.72605,227.2047,320.7928,279.801775,304.61095,477.5058
"ZNF302",0.879256782898846,0.965395747591046,0.808110288719308,370.417258333333,404.984381818182,347.40476,48.5571773318423,55.9587363476791,61.1156839296232,211.07195,278.11105,316.0825,512.80175,501.33275,351.2171
"ZNF268",0.980333397722241,0.533736126486942,0.632425140963306,326.73765,339.074618181818,416.3817,34.9758978644916,55.3463995265403,73.206720803612,253.44045,250.66105,303.4434,385.455125,397.51895,518.6294
"ZNF184",0.988941744316234,0.0520078333192084,0.0699144130760838,214.290833333333,218.742018181818,313.07514,26.7776523588102,13.5184064064641,36.1412569889814,151.706425,198.41465,288.3448,253.315175,232.22915,323.9842
"ZNF500",0.975761411331561,0.481729277441624,0.589222699598103,308.961333333333,301.670754545455,257.44296,21.5881921733335,27.4106970604257,36.7441179159413,271.534175,229.38205,224.6115,345.48015,365.84825,261.561
"ZNF419",0.809018328040764,0.912597699775128,0.996538135686646,88.1347166666667,77.2681454545454,79.05598,14.1686393214607,10.0207142807955,17.4912263173112,59.549575,47.26655,43.2482,115.277,105.20275,90.3955
"ZNF175",0.987283568771378,0.484717916943405,0.426274657128763,178.447616666667,173.193936363636,229.64078,22.8673051166078,29.2176725085171,19.4635271062929,131.12955,116.5634,200.3679,244.3335,219.69115,225.5702
"ZNF14",0.94102053792042,0.555054659408595,0.721039114354075,167.869358333333,177.3704,206.01372,11.1242929641683,23.1277558504888,45.8126813893315,156.532175,135.99615,136.0733,195.3081,209.18965,215.5434
"ZNF85",0.947123227364544,0.12599632320468,0.203774315474956,87.0729166666667,96.0856727272727,161.27836,14.8055535489468,16.5485925465312,54.2842190780212,57.2356,60.0237,73.2429,94.041475,110.56635,158.9356
"ZKSCAN1",0.998452827962577,0.952485273445233,0.965498190488872,2045.1767,2068.96888181818,2215.47042,220.719292501101,434.888364359332,290.068923594065,1547.51945,1167.0613,1946.6099,2124.28345,2622.93775,2165.0485
"ZNF862",0.799671991916392,0.674490429316366,0.936272816644885,507.460741666667,448.523072727273,407.33566,71.5506142753976,63.7513695267783,68.6403395323304,380.403125,269.9437,368.3071,576.415275,623.9617,484.7691
"ZNF684",0.989425039970881,0.995063840499212,0.977993009171511,65.5751583333333,67.1420727272727,64.21214,5.83585244216611,10.2422390364615,10.5474426021477,51.160075,44.4823,55.7353,86.032925,86.30005,67.3563
"ZNF430",0.949921783551403,0.0109761282746084,0.00687251167159242,172.479225,163.162909090909,295.39918,14.004745311788,12.5471916703696,67.1295942023218,159.68615,131.5188,177.178,187.02195,201.9427,372.0444
"ZFP30",0.40020019125128,0.957565668949967,0.741860728453864,245.008741666667,159.181981818182,221.6484,62.869047246653,26.7415027345606,23.0890790608461,143.253275,103.05535,232.8857,238.66985,216.86875,237.1675
"ZNF549",0.982331574009982,0.380884629852707,0.467212853263827,111.252375,117.259309090909,168.80982,16.3883921951942,25.4941619355257,51.499804113544,54.060725,44.8612,111.957,156.494675,173.69635,280.8119
"ZNF211",0.973958203947313,0.911653749997961,0.834854064795268,219.184166666667,208.954272727273,243.64334,40.2616091985927,27.3602775113189,29.1934649445488,156.341875,160.2164,222.5189,227.8063,275.26915,307.1854
"ZNF205",0.999050935746125,0.452600321586179,0.443480062410171,294.126908333333,295.597954545455,238.9691,27.08954779327,24.0224827230408,31.5645290997981,253.52685,226.3495,208.6411,344.6211,358.24605,278.0609
"ZNF45",0.639133525349993,0.980627202773892,0.86316388284317,278.106141666667,231.547736363636,265.81146,51.6357236180776,13.558629590119,13.0252830909197,195.77165,203.18955,242.7184,279.8297,255.5725,293.9183
"ZNF133",0.968000629583073,0.110661861441219,0.0807923075492805,252.523191666667,236.227690909091,431.87698,44.1387816917285,14.3799950015951,135.098960395398,179.6598,213.51365,216.6967,271.567,263.1018,539.0249
"ZNF436",0.44454149586139,0.697299515622789,0.987517138757142,638.348158333333,498.105463636364,520.26774,103.201649393636,55.8548678045298,71.5991975258145,352.294875,379.1737,356.6981,891.34085,619.20495,610.5503
"ZNF484",0.934493700816618,0.677657521311521,0.518185947916009,153.910458333333,146.707845454545,176.07838,12.3066463919474,17.9622368576632,15.6647806804755,132.7502,89.61025,154.8441,179.67835,193.25705,204.4501
"ZNF780B",0.817617434500848,0.906847312773766,0.998436055598982,379.329583333333,408.803336363636,405.4605,24.9568365558018,46.628430885432,29.0408237077222,314.900425,306.64645,357.0259,420.535425,504.70425,471.8341
"ZNF557",0.83455623546716,0.563056607672731,0.834506170123074,241.2166,263.230718181818,291.68028,23.0618310088205,21.8662017791253,66.137471923573,171.9125,230.41515,207.9921,289.583425,281.03365,272.3938
"ZNF337",0.989107589250111,0.682167165492221,0.754152643710671,372.548616666667,386.214418181818,476.37874,83.6140105221452,47.2328301046919,94.8559658045165,223.79005,249.92105,305.095,367.647475,527.8533,568.4118
"ZNF317",0.524178478444396,0.0964532488021658,0.413370317543207,870.487441666667,972.019709090909,1126.25204,40.4253711614142,77.4426383941131,132.581110371084,789.345275,757.13185,955.4117,950.13555,1125.3321,1103.8323
"ZNF426",0.701898362367149,0.744334854084611,0.380756375340525,185.43505,154.213081818182,221.75068,27.135151044614,25.349547021439,48.2655200910381,113.101,98.23615,162.5295,264.530675,185.2644,245.66
"ZNF331",0.641524297145282,0.858902242042886,0.982077907484379,373.933208333333,497.495209090909,465.57156,56.8924705950161,124.06425581419,165.452258093099,231.009675,144.64,239.1091,517.043225,957.87755,504.2896
"ZNF227",0.995905708731647,0.883619016308282,0.91506286242516,245.893725,248.366536363636,263.25618,22.7728867347479,20.2412498433915,14.7543353105926,201.74935,205.73815,241.37,311.2284,266.98175,268.2957
"ZNF141",0.923732175284295,0.850413603458281,0.968054992997904,82.15285,89.6496272727273,95.84,13.1731974032877,15.8296847744879,16.3908649605504,66.73115,39.40765,71.499,100.466,130.2369,103.3689
"ZNF304",0.956026297568582,0.797996881372258,0.910488656102045,248.928391666667,262.946827272727,289.13162,26.0377038672054,46.0967424114548,32.9875770110416,186.789625,134.1779,220.7665,319.07045,357.88035,344.842
"ZNF132",0.883937969659464,0.718903234901599,0.915057885363817,69.31985,60.8431454545455,51.5594,13.018397910274,14.3114111163617,6.78910524244543,36.425875,28.5709,39.3388,91.486375,78.7228,55.0162
