"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.55166460791754,469.866215748031,499.153985714286,18.6242098842534,65.027195807461,328.9622,295.808,615.14245,596.0675,258.348909090909,438.01404027027,242.236,419.12715,152.53815,306.48095,315.699975,531.885975,44.6003726966724,10.7099009626287,1.69543599704592,1.73024302746082,0.761656323444854,0.790974690976434,"UCEC"
"ZNF263",0.199180459635398,750.948874015748,814.778597142857,20.0413671484287,60.3491310344538,619.2436,578.3284,847.9061,955.7588,764.952227272727,600.296557567568,740.9772,585.40365,695.3957,820.5476,507.493625,679.134625,35.8083427790586,7.73915340814938,0.784750388540989,0.79004273005971,-0.349694256781126,-0.339997410232921,"UCEC"
"ZNF200",0.301392719562516,261.291526771654,242.964951428571,8.19676215418276,15.7858577802967,205.7386,178.25315,328.3708,276.83305,177.504318181818,247.896239459459,168.5668,237.2726,151.7086,190.976,186.055775,289.7198,10.1926486197635,4.51636401377136,1.39656455684384,1.40758797105954,0.481882264406127,0.493225090295062,"UCEC"
"ZNF582",0.134292282110618,35.0742196850394,28.6142314285714,1.95798954394189,4.05178915991436,17.62455,8.71745,48.2158,39.93495,74.9406,31.2778418918919,71.2042,27.26975,60.8816,85.8123,13.392,44.555575,5.34086124489981,1.23687603022181,0.417368447702472,0.382979515253314,-1.26060655539526,-1.38466086731367,"UCEC"
"ZNF285",0.0298988227303466,61.8093401574803,92.6707114285714,5.25191470698834,19.0011443002207,4.91755,28.2845,90.39445,118.1278,126.403763636364,53.1056418918919,107.5269,32.11595,97.10615,143.35735,6.4629,75.456275,15.9090219495576,3.75068906400555,0.420127062392425,0.298678284224692,-1.25110237518563,-1.74333574635896,"UCEC"
"ZNF275",0.953054953833048,617.787977952756,614.184737142857,29.4093361474853,46.3301046012187,413.24345,357.39825,766.08415,788.58995,1561.11556363636,788.251107027027,923.6641,738.30895,796.23865,1313.0969,556.8421,915.639075,553.13662972221,19.6395131287159,0.504928094619033,0.799326237752447,-0.985850142513362,-0.323143648647242,"UCEC"
"ZNF37A",0.65225016746512,368.550029133858,352.824565714286,16.2309987401894,30.5448594396116,247.1729,216.3482,472.45775,474.3588,572.207190909091,357.437616756757,583.229,339.91385,512.68305,622.7774,265.246925,430.104175,18.8835364630408,6.57794574933023,0.62466467118122,0.582813697535616,-0.678846156392503,-0.778893310253495,"UCEC"
"ZNF510",0.024566959572882,219.769633070866,181.771231428571,7.57258377146363,16.2167816516411,158.351,119.2279,267.96555,237.98995,369.568272727273,209.508998378378,330.6189,200.0173,297.25665,438.5096,153.617675,252.475925,26.4464685829562,4.03806869944535,0.566902014700239,0.604978420773888,-0.81882869855966,-0.725044411669925,"UCEC"
"ZNF506",0.258604012102358,319.121162204724,394.709814285714,26.9072780705399,81.6306940443986,56.4926,78.29625,473.0251,563.1153,487.127736363636,257.745525675676,503.5184,151.63835,419.58975,562.254,52.717325,372.7269,29.2275077252679,14.9921699496808,0.529112810532453,0.301157514799856,-0.918352747132837,-1.73140983586943,"UCEC"
"ZNF324",0.674117551313349,201.229418110236,208.831391428571,7.75490518413031,19.8140267983001,151.3172,151.9733,224.10545,237.06005,262.861072727273,268.554350810811,266.0465,237.16235,210.6845,280.9899,189.2622,299.6431,20.6826223013695,6.92663875388116,1.02165888628723,0.891431948926222,0.0309135864827538,-0.165803426811562,"UCEC"
"ZNF671",0.00185952718530391,98.206779527559,53.6848142857143,6.86753833247316,9.79896193724187,30.67895,10.47525,142.624,75.7143,176.593754545455,100.876262432432,147.6846,85.27215,117.75485,255.14735,31.296275,148.6545,23.6779550295719,4.28427099951846,0.571233465713915,0.577393648356024,-0.807847592752122,-0.792372857655808,"UCEC"
"ZNF416",0.0673560336051441,125.906506299213,106.819514285714,4.70244031704354,9.94241669077041,93.73755,72.04335,145.4646,127.43885,142.063554545455,107.939911081081,135.101,102.4882,119.85595,160.59815,78.9736,128.79245,9.01060199199066,2.21806365574644,0.759800157235575,0.758604303447051,-0.396308084328279,-0.398580539042045,"UCEC"
"ZNF586",0.102552204057988,192.416937795276,154.883491428571,11.2130873228019,15.3899629182322,100.7367,85.75645,245.1903,185.9483,166.235681818182,193.925137567568,163.0725,181.8792,160.68035,178.2907,120.958625,244.119175,4.97509427349359,5.56740463962741,1.16656746281265,1.11532723175275,0.222269741056314,0.15746705217681,"UCEC"
"ZNF446",0.800582267106053,411.779693700787,403.051962857143,15.8005965389771,32.1342937042321,299.9911,269.1702,515.38295,488.5592,408.3783,418.761604324324,409.6091,393.39645,340.34235,487.2797,292.526325,501.9331,27.9706375567146,9.07527934879033,1.0254257004457,0.960419214319213,0.0362229618500998,-0.0582638282143359,"UCEC"
"ZNF8",0.838530535911089,104.484916535433,106.678114285714,4.29289095518065,13.3473902367071,76.5669,63.9384,121.8873,115.1902,106.573563636364,122.872531621622,102.4023,111.45195,87.48375,128.99065,87.79165,144.5632,7.75645489908271,2.93761850052135,1.15293631393308,1.08837350332952,0.205312823388209,0.122173739428618,"UCEC"
"ZNF264",0.0195951448623833,535.89314015748,435.194645714286,19.9656367826182,37.0011758904133,385.69925,314.6649,686.66425,563.9989,1362.40662727273,816.005462162162,1358.5859,794.8258,1128.37395,1552.24365,629.662325,973.5081,81.2886952191744,14.1686390591218,0.598944137401655,0.585039046850111,-0.739506643545863,-0.773395178196297,"UCEC"
"ZNF213",0.179680422460349,562.692547244094,615.172151428571,16.9698077504117,41.4987109301981,418.53475,465.80585,678.4092,729.7113,751.471918181818,1242.80422594595,768.4606,1026.4107,694.7681,843.7311,794.610875,1331.642825,46.861141487247,46.3779605090089,1.65382657139458,1.33567121072961,0.725807954154058,0.417564917222686,"UCEC"
"ZNF343",0.412007829669072,299.942839370079,278.388877142857,13.1136570251725,14.8624160771396,209.93885,228.66085,347.95865,323.7619,297.6022,274.350734594595,307.0098,251.3718,282.1709,316.7661,207.577175,301.49645,8.33275653250471,6.70579918245188,0.921870653491791,0.818774514689759,-0.117363752754087,-0.288461897390365,"UCEC"
"ZNF302",0.485573256500894,444.210222047244,495.049714285714,33.7299334580924,64.9396343908577,225.5276,228.78435,543.3307,665.9802,711.0212,344.551608108108,729.572,293.1937,634.4047,763.9578,196.3952,425.93755,32.206205973296,13.1863005025664,0.484586968866903,0.401870822893423,-1.04517248540118,-1.31519625796096,"UCEC"
"ZNF268",0.518918196390987,288.325598425197,270.876505714286,12.4804137137441,24.3594266500336,173.8969,180.42935,399.7058,338.50955,417.613572727273,297.717383243243,427.4809,286.0609,391.7779,473.9057,201.777925,381.809575,23.4657422138746,6.71000727864819,0.712901597759302,0.669178201879897,-0.488225140549103,-0.579537643760902,"UCEC"
"ZNF184",0.13437943295581,287.761164566929,250.071571428571,11.918183180047,20.1147246240548,211.67725,162.0799,359.84145,298.82425,194.737209090909,226.167612162162,195.6107,210.4818,172.35265,204.5103,154.451925,279.0002,7.96776071907574,5.54429851422907,1.16139906296275,1.07602395983451,0.215863775161898,0.105710202754736,"UCEC"
"ZNF500",0.831092882136611,242.796490551181,238.9692,7.32711713389559,21.4933151022249,182.9561,164.7697,299.0604,284.1272,421.950054545455,284.644719189189,404.6243,276.81025,357.53305,478.8349,223.0406,333.35115,25.4033654941279,4.53456611749111,0.67459339351389,0.684116722599211,-0.567909905187444,-0.547685599091088,"UCEC"
"ZNF419",0.925152757004586,218.535152755906,220.54002,9.23568310720166,22.9755076829119,145.68975,137.00155,264.4197,280.29765,171.846727272727,185.865350540541,175.814,174.8415,152.4392,189.6078,124.743425,232.040475,8.3799553291182,4.58386894194713,1.08157631797995,0.994468586119422,0.113135468061385,-0.00800229583993291,"UCEC"
"ZNF175",0.0765364826069171,104.838244094488,87.0852057142857,4.58553956826476,9.11714944838207,72.87495,50.84185,145.7542,121.4451,216.758809090909,99.4020121621622,213.8728,99.3158,183.92145,228.09975,60.6152,131.3247,18.0975110750746,2.80771935153186,0.458583494618079,0.464368540553076,-1.12474366465502,-1.10665785723475,"UCEC"
"ZNF14",0.588418373868607,269.65732992126,253.442874285714,13.9015804616654,26.4624082866012,182.606,136.22695,298.01495,340.6077,269.696872727273,213.857647567568,283.3969,198.555,234.08835,296.30025,154.9119,249.658225,14.5625313006677,4.91357178639287,0.792955607549177,0.700625165624606,-0.33468799385262,-0.513285285922704,"UCEC"
"ZNF85",0.51616678251951,154.963346456693,168.973551428571,9.98652689417378,19.2119915994871,85.47535,75.97295,202.29015,239.02405,104.080981818182,139.953042432432,94.697,131.605,81.99975,117.6476,84.026425,184.11725,12.4642020353988,4.49690755480984,1.34465528656249,1.38974835528053,0.427236373445878,0.474823674707287,"UCEC"
"ZKSCAN1",0.457186604490971,518.322391338583,467.578677142857,32.9225967621135,50.2632581503854,223.3719,288.9191,748.09745,566.59945,919.372909090909,627.173395675676,899.9218,557.1335,710.0011,1027.77715,377.99155,793.30065,95.9972810760222,18.1095583730387,0.682175197326442,0.61909101435258,-0.551785792801236,-0.691776575104024,"UCEC"
"ZNF862",0.594418670944379,523.660730708661,487.215982857143,33.7355950103417,43.7163281362309,272.3118,266.48285,697.4438,645.2044,905.824345454545,607.645771891892,954.9437,480.45365,689.5424,1031.39865,348.08895,737.043825,76.3041845053353,23.597702548676,0.67082075563665,0.503122487744565,-0.576000767358365,-0.991018420603813,"UCEC"
"ZNF684",0.213503177784903,57.8625984251969,51.1792571428571,2.50631680245898,4.60089625641467,39.40105,36.599,68.85575,58.4677,63.1078909090909,47.7344072972973,68.4039,43.6807,50.9846,73.71785,31.662325,56.457725,5.1382342471188,1.31928643579483,0.75639363968066,0.638570315435231,-0.40279086279978,-0.647082605508586,"UCEC"
"ZNF430",0.288328587073129,76.9634614173228,65.3278771428571,5.31551067997259,7.75491781910748,27.26775,36.9579,111.3296,96.7287,125.5046,85.1367464864865,115.1832,77.32995,96.17605,123.5867,51.45515,109.461475,18.7666304559595,2.56862967861478,0.678355586062077,0.671364834455025,-0.559886379387131,-0.574831123067871,"UCEC"
"ZFP30",0.0832396923981323,201.144181102362,169.603528571429,7.79443873832043,19.7725681600624,142.14545,104.3777,255.71395,238.3586,287.436327272727,218.727217297297,280.3904,211.15325,264.01225,303.126,148.86355,269.7727,10.6793336949293,5.88428271865574,0.760958850861475,0.753068756990254,-0.394109653330905,-0.409146502446547,"UCEC"
