"gene","Stage IA-Stage I","Stage IB-Stage I","Stage IB-Stage IA","Stage IC-Stage I","Stage IC-Stage IA","Stage IC-Stage IB","Stage II-Stage I","Stage II-Stage IA","Stage II-Stage IB","Stage II-Stage IC","Stage IIB-Stage I","Stage IIB-Stage IA","Stage IIB-Stage IB","Stage IIB-Stage IC","Stage IIB-Stage II","Stage III-Stage I","Stage III-Stage IA","Stage III-Stage IB","Stage III-Stage IC","Stage III-Stage II","Stage III-Stage IIB","Stage IIIA-Stage I","Stage IIIA-Stage IA","Stage IIIA-Stage IB","Stage IIIA-Stage IC","Stage IIIA-Stage II","Stage IIIA-Stage IIB","Stage IIIA-Stage III","Stage IIIB-Stage I","Stage IIIB-Stage IA","Stage IIIB-Stage IB","Stage IIIB-Stage IC","Stage IIIB-Stage II","Stage IIIB-Stage IIB","Stage IIIB-Stage III","Stage IIIB-Stage IIIA","Stage IIIC-Stage I","Stage IIIC-Stage IA","Stage IIIC-Stage IB","Stage IIIC-Stage IC","Stage IIIC-Stage II","Stage IIIC-Stage IIB","Stage IIIC-Stage III","Stage IIIC-Stage IIIA","Stage IIIC-Stage IIIB","Stage IIIC1-Stage I","Stage IIIC1-Stage IA","Stage IIIC1-Stage IB","Stage IIIC1-Stage IC","Stage IIIC1-Stage II","Stage IIIC1-Stage IIB","Stage IIIC1-Stage III","Stage IIIC1-Stage IIIA","Stage IIIC1-Stage IIIB","Stage IIIC1-Stage IIIC","Stage IIIC2-Stage I","Stage IIIC2-Stage IA","Stage IIIC2-Stage IB","Stage IIIC2-Stage IC","Stage IIIC2-Stage II","Stage IIIC2-Stage IIB","Stage IIIC2-Stage III","Stage IIIC2-Stage IIIA","Stage IIIC2-Stage IIIB","Stage IIIC2-Stage IIIC","Stage IIIC2-Stage IIIC1","Stage IV-Stage I","Stage IV-Stage IA","Stage IV-Stage IB","Stage IV-Stage IC","Stage IV-Stage II","Stage IV-Stage IIB","Stage IV-Stage III","Stage IV-Stage IIIA","Stage IV-Stage IIIB","Stage IV-Stage IIIC","Stage IV-Stage IIIC1","Stage IV-Stage IIIC2","Stage IVA-Stage I","Stage IVA-Stage IA","Stage IVA-Stage IB","Stage IVA-Stage IC","Stage IVA-Stage II","Stage IVA-Stage IIB","Stage IVA-Stage III","Stage IVA-Stage IIIA","Stage IVA-Stage IIIB","Stage IVA-Stage IIIC","Stage IVA-Stage IIIC1","Stage IVA-Stage IIIC2","Stage IVA-Stage IV","Stage IVB-Stage I","Stage IVB-Stage IA","Stage IVB-Stage IB","Stage IVB-Stage IC","Stage IVB-Stage II","Stage IVB-Stage IIB","Stage IVB-Stage III","Stage IVB-Stage IIIA","Stage IVB-Stage IIIB","Stage IVB-Stage IIIC","Stage IVB-Stage IIIC1","Stage IVB-Stage IIIC2","Stage IVB-Stage IV","Stage IVB-Stage IVA"
"ZNF195",1,0.999999999989292,0.999999985065669,0.999998401183119,0.999677422285796,0.999986766391516,1,0.999913533989801,0.997273243650846,0.98561383577805,1,0.999999988578058,0.999998481163029,0.99937419272241,1,0.999999843193623,0.999989095887108,0.999953565122737,0.998999814102,0.999999936010569,0.999999940784578,0.999999999999593,0.999924653237744,0.997967329108741,0.986001856046143,1,1,0.999999964476995,0.999998059785181,0.99521775102059,0.983834836367075,0.940075556328807,0.999984946776666,0.99999691999344,1,0.999993635869267,0.999997886523164,0.998309068664607,0.999929606299741,1,0.956208944718833,0.998731179701745,0.998824630634445,0.960463277777448,0.906020114333797,0.971016469705399,0.0854424477002548,0.0501653968465934,0.121029611289625,0.487418003092422,0.850682187623428,0.99999983015674,0.578342403086671,0.999207909048997,0.0525010940281044,1,1,1,0.999993777590451,0.999997359551472,0.999999989787715,0.999988272016736,0.999996262437964,0.998328161737276,0.999983900632209,0.362274454417463,0.999959648080952,0.994669497158946,0.986811950387627,0.947275659667516,0.999853415743853,0.999938643416347,1,0.999909308931537,0.999999999919322,0.931002470296591,0.999999928916546,0.996683064593759,0.999882815117843,0.99961590982637,0.999882087300552,0.999999818093531,0.996767748573546,0.998767045587313,0.995898476287281,0.996476924409327,0.9772993634317,0.999999677727271,0.68597123095874,0.999866993378068,0.963412961991313,0.999996696706463,0.963235546463836,0.903846460660991,0.850667713368125,0.999880306844158,0.999990191790566,1,0.99995578684511,1,0.7502961959056,0.994271578679525,0.993001450787379,0.999999999382899,0.969841075669805
"ZNF263",0.999999999996457,0.999998953230728,0.99473362616986,0.999999950731826,0.999999896340311,1,1,0.999984555949431,0.928675566996819,0.999854248521364,1,0.999999316809528,0.997928876504781,0.999954717348306,1,0.99999999999529,1,1,1,0.999999999795652,0.999999998712898,1,0.999999873853644,0.986204067778208,0.999978295152717,1,0.999999999996583,0.99999999998103,0.999999791208658,0.999999622379748,1,1,0.999861331486073,0.999932684291641,1,0.999971000545615,0.999178004282254,0.891482954586393,0.999311341017581,0.999958623126513,0.714810564254886,0.93742604495056,0.999999927733896,0.839201925934902,0.999999219441815,0.999999999747451,0.999999999999105,0.999999986960995,0.999999999997057,0.999996999508785,0.999998561193675,1,0.999999838007101,0.999999999762358,0.998485734815509,1,0.999999999953731,0.999652924458636,0.999998862771385,0.999999999998992,0.999999999946531,0.999999999998836,1,0.999997157792987,0.961040448001129,0.999999997697427,0.99999999999255,0.999999285102343,0.999718768670051,0.999970628166647,0.999999999921684,1,0.999999979612174,0.999999998923423,0.999948186637514,0.987258612663116,0.999997897650363,0.999999996034642,0.999906841144141,0.999887871814288,0.999998696090689,0.99999856024825,0.999023535258237,0.999033807152187,0.999999765087297,0.999462334747772,0.999999789662056,0.999999999997914,0.99998418074491,0.999753232148053,0.998935538746355,0.999997133526953,0.913864789141672,0.529974253063975,0.938807396125523,0.99831022242809,0.999990265355562,0.999977901175804,0.996763322560713,0.956691668032351,0.312335809722517,0.976016698151134,0.998035991562376,0.999999999519414,0.973829014473282
"ZNF200",1,0.999999999959517,0.970842637940311,0.992048161332432,0.645212788492651,0.18910878670051,0.999999999998763,0.999277102442573,1,0.337585103679461,0.999999999998861,0.999997913294671,1,0.737768197561605,1,0.999999999993984,1,0.999999906550533,0.999992783452162,0.999999973995612,0.999999981133997,1,0.999995807862851,0.999999995637977,0.510077102870472,0.999999999997346,1,0.999999998147051,0.999999536586964,0.999989144206349,0.990195191714604,0.999880197645002,0.996615233764748,0.999449183276977,1,0.999350138731948,0.999954920496775,0.97933349437694,0.577110085922662,0.999960099077347,0.786945639437956,0.974947262011646,0.999999999817965,0.917669285423341,0.999999999995591,1,1,0.999971408359765,0.92132868564886,0.999997968052013,0.999999873214499,1,0.999999985072956,0.999999058543362,0.999274663725377,0.999999998648806,0.99905138467849,0.999999999999157,0.416308429291521,0.999999999929209,1,0.999999618481821,0.999999962759432,0.993399979280239,0.830166717491989,0.999971747590461,0.999999999998421,0.999999960311925,1,0.95584470479882,1,1,0.99999998764422,1,0.999944868578711,0.998517398622209,0.999999989640721,1,0.999999999997293,0.999999996103436,1,0.994678063961579,1,1,0.999999992323744,1,0.999993611692463,0.999892171091037,0.999999998074665,1,1,1,0.999999981434366,0.999999999495294,0.758941369735931,0.999999999998519,1,0.999999999409978,1,0.999871369152893,0.984687015120847,0.999999999517896,0.999999987264416,1,1
"ZNF582",0.999998564931562,0.999941314848142,0.999987201822729,0.999999999710293,0.999999993013081,0.999978453631731,0.999578036192901,0.999068641567644,0.999999968371657,0.999540071469245,0.999219932671203,0.999845112408844,0.999999575440316,0.999521934180609,0.999999999973718,0.999999982567573,1,1,0.999999999990951,1,0.999999999915814,0.999983605252337,0.99999999552713,1,0.999998669577017,0.99999994130659,0.999999189019626,1,0.999986419084926,0.999999998365018,1,0.999999423133339,1,0.999999999438283,1,1,0.999999986537206,0.999999999933117,0.999991132542325,1,0.999645806269865,0.999715632880057,1,0.999999793327176,0.999999913606212,0.999829378726891,0.999992847451487,0.99999999986467,0.999942016564801,1,0.999999999996146,1,0.999999998887862,1,0.999975588432976,0.999997078706063,1,0.999999999998782,0.999999969094347,0.999999885067281,0.999998538428276,1,1,1,0.999999998724713,0.99999999354705,0.999999689192249,0.985900412076269,0.952390626779996,0.999490525186733,0.912562157036323,0.922017265959179,0.999865584799987,0.973817570964162,0.986588312315233,0.997931125982238,0.951184815269843,0.988620742723766,0.999977771049845,0.999999932721294,0.999999999617848,0.999998401170785,1,1,0.999999999962748,0.999999998733128,0.999999999979821,0.999999496247141,1,0.999999995578214,0.995836270437923,0.995881530330954,0.991491593871387,0.9998328534968,0.993542787395968,0.999999687879513,1,0.99999999478816,0.999855610137366,0.999999781806682,0.994076348782986,0.99999997175735,0.999876717755599,0.832244988487107,1
"ZNF285",0.99999999999553,0.99999993559655,0.99993357516496,0.999994134492882,0.99985037433793,0.999999948672928,0.999999624423897,0.999871196084455,0.999999999999006,0.999999999801916,0.999999999976937,1,0.999999999983849,0.999999650275191,0.999999998349266,0.99979186686475,0.999720822266088,0.999977013726462,0.999999820021783,0.999992948270635,0.999945432980838,1,0.999999999997518,0.999952065909049,0.999726383293826,0.99986185321008,0.999999999996919,0.999523116501746,0.999946528676574,0.999225851837365,0.999994324203845,0.999999999997249,0.999999719489605,0.999988977412082,0.999999998180663,0.998792089978938,0.999999999758245,0.999999999999298,0.999999999974521,0.99999920930208,0.999999995425656,1,0.999937802881908,0.999999999345708,0.999977345394358,0.999979756421647,0.808045630266717,0.522019152875814,0.700624895052444,0.547983556507612,0.980254699156418,0.941769037218878,0.957779153074542,0.698065728887489,0.916093367547876,1,0.999993776493,0.997776638643938,0.996063517008142,0.996476973063969,0.999999628692547,0.997606304151251,0.9999999797788,0.991128990707815,0.999992411967702,0.999451425498541,0.999999999458278,0.99999999999744,1,0.999999999978564,1,1,0.999997497533194,0.999999999833578,0.999999988281148,1,0.996700214211745,0.999999708657417,0.999843377731513,0.999800084806928,0.999985198482344,0.999999905864976,0.999995674567347,0.999962335004783,1,0.999648618656814,0.999999999271926,0.999957469764677,0.948479977310551,0.998112309816624,0.999998404589743,0.999999999788168,1,0.999999999996643,0.999999670341849,0.99999999902049,1,0.999950333382173,0.999999999692594,0.999987937172554,1,0.944122451709239,0.999996045060864,1,0.999966167801311
"ZNF275",1,1,0.999311438838979,1,1,0.999999842538225,0.999999994282261,0.999904172992849,0.943238097095467,0.999999948943657,0.999999999985482,0.999999999759754,0.999972601862429,0.999999999997164,1,0.99999994058711,0.999999850298358,0.99998706118665,0.999999951772441,0.999999999958932,0.999999999485878,0.999999999992306,0.999999994044269,0.99821494073541,0.999999999997897,0.999999999691272,1,0.999999996618809,0.999999996530087,0.999970393689027,0.999999998853933,0.999997372331924,0.997249178838015,0.999938112299457,0.999937904121238,0.999747892737026,1,0.99999936442107,1,0.999999992008095,0.99856531357752,0.99999731394402,0.999993236499252,0.999970719429324,0.999999999676705,1,1,0.999994773630493,1,0.999999996722306,1,0.999999986545796,1,0.999983446277152,0.999999757834948,1,0.999999999667387,0.99999999999602,0.999999999992489,0.99991858285694,0.999999937523624,0.999998684421206,0.999999571745574,0.9999999692398,1,0.999999998854466,0.999997249486586,0.999510885438585,0.999994141138622,0.999863711143195,0.992986878210888,0.999209098348215,0.999393625390779,0.998316114428952,0.999999998997247,0.999997240641819,0.999627143713413,0.999983365226006,0.999632764278702,0.994694172867949,0.999313632009994,0.997099859597906,0.977292699716603,0.992687520859669,0.99401107291291,0.989600327980769,0.999980260813983,0.999522064186061,0.995158764621561,0.998943916820947,0.99999998338985,1,1,0.999998114215475,1,0.999999984039878,1,0.99999997528009,1,0.999990774117082,0.999999918596159,1,0.999999999783635,0.999729450366225,0.995897845760762
"ZNF37A",1,0.999990766754778,0.267266964909632,1,0.999999999986722,0.998893964726905,1,0.999961932584241,0.991148259464821,0.999999999998833,0.999999998829898,0.999971822452196,0.999999975559697,0.999999991328782,0.999999999912576,0.999938958531591,0.999724822079619,0.966820417498926,0.999541328397977,0.997786925189584,0.996080519852731,1,0.999985972309576,0.996265509224144,0.999999999999102,1,0.999999999947459,0.997908319824704,0.776021743268728,0.0851557277875606,0.00208261205830074,0.255925197772667,0.0448706048955534,0.13470911127789,0.999998036888992,0.0561181143111791,0.999999999818526,0.999913345751461,0.999987014527505,0.999999998042712,0.999999999997251,1,0.996264917888156,0.99999999999887,0.0664905007730338,1,0.999999924991797,0.999762742870061,1,1,0.999999999951884,0.998784663924198,1,0.15465949376377,0.999999999998725,1,1,0.967332849366239,0.999999999998982,0.999999821007744,0.99999704394174,0.999853902477844,0.999999881688977,0.280651008239154,0.999997158573192,0.999999996154404,1,0.99999999999859,0.999999350803184,1,1,0.99999999999424,0.999820511234174,1,0.701762000320375,1,1,0.999999999999507,0.99864826184682,0.985086333320085,0.999957359588781,0.996566036933482,0.99754553250222,0.999733990032448,0.930858709755356,0.997740287773217,0.262040254099433,0.999252739227302,0.998144879064172,0.990199840895963,0.999410143693833,1,1,0.992480213339537,1,0.999999998505759,0.999999776887992,0.999731374448338,0.99999999894474,0.26277389884689,0.999999879447954,0.999999999976401,1,1,0.994003604249686
"ZNF510",0.992915453784241,0.845752573769707,0.754497962724602,0.998327929426211,1,0.99933174465151,0.991772813080809,1,0.984031591937738,1,0.81223656716689,0.973784782582618,0.999999672241734,0.997130817097062,0.992193576803291,0.99999999987654,0.99259478127233,0.9158638504419,0.996645785223263,0.991274919548955,0.871293193511454,0.960589949173343,0.99994688882945,0.999998313650459,0.999999773948333,0.999999374310784,0.999893476785049,0.97108076119219,0.999999802684912,0.999856525431033,0.915803291433579,0.999993302581617,0.999791138930895,0.909973999945392,0.99998391823124,0.994061720169516,0.853995955403729,0.977455107531297,0.99999999999007,0.999288899695352,0.996478969821934,0.999999999912097,0.907878458321072,0.999995692914463,0.935604705869544,0.778205142865972,0.931970847433467,0.999999286470471,0.995048001054191,0.981224890481154,1,0.859578025361165,0.999754839721063,0.874062896953917,0.999999999948004,0.633984876746926,0.679376682131567,0.999543281037343,0.963015580979382,0.86555166512649,0.999999999999346,0.77582941406334,0.991406028357454,0.712245829211252,0.999999121341495,0.999999999969574,0.999994361902051,0.999999999678333,0.999790620703512,0.999999999977246,0.999999997935658,0.998329542378145,0.9999001070792,0.999997794298116,0.999999999985265,0.999601751114334,0.997957399997318,0.989753018014027,0.828199866213029,0.984223821006716,0.999655438050982,0.990624755882846,0.989758138584821,0.999997027786528,0.822376427340348,0.998048466086387,0.927585424380681,0.999934936263751,0.99999406998932,0.999999595826893,0.988784451825265,0.98212834461092,0.999999852288341,0.999999727129587,0.999999994591141,0.999999997973852,0.999944326690976,0.982346947683312,1,0.998828541238963,0.999998171181475,0.999904310274861,0.997157872263179,0.99999961754594,0.998174030580915
"ZNF506",0.999992613681103,0.999971194744977,0.999999999952223,0.999979714712134,0.999999999982797,1,0.99971009956658,0.999985368143027,0.999999909319255,1,0.999999784789056,0.753646525195971,0.679861652658967,0.895981185384161,0.564283905752276,0.995140586997684,0.999515308161738,0.999769576806914,0.999946836117757,0.999970848813123,0.886265980887338,0.999999469589872,0.999999999989083,0.999999975924227,0.999999996081524,0.999962572617964,0.920511244910901,0.999145816223858,0.943487828490071,0.909546325596504,0.949908798077984,0.995850991140723,0.993516066432273,0.250973403093131,1,0.908137259455585,0.997724922244935,0.998866102116795,0.999865759427677,0.999999845789031,0.999999963309739,0.480866322591151,0.999999305808448,0.998472022486506,0.999924186011742,0.99592220144788,0.997578954590043,0.999551248052251,0.999998124460073,0.999999001403629,0.468919888987631,0.999999898928397,0.996814873625482,0.999993904459853,1,0.999543360688982,0.999989284098332,0.999999646551885,0.999999999920064,1,0.667295797393902,0.999994349106622,0.999960655936418,0.999370587526205,0.999999999997201,0.999999998575076,0.9990388779052,0.99997873382975,0.999995373132251,0.999999782805042,0.999999957923744,0.881568740903808,0.99999999840475,0.999938838932483,0.999999995176395,1,1,0.999999999301587,0.995796906677391,0.999621281715304,0.999824076217936,0.999960554031482,0.999979150177152,0.894558428713937,1,0.999317185602537,1,0.99999956457445,0.999999941320578,0.999996142318319,0.999999999179389,0.999741520911884,0.999998645150064,0.999999972558833,0.999999999996061,1,0.739340701980125,0.999991851351408,0.999991696278737,0.999215836525862,0.999999999965403,0.999999994285457,1,0.999999997903903,0.999994346031737
"ZNF324",1,1,1,0.99999999995328,0.999999996959712,0.999999941641387,0.999999999999323,0.999999999374148,0.999999925620168,1,1,0.999999989846786,0.999999999697686,0.999998860180348,0.999999326313671,1,1,1,1,1,0.999999999933182,1,1,1,0.999999963175163,0.999999984632058,0.999999999974201,1,1,0.999999982323938,0.99999999909741,0.999998589799038,0.999999236985786,1,0.999999999823141,0.999999999881553,0.999999905138157,0.999845993297566,0.999461608036332,0.999999999906138,0.999999414699308,0.999737053073345,1,0.999822224137887,0.999785819007969,0.999999912361978,0.999944015471115,0.999795031475668,0.999999999914646,0.999999719722005,0.999823125309518,1,0.999915006222446,0.999846417556769,1,0.999890203143384,0.938225348731489,0.909302208300813,0.9999240636842,0.993827201237479,0.978042366705429,0.999999954235159,0.95826656362257,0.983937549116353,0.9999985915513,0.999999556824654,1,0.999999999975938,0.999999999999479,0.999999979928986,0.999999996741211,1,0.999999999987218,1,1,0.999995958602862,0.999996476803863,0.999195121094366,0.999999971347076,0.999998451767057,0.999999411952345,0.999986585015763,0.999992549429445,0.999999996687761,0.999999803609185,0.999999669832758,0.999999999088519,0.99983676617475,0.999848016315561,0.99686647130252,0.999999999210878,1,1,0.999999999970023,1,1,0.999999970714266,1,0.999999999967809,0.99999994992918,0.999999882941631,0.999999920838069,0.998850443216899,0.999999999636204,0.999997109156704
