"gene","p-adj-Mixed serous and endometrioid-Endometrioid endometrial adenocarcinoma","p-adj-Serous endometrial adenocarcinoma-Endometrioid endometrial adenocarcinoma","p-adj-Serous endometrial adenocarcinoma-Mixed serous and endometrioid","mean-Endometrioid endometrial adenocarcinoma","mean-Mixed serous and endometrioid","mean-Serous endometrial adenocarcinoma","SEM-Endometrioid endometrial adenocarcinoma","SEM-Mixed serous and endometrioid","SEM-Serous endometrial adenocarcinoma","Q1-Endometrioid endometrial adenocarcinoma","Q1-Mixed serous and endometrioid","Q1-Serous endometrial adenocarcinoma","Q3-Endometrioid endometrial adenocarcinoma","Q3-Mixed serous and endometrioid","Q3-Serous endometrial adenocarcinoma","count-Endometrioid endometrial adenocarcinoma","count-Mixed serous and endometrioid","count-Serous endometrial adenocarcinoma"
"ZNF195",0.519923559724574,0.26320029630196,0.968227378620179,440.453753333333,524.884958333333,505.420224137931,19.2880520709605,152.50119026668,34.4687778633401,279.8576,287.6735,337.148925,578.5007,471.1551,621.4993,105,12,58
"ZNF263",0.809108539732724,0.0024103541770677,0.0518109588708465,799.991753333333,847.0799,661.496777586207,25.485391256902,60.7557721673797,30.5634811518398,648.2272,732.739275,502.03765,843.0222,972.8329,838.1143,105,12,58
"ZNF200",0.75981482543859,0.661012725991998,0.970965421106742,265.785681904762,245.522741666667,252.421318965517,8.5101335657023,27.3952299165756,13.8323256116691,205.58,198.433175,189.6897,323.0352,263.646875,302.50885,105,12,58
"ZNF582",0.876723984984304,0.00749206107900224,0.513827877367851,29.8892361904762,33.24425,41.1196827586207,2.05190878915581,5.60938172748309,3.35136597035151,11.215,19.557575,18.38185,43.8746,48.418825,57.9636,105,12,58
"ZNF285",0.97223338975567,1.60213316946489e-07,0.00539507018776553,49.5271895238095,44.7844166666667,113.633105172414,4.57626878298615,15.5651803599428,12.9552415753196,4.2879,2.48135,50.79325,78.5993,93.21595,153.970575,105,12,58
"ZNF275",0.756962294526089,0.688889846129551,0.510034438413535,611.59416952381,542.515266666667,654.519867241379,31.7574221251022,100.602527220763,39.2977685112488,408.0268,279.065475,421.0939,714.8163,628.60235,868.54295,105,12,58
"ZNF37A",0.968639670543548,0.289456209056754,0.572055595047912,349.640442857143,336.493566666667,393.923781034483,18.5944488131396,43.6825973503081,21.3751699900923,212.6964,259.769275,279.79845,440.8725,474.393575,510.5567,105,12,58
"ZNF510",0.824397328169795,0.349019746805567,0.98812170152998,216.809606666667,200.997516666667,196.907505172414,8.45705581107708,22.8127596490888,11.9242155298032,158.0182,151.664125,125.3422,259.0389,257.908675,264.28235,105,12,58
"ZNF506",0.515012853549886,0.949395702333671,0.445416358740385,337.052013333333,221.235975,354.395375862069,37.9968547645201,45.672327320444,36.7728002533827,41.5354,91.3217,167.281125,497.0017,324.84065,517.001125,105,12,58
"ZNF324",0.193647402165635,0.143560125338758,0.767191649409336,191.467302857143,240.3606,220.049805172414,5.93830250240338,27.1045053718571,17.2335007952394,154.8807,197.522025,146.19515,222.9608,266.012,260.25445,105,12,58
"ZNF671",0.422780110737532,0.24201215994119,0.926404298669581,96.7225495238095,67.7443666666667,76.697325862069,7.32909874144571,26.9231824809123,9.61524637015167,30.8388,12.3431,14.307575,141.2239,82.783625,111.27435,105,12,58
"ZNF416",0.890585560379986,0.0765101102842786,0.771544343674468,114.817836190476,122.338358333333,134.056027586207,4.00866399380255,14.6767591725906,9.42998335525049,84.7899,86.6445,88.84205,137.9572,156.9773,165.521575,105,12,58
"ZNF586",0.640409603191791,0.217513898545201,0.999998987813461,202.945006666667,162.22555,162.289279310345,11.9358430564376,47.809358471781,24.1356859279649,127.8855,85.521175,71.246525,266.8092,137.705175,189.90105,105,12,58
"ZNF446",0.93221857959902,0.0578712955468518,0.675132235647264,439.371383809524,419.309883333333,369.838198275862,19.1056396434471,47.2884974458935,21.7961482314603,312.4286,281.1552,270.0125,555.9545,528.526725,423.85195,105,12,58
"ZNF8",0.418873635377862,0.000142906021643907,0.616867542105685,92.2156323809524,112.450733333333,128.112836206897,3.65446859459835,13.9094154890499,9.607400340644,68.9523,79.868625,83.608475,106.3879,147.9528,138.83815,105,12,58
"ZNF264",0.959033334310748,0.997977555580865,0.952870413309963,517.422848571429,498.358533333333,519.67414137931,21.5792638218185,75.0177039105571,30.3327823200049,381.2105,331.483775,382.399375,659.306,632.791775,666.118625,105,12,58
"ZNF213",0.935933763273489,0.00021575138248664,0.185136337903411,626.787288571429,605.152975,490.631325862069,18.837796617063,83.2452117834542,27.0814621877176,491.3651,413.784875,335.784275,720.4437,694.279375,584.919475,105,12,58
"ZNF343",0.744690903015182,1.19095841855099e-07,0.0638739878866269,253.733928571429,281.559908333333,371.053927586207,7.01090972997463,26.1190051525949,24.888938040899,201.7883,252.64965,248.1099,298.653,304.299725,448.6717,105,12,58
"ZNF302",0.511780356220499,2.57305375783723e-07,0.16508526517207,346.435704761905,463.067375,663.18355862069,20.7471580338641,94.4191642057624,66.744457736469,193.901,212.521725,395.992675,490.5179,586.512475,743.281775,105,12,58
"ZNF268",0.971476083437297,0.947166674788608,0.922726380849803,280.282427619048,270.57435,287.421565517241,13.1367699749146,28.4182216277437,20.0865769861331,170.0651,229.771325,179.135675,401.2708,297.638275,349.8652,105,12,58
"ZNF184",0.914695808171458,0.0803867098932677,0.292079526440124,263.412154285714,247.644358333333,308.945620689655,10.5757854208977,31.6451755442314,21.2408113466075,211.4106,198.95525,163.660825,316.1926,280.8766,410.685275,105,12,58
"ZNF500",0.81126841343568,0.938210926038324,0.908700608816314,237.937188571429,255.080241666667,243.016079310345,7.45192316981531,26.7258746805681,14.873335172996,179.8715,207.00635,173.74955,292.306,316.830975,295.3862,105,12,58
"ZNF419",0.443279870835395,0.864592828102212,0.636877632833474,209.962053333333,251.151816666667,219.283984482759,9.72353871591074,42.5529305089072,15.9552315325604,142.3405,198.73355,141.999075,248.6065,285.161175,287.690025,105,12,58
"ZNF175",0.775494488676426,0.0228923974694351,0.751413065112168,92.2522866666667,103.05275,114.971806896552,5.03223109030869,13.6113575360159,7.09446909363126,52.9459,75.973975,79.0916,123.7719,129.988975,148.20845,105,12,58
"ZNF14",0.878734315045271,0.0442603433732622,0.204194556443602,246.107728571429,223.733616666667,305.933705172414,10.5551513299713,25.2043920054586,28.3080296864924,181.2039,158.2639,157.00075,294.1712,269.05625,391.5701,105,12,58
"ZNF85",0.925823290620085,0.000406205079743649,0.0492486234405741,135.72335047619,123.272366666667,205.390910344828,8.95406572651902,21.8800483383778,18.3559298905814,73.1402,55.131875,107.843425,187.0804,190.437025,310.43715,105,12,58
"ZKSCAN1",0.934242724710651,0.856689029788577,0.997733034424223,511.781425714286,474.268866666667,481.397870689655,35.1003813241353,123.441936940064,41.333954723714,209.7259,225.21445,272.326525,765.7122,557.31495,628.267975,105,12,58
"ZNF862",0.999844850340407,0.730280709091775,0.9258383374856,520.274256190476,518.476716666667,476.771836206897,37.4321877842821,87.0559622842633,38.7545211682972,283.7666,297.769625,233.06855,675.398,795.02015,602.4022,105,12,58
"ZNF684",0.929781242354944,5.06016885282179e-07,0.0388898581416648,48.4720057142857,51.3423583333333,71.5917172413793,2.12492284422602,6.81824127453676,4.26157539106176,35.0654,39.6519,52.00905,58.3257,58.858725,86.8196,105,12,58
"ZNF430",0.876595269434183,0.0668920452333169,0.236951319546821,68.0111866666667,59.496,88.9811172413793,4.77771072575158,10.8788681392998,9.47183162965853,25.9356,27.58925,46.26855,104.852,78.3702,119.3772,105,12,58
