"gene","p-adj-MSI-L-MSI-H","p-adj-MSS-MSI-H","p-adj-MSS-MSI-L","mean-MSI-H","mean-MSI-L","mean-MSS","SEM-MSI-H","SEM-MSI-L","SEM-MSS","Q1-MSI-H","Q1-MSI-L","Q1-MSS","Q3-MSI-H","Q3-MSI-L","Q3-MSS","count-MSI-H","count-MSI-L","count-MSS"
"ZNF195",0.654320859443601,0.652716655574632,0.93382912548555,366.341914285714,520.14575,461.15629,57.9022643742574,101.77395,80.4387110019291,274.6507,469.258775,295.27705,440.3306,571.032725,682.776075,7,2,10
"ZNF263",0.35850305732591,0.809965389560397,0.5483025997965,936.847042857143,585.93025,841.72248,141.55409651262,197.59765,82.8619532431901,803.71915,487.131425,652.086575,913.69845,684.729075,944.096025,7,2,10
"ZNF200",0.999720914846143,0.398062825790236,0.665356707105818,251.814171428571,253.5217,189.63169,40.4863202445428,78.0755,26.3096216759,233.7866,214.48395,177.631625,298.83135,292.55945,223.874325,7,2,10
"ZNF582",0.863687927790538,0.50327932920739,0.980271398550067,34.0064,25.5433,22.54114,7.56339725762614,9.4353,6.71700942930541,22.1076,20.82565,8.847475,45.05675,30.26095,26.371,7,2,10
"ZNF285",0.957702376043839,0.0426799702320979,0.148377816360479,12.9626285714286,2.5303,73.84269,6.81226826261038,0.0817999999999999,19.004770917275,1.8285,2.4894,27.586675,17.70185,2.5712,113.3002,7,2,10
"ZNF275",0.594596548732384,0.244008410248821,0.998919810479594,477.969157142857,714.94345,725.2022,70.3993394927242,159.87165,114.127788676442,381.5208,635.007625,439.17725,531.5116,794.879275,998.921275,7,2,10
"ZNF37A",0.470665481991194,0.985799473185312,0.50520065148833,293.014971428571,400.7044,301.91023,45.294734075585,108.5842,31.7997955351395,269.15815,346.4123,292.19445,300.0772,454.9965,357.436775,7,2,10
"ZNF510",0.579975166934157,0.946866575605396,0.679963907737456,213.281885714286,153.09885,201.76222,20.7305593558838,22.49375,27.6691617066357,186.1396,141.851975,153.742375,239.3766,164.345725,241.208675,7,2,10
"ZNF506",0.971170254601504,0.832855186930103,0.990729253982914,258.991814285714,304.42145,329.16986,81.4260352430744,9.90154999999999,87.4031626858423,44.1635,299.470675,65.733425,458.11565,309.372225,443.797575,7,2,10
"ZNF324",0.995214980863685,0.505590562482881,0.807394608414807,234.834457142857,227.0773,176.67567,54.0736467215772,116.0629,15.7562113433052,177.51435,169.04585,149.959725,286.46115,285.10875,219.1027,7,2,10
"ZNF671",0.473815571087112,0.953536196636164,0.353305454990178,80.8444857142857,166.25865,67.90176,43.7466913268738,35.21815,22.2665319186402,14.80255,148.649575,12.7589,92.39585,183.867725,114.00535,7,2,10
"ZNF416",0.51785530915004,0.564057761708273,0.195755241377206,134.190485714286,197.23075,98.15072,22.5254364954952,114.07885,18.8428211271726,95.5716,140.191325,60.8241,163.245,254.270175,125.43905,7,2,10
"ZNF586",0.999331962908034,0.216046203782167,0.49702068337834,252.003657142857,256.0002,128.15856,73.8480030441706,185.0381,18.3887316430422,148.59925,163.48115,98.0564,267.081,348.51925,173.716525,7,2,10
"ZNF446",0.71186056333067,0.663364483675898,0.374955678135973,448.375657142857,337.24815,523.61211,77.4358621302229,57.37005,50.4369903658206,307.7337,308.563125,379.616325,535.4968,365.933175,635.49205,7,2,10
"ZNF8",0.398129453112573,0.944700897178246,0.280563342668683,106.357114285714,169.75605,96.94929,17.8728509549224,109.28585,14.52775840865,80.41595,115.113125,66.60515,107.31055,224.398975,126.3455,7,2,10
"ZNF264",0.8592555080432,0.980379381332984,0.785902515880833,475.854757142857,581.1156,452.57397,61.8560884683297,353.8627,80.3496308804507,347.5269,404.18425,256.5176,609.2604,758.04695,611.964075,7,2,10
"ZNF213",0.739493650684263,0.608702594618517,0.370521551567815,684.639042857143,555.49675,787.10876,76.5215025769099,147.57335,70.9983183885853,594.6909,481.710075,626.365225,769.9348,629.283425,940.633925,7,2,10
"ZNF343",0.171490225139947,0.180015849551433,0.0160314436620508,295.8228,396.9714,234.61555,24.2427411712199,76.9888,19.4831843683341,246.3442,358.477,178.8411,351.68555,435.4658,285.870625,7,2,10
"ZNF302",0.29403046029494,0.776487383288575,0.48573328573456,291.471628571429,518.5098,352.87132,62.4455151511098,70.084,63.1236783216282,188.47085,483.4678,230.6021,438.3353,553.5518,466.5844,7,2,10
"ZNF268",0.426179806570822,0.573639710713005,0.781622396394469,343.744557142857,217.9883,281.97102,39.8140458176021,28.6109,43.7259850247241,266.3642,203.68285,212.1851,413.25565,232.29375,360.08055,7,2,10
"ZNF184",0.0982875117344089,0.956737514867715,0.118027411906855,216.339585714286,435.11655,233.53161,37.3149302329856,38.10935,44.8014409695305,193.4744,416.061875,159.62165,261.91735,454.171225,288.31395,7,2,10
"ZNF500",0.962981268283626,0.604614116716499,0.936037975556501,246.578171428571,228.6352,205.66687,22.7778949333372,69.7323,30.7869957930078,207.73015,193.76905,138.446675,298.9774,263.50135,282.619825,7,2,10
"ZNF419",0.953182906086859,0.957037362912765,0.879087083130182,221.800442857143,248.1815,206.28514,36.4878274027945,130.6369,34.7186419806555,137.3808,182.86305,91.314425,301.94025,313.49995,290.65335,7,2,10
"ZNF175",0.936964226457987,0.951278091655671,0.985175257854906,73.9929714285714,89.791,82.49337,19.3096423288953,21.441,19.9417068100504,38.8294,79.0705,22.42855,92.99445,100.5115,129.39535,7,2,10
"ZNF14",0.563682870778692,0.539938218984573,0.213554540383211,241.044457142857,326.08765,186.76885,40.0689397460525,83.16205,30.7918187419113,148.40185,284.506625,111.7025,321.28505,367.668675,271.38975,7,2,10
"ZNF85",0.38776012622622,0.848826382184377,0.218046740860534,138.648014285714,222.96675,117.65144,22.7237749058582,91.49095,25.4311357100098,99.0811,177.221275,67.030325,170.5284,268.712225,136.072875,7,2,10
