"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE"
"ZNF195",0.816874200580189,0.438054346703286,0.0885184542798104
"ZNF263",0.987788260358992,0.93484257325205,0.776194844011008
"ZNF200",0.919716818138083,0.774529380565531,0.573779289251429
"ZNF582",0.820434024116945,0.852083147999561,0.98968349672128
"ZNF285",0.919284399644756,0.775798997353124,0.580562226063972
"ZNF275",0.641663094041523,0.748018901608481,0.882737640001659
"ZNF37A",0.821201395430378,0.623193884603513,0.481961632224292
"ZNF510",0.26411817398006,0.506269557367981,0.384435631902616
"ZNF506",0.583358094412348,0.677027661902225,0.920513679899797
"ZNF324",0.424656128033991,0.474235980364845,0.988170779065841
"ZNF671",0.891293019441658,0.837147478089056,0.909117147386578
"ZNF416",0.923778967321047,0.981758672533099,0.81450587435134
"ZNF586",0.936470512116968,0.924310638257771,0.988493620458983
"ZNF446",0.835571405581342,0.742933206920834,0.818994883819102
"ZNF8",0.504202994663753,0.59881145680278,0.922155456014976
"ZNF264",0.57914299243825,0.713164805362726,0.819006701207122
"ZNF213",0.377000744420085,0.367049397958163,0.977905862594104
"ZNF343",0.64891576444957,0.854934194340495,0.529073025759888
"ZNF302",0.958403533675182,0.546518073698142,0.0286284516044033
"ZNF268",0.100947684697555,0.204624033423385,0.608260968128309
"ZNF184",0.655883953856623,0.674025093956929,0.999992542040427
"ZNF500",0.673370648875804,0.70658214949169,0.995743133817572
"ZNF419",0.500559482377301,0.456255591010575,0.930601948505014
"ZNF175",0.87563282626121,0.747008478616851,0.68076772294912
"ZNF14",0.664735241277127,0.780191139716831,0.851670260001679
"ZNF85",0.754356535393124,0.65908783738832,0.826052550005569
"ZKSCAN1",0.944325757627068,0.995413577115398,0.378018957297716
"ZNF862",0.000794316428012087,0.00025211689512783,0.335159907084447
"ZNF684",0.862324477291212,0.978255589754014,0.577344361073382
"ZNF430",0.343612207607022,0.468459093738253,0.826518902212168
"ZFP30",0.598724932491989,0.648795585536781,0.985848442301522
"ZNF549",0.999999999991208,0.973263493690693,0.743895763638821
"ZNF211",0.768286016620011,0.732281490372826,0.959692692745292
"ZNF205",0.529926896610098,0.694168071674321,0.732785591238583
"ZNF45",0.257551016668119,0.274486100482299,0.999112014013015
"ZNF133",0.10461000323574,0.107855451061424,0.984551602349473
"ZNF436",0.997202049158937,0.996638479824705,0.877605268167508
"ZNF484",0.714263556520409,0.55114536155931,0.614054824080775
"ZNF780B",0.923308228038002,0.999906293444628,0.469242008843731
"ZNF557",0.969799971342193,0.757776090461617,0.251117060411396
"ZNF337",0.167607768124056,0.214457858278604,0.967123609238637
"ZNF317",0.79469338408591,0.939113693209218,0.607321221825669
"ZNF426",0.449240404442928,0.657521680393422,0.588110405424062
"ZNF331",0.906816257404407,0.690289272463366,0.360260170715401
"ZNF227",0.654264746239481,0.584221425730601,0.890211732521303
"ZNF141",0.898459681278849,0.975734733860222,0.755534475919759
"ZNF304",0.622228638605467,0.798085590791998,0.665956197389764
"ZNF132",0.756009151794116,0.502928210932865,0.331988413090587
"ZNF20",0.552806413320966,0.351078393787562,0.424726545284198
"ZNF670",0.727894331898201,0.534831916327564,0.514899005494268
"ZFP37",0.998690828671803,0.964704544600898,0.577363078640617
"ZNF189",0.787977872386666,0.531562341074584,0.320443299781125
"ZNF434",0.996836336974942,0.983247763427765,0.939566768885272
"ZNF287",0.885164845943451,0.901180542963089,0.997325494561163
"ZIM3",0.979982956338245,0.845739187637454,0.447946671724411
"ZFP14",0.898029602930214,0.912107094603518,0.997776702946412
"ZNF473",0.948485208951988,0.873013500496138,0.79221391246793
"ZNF614",0.746466924597904,0.797986523821276,0.974301503550594
"POGK",0.950233807189948,0.949694739363125,0.999222393811859
"ZNF514",0.894737595911238,0.968931609384961,0.793789315971748
"ZNF300",0.83696104102731,0.627422746239825,0.438636315580745
"RBAK",0.723735961580741,0.817871365546649,0.891199868183823
"ZNF92",0.400249306914758,0.337598657461755,0.860991284433291
"ZNF157",0.954982206260506,0.961773448673487,0.998818390073859
"ZNF182",0.691589748846881,0.554482404135909,0.69902997739945
"ZNF673",0.999714507549963,0.996627072635433,0.941103036575611
"ZNF41",0.805251496145464,0.823482301460549,0.998907639421123
"ZNF7",0.546333563734259,0.321815562607889,0.33954618805042
"ZNF214",0.344701318522325,0.233045627128973,0.615156018260051
"ZNF215",0.519943694053424,0.30283199867137,0.343762556996085
"ZNF547",0.525616038796137,0.493114249858335,0.955070896709361
"ZNF773",0.747706196647272,0.569096990872482,0.561961645434721
"ZNF776",0.822256303302531,0.665584876164892,0.616813529358114
"ZNF256",0.825867813555997,0.779064819106543,0.938174987462673
"ZNF599",0.886613541002264,0.62019665498728,0.253119892180316
"ZNF18",0.297682990530395,0.228249159782646,0.776438819683854
"ZKSCAN2",0.782787713741426,0.934417177462811,0.592575626403635
"ZNF689",0.575334206419499,0.703085332559671,0.837583117284063
"ZNF19",0.652357112467039,0.914575223100978,0.296668100245145
"ZNF230",0.318993862967668,0.153674380199976,0.285245252736983
"ZNF222",0.544382642144643,0.343778226694695,0.422925594688415
"ZNF221",0.999523834310287,0.943861103205776,0.47557997194948
"ZNF233",0.533448658593117,0.465054043727178,0.879391547455625
"ZNF235",0.579220683049489,0.725669054076401,0.781337529242361
"ZNF208",0.791581550860547,0.795775276527817,0.998937511265821
"ZNF714",0.585739351050931,0.409477594766023,0.536664209895851
"ZNF394",0.523156523252944,0.66538987595158,0.801430781560464
"ZNF333",0.955289826669166,0.868013854773517,0.731218669119668
"ZNF382",0.8050484141607,0.967507883355644,0.45416048098482
"ZNF577",0.32340006914347,0.172929592889067,0.37224145801135
"ZNF75A",0.989547216021382,0.783428049635869,0.185985213317081
"ZNF496",0.864657466430743,0.788344457207991,0.857138349408496
"ZNF2",0.824188032004405,0.977138015743438,0.442419696870419
"ZNF589",0.976799679502163,0.895198286072582,0.0844027105876819
"PRDM9",0.999314072326696,0.723212526352932,0.0429792446638129
"ZNF12",0.884396806691217,0.907358857602372,0.991676979141445
"ZNF202",0.689539445984769,0.787042501984984,0.893437966801231
"ZNF3",0.915327823999876,0.804558685110842,0.705801954677056
"ZNF606",0.5696305455678,0.573106567071289,0.995721917850232
"ZNF91",0.697543182988183,0.839606528881061,0.746425496486739
"ZNF226",0.0653954031404657,0.0601039496475003,0.933022544081562
"ZNF229",0.8309630105336,0.995541843886651,0.265987998369637
"ZNF180",0.852944870160256,0.827133783459475,0.973434906397399
"ZNF641",0.912016478833999,0.99510237863561,0.579418733421865
"ZNF610",0.681878020470003,0.841374625460245,0.6902466477055
"ZNF528",0.537766107572518,0.842516892190803,0.26492107540656
"ZNF701",0.380569054325898,0.512109783381222,0.818095467623681
"ZNF283",0.200565550977603,0.212472315746433,0.99681661811511
"ZNF558",0.912315591622514,0.929346721410213,0.994394074956783
"ZNF597",0.995143567981738,0.767275826756533,0.0276819022473391
"ZNF30",0.965615191414504,0.986736940527755,0.385113924432163
"ZNF354A",0.902357418058881,0.748661357039803,0.567068843118931
"ZNF764",0.990100716095555,0.984077555613262,0.990117910985925
"ZNF747",0.816000710331364,0.674863582392735,0.671004556345005
"ZNF778",0.713385286354665,0.689447673918538,0.975806578426273
"ZNF212",0.985091897901434,0.932069720952152,0.790673109268504
"ZNF282",0.941816009455626,0.66267702624372,0.170471763795653
"ZNF160",0.890279168979659,0.606310270672472,0.212906838805897
"ZNF415",0.994292733884401,0.961203478799161,0.841407156908449
"ZNF439",0.999990620465499,0.757963192039735,0.0539470185984428
"ZNF440",0.796564235672067,0.657754040563052,0.684799696844689
"ZNF562",0.668231803891814,0.702815044440783,0.995136402967457
"ZNF561",0.613049101847666,0.570804995303538,0.944903085521921
"ZNF584",0.498082085391572,0.799774650760367,0.29078228107609
"ZNF274",0.754255008609458,0.740402660029084,0.98732210110345
"ZIK1",0.657010417364496,0.744575690741117,0.924024414028283
"ZNF540",0.928271116307174,0.808727560695583,0.655078946897883
"ZNF570",0.57799977628795,0.526305625620995,0.92414840203718
"ZNF57",0.412442801561175,0.833780433441013,0.0783521249537414
"ZNF556",0.698388072272438,0.589529381311454,0.787954060197451
"ZNF554",0.293019849450893,0.163544196967527,0.430581505427139
"ZNF738",0.931184120248337,0.980183725029495,0.860713032111784
"ZNF596",0.97949940372588,0.888226369302975,0.632277355783624
"ZNF621",0.737545754357653,0.634797859180519,0.805670700416899
"ZNF680",0.509401519935655,0.304480871485432,0.378956896720212
"ZNF483",0.953748265305058,0.943908659846754,0.990468358244235
"ZNF417",0.694297858554229,0.768885262437965,0.94395070639209
"ZNF791",0.515389843027672,0.343560561426441,0.511401645304839
"ZNF519",0.683478856089336,0.556365889372396,0.730691896050485
"ZNF25",0.921162658439025,0.960155445116273,0.938925553811888
"ZNF77",0.776379176745513,0.98833516360134,0.212022940677
"ZNF169",0.802404490396473,0.866339156794921,0.939157531770511
"ZNF613",0.849954501698134,0.947092108956997,0.762732446334281
"ZNF404",0.09162571701281,0.465976463838958,0.0140023774561082
"ZNF135",0.82925892295401,0.825116684979483,0.995838079614523
"ZNF620",0.996008748101859,0.863195973237179,0.324280876931883
"ZNF619",0.537751330285594,0.696817227258736,0.748463844680379
"ZNF354C",0.641533178312989,0.620598508014397,0.977272658742743
"ZNF114",0.927519089816282,0.973321071260814,0.893995109219423
"ZNF454",0.576156554168601,0.33791843550856,0.315733979191501
"ZNF543",0.375635406889456,0.671078653828463,0.307759123378067
"ZNF354B",0.954950433033448,0.9967140686401,0.780735964240132
"ZNF223",0.864406041238602,0.879575816565744,0.99857036845822
"ZNF713",0.324263477875674,0.589674559603295,0.365535754316232
"ZNF552",0.930949479873135,0.962464531242139,0.956895267370589
"ZNF154",0.887990101487557,0.972147746367122,0.0682866254294465
"ZNF571",0.999987258652049,0.995818051991571,0.950391100604713
"ZNF443",0.99236447698877,0.997006994390795,0.990182373779885
"ZNF792",0.776565390198302,0.790444507244309,0.999955643702965
"ZFP82",0.94298987919791,0.448776662220226,0.00995146809866865
"ZNF707",0.0162689151027742,0.00836136339046567,0.550561672764257
"ZNF746",0.393687986674783,0.779060949778434,0.12669213407872
"ZNF678",0.475897431505922,0.639796498765586,0.735615513667821
"HKR1",0.907957970648791,0.726853136199485,0.467076864562466
"ZNF101",0.949377882686272,0.742657992212614,0.317733370236824
"ZNF716",0.983930936747062,0.522415834881868,0.00749317657988946
"ZNF708",0.69975484472406,0.922063190655879,0.390175801356484
"ZNF721",0.976401754802378,0.999792115481505,0.818918286806616
"ZNF662",0.97331367380597,0.68316971697191,0.104805939443865
"ZNF320",0.897982673346337,0.781408588099477,0.703696608425192
"ZNF530",0.931671900582684,0.788002153763678,0.559434746589722
"ZFP1",0.407496343386716,0.335927445907361,0.834471331620654
"KRBA2",0.722185540836,0.971252630377043,0.206834936249557
"ZNF93",0.619228036640538,0.579408097303796,0.949445183474321
"ZFP90",0.810157119531221,0.937345097389616,0.673813036116115
"ZNF479",0.997389258268193,0.719821078614968,0.0535802946951265
"ZNF445",0.564789718886096,0.613454611243847,0.988000656675127
"ZNF74",0.86555038081639,0.999961191492897,0.24330294417813
"ZNF829",0.589663019222187,0.69806517572352,0.886480688165644
"ZNF267",0.648594829523696,0.721345894720228,0.953401934757245
"ZNF566",0.968287454264976,0.747417092752869,0.234833826672598
"ZNF224",0.0993889118304242,0.0672877271046274,0.71075811781495
"ZNF529",0.961678794201774,0.954565559272058,0.993581747266997
"ZNF284",0.595617445802851,0.509019429975624,0.841223390895391
"ZNF749",0.590204247793142,0.839066760696095,0.412419878087136
"ZNF17",0.982766526704294,0.983313279139012,0.999953537697881
"ZNF555",0.61247173117926,0.769777810721238,0.73636354569847
"ZNF75D",0.792481773375005,0.836293192339971,0.978739039810714
"ZNF197",0.872066810495972,0.948278399766437,0.836131246636417
"ZNF732",0.689462128779484,0.330904374198881,0.0980455125173794
"ZNF546",0.26745406485456,0.434633085498983,0.638907053474987
"ZNF286A",0.449797878839477,0.365566367985446,0.808889958731247
"ZKSCAN4",0.900171465080473,0.914427144201889,0.997559594220865
"ZNF643",0.272327095460201,0.230312913155866,0.877711940602573
"ZNF642",0.640570388161196,0.902275335750979,0.314902663928536
"ZNF490",0.818424758697495,0.400775676693051,0.0523939993726993
"ZNF626",0.851438312599337,0.762321398816987,0.824121502266867
"ZNF793",0.337396960184556,0.255962302652412,0.754438110526132
"ZNF383",0.999999709650503,0.861904941730583,0.200517827115839
"ZNF669",0.721189873820652,0.88661885224762,0.625923047075143
"ZNF559",0.999962346525379,0.995792329505411,0.96263013789594
"ZNF177",0.374931158581065,0.326014179388055,0.894542379930572
"ZNF548",0.885139885513865,0.98339345245346,0.621360521444716
"ZNF563",0.994353373761654,0.996595906599336,0.997711239353002
"ZNF567",0.84382052048985,0.85702215203977,0.999573942410803
"ZNF573",0.99866645167797,0.988341972558949,0.943476421771348
"ZNF527",0.921441056510805,0.624683432146513,0.163491381572362
"ZNF33A",0.667618646915949,0.62253678899143,0.942771680734607
"ZKSCAN3",0.997701936956296,0.972949217140995,0.856206224868703
"ZNF676",0.312546329122532,0.732889355461084,0.0756116106955673
"ZNF699",0.812820516312916,0.885988604865515,0.909524143793219
"ZNF250",0.99999947394721,0.999467218629099,0.994530742583174
"ZNF79",0.97864091426145,0.87706091961371,0.589991842670949
"ZNF681",0.955070245376064,0.980310097823542,0.95260480196342
"ZNF766",0.997869128256246,0.898523786366469,0.42051601971499
"ZNF471",0.264846867340875,0.251891884616244,0.962794857133442
"ZNF836",0.979263097204659,0.969908488553766,0.341579450284871
"ZNF493",0.973640287223549,0.917832029755811,0.820256954839114
"ZNF167",0.56920435380521,0.227522151939672,0.0718191556909133
