"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","IQRhealthy","IQRtumor","SEhealthy","SEtumor"
"ZNF195",816.158199187439,760.617747054691,837.196249237723,1.10067935238109,0.138394247190669,0.278693672485667,0.38405347549854,846,818,161,500,40.3282415518786,42.3207759698353
"ZNF263",1945.18259276007,1563.10770641855,2089.90792849549,1.33702106381649,0.419022194245191,0.00215387331763642,0.00613582398889702,1773,2058,385,961.75,73.1052738635638,83.5706732497774
"ZNF200",455.448263997789,421.961057306597,468.132811986876,1.1094218385341,0.149808029741887,0.428728571221658,0.542309647925904,474,448,144,194.25,22.0433300569583,18.1767681409387
"ZNF582",174.074986244731,204.426143471667,162.578335779982,0.795291311663939,-0.330444684916419,0.147060821784362,0.238534060214827,224,179,69,103.25,9.43516118922548,9.84963235201207
"ZNF285",178.276371290263,156.924324579634,186.364267771562,1.18760598951623,0.248056274475912,0.166562624357735,0.261410785450335,196,203,112,124.75,12.1961032027994,11.8222455806854
"ZNF275",3057.81645570468,1554.725065145,3627.1692551591,2.33299722020036,1.22218458833131,1.12335409229419e-13,2.24010021933959e-12,1722,3684.5,738,2466,121.871325585636,235.799024923119
"ZNF37A",906.354086629345,1040.51714689499,855.53474561963,0.822220708397388,-0.282402386904281,0.0834925300379724,0.150553019589748,1155,728,544,540.75,93.5609448434548,68.1955515047557
"ZNF510",626.380318102675,711.165110801094,594.264866322972,0.835621513622288,-0.259078458876979,0.0692096613968758,0.127511278334461,810,601,400,497.25,48.3634255748425,38.1475357619232
"ZNF506",1192.46368259819,1058.1545603719,1243.33835010815,1.17500637115921,0.23266857944123,0.067309785645508,0.124688619310531,1146,1238,261,694.5,51.3312809113507,52.7755792770667
"ZNF324",562.450846953961,456.61255355634,602.541109604575,1.31958945261506,0.400089151702384,0.0129049108600659,0.0292997573288664,551,619.5,191,293.75,31.2950730946582,24.3270762695566
"ZNF671",456.061244018862,386.075544934315,482.570978520585,1.24993925373514,0.321857982515671,0.00914567862695266,0.0219885464860777,468,513.5,333,314.5,38.7422250264489,27.1127244470329
"ZNF416",297.903342039678,264.953957345993,310.384169575164,1.17146455438612,0.228313302485304,0.118856907473264,0.200583303023333,287,320.5,103,139,14.9745339382121,13.7430676302669
