"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor"
"ZNF195",313.400415029272,271.460681203258,319.052670261889,1.17531816706448,0.233051357565386,0.0452139569813606,0.102869338366988,184.5,346,142.5,230.75,224,471.5,10.4294751076173,13.5135217758982
"ZNF263",958.193678827075,900.978257519752,965.904652049086,1.07206211025343,0.100388491205094,0.477708346753418,0.615753344294329,559.5,977,470,754,754,1314.5,27.857433112041,24.479107493995
"ZNF200",296.913179171964,229.614802069882,305.983041315101,1.33259284051721,0.414236047722092,0.00180858854977804,0.00739139331396849,146,317,115.25,188.5,225.5,447,9.12027747519174,9.52614744397467
"ZNF582",51.343102985636,57.509445219671,50.5120595578685,0.878326323005301,-0.187171053628133,0.331280085330751,0.481991197112123,35.5,49,27,48,18,84,2.83240865263299,3.03880983803879
"ZNF285",42.2629392054367,26.2074356412823,44.4267537019534,1.6951965201804,0.761452531329306,0.00122969928322982,0.00541387087032351,17,32,10.25,24,11,73,1.52187853842358,4.70733232462965
"ZNF275",1211.55364728006,1816.32152339604,1130.04854268221,0.622163272375544,-0.684634862865591,3.05010487567987e-05,0.000252191598257433,1160,1085,970.75,1322.25,707,1590.5,57.7523397176006,54.0752044349779
"ZNF37A",383.80047029609,427.741869846807,377.878448793298,0.883426373313964,-0.178818192460257,0.0796289063108179,0.157860814265306,278.5,403,207.25,429.5,245,646,21.067515375137,17.2106714987628
"ZNF510",214.101985897632,261.3510486525,207.73418768269,0.794847347097884,-0.331250281951484,0.0156105296811681,0.0419997584279046,176,216,132.5,245.75,130,342.5,10.4197222729254,9.85874293599362
"ZNF506",214.084913418885,187.612756694309,217.652589527318,1.16011615287949,0.214269257761544,0.387670330255934,0.525680967827046,129,194,82.5,180.5,90.5,379.5,9.72406608495077,19.1572655453623
"ZNF324",192.96367042752,185.669453214741,193.946718569404,1.04458065239783,0.0629238876393949,0.386232294438208,0.525680967827046,122.5,202,91.25,150.5,147,283,5.56858608808449,5.88451515016098
"ZNF671",123.522510544831,112.214360643633,125.046519965477,1.11435398507145,0.156207591192658,0.537663109022053,0.667647596917494,69.5,117,45.25,110.75,57,209,6.81838091978931,6.53374268874965
"ZNF416",110.219090095812,101.217763853266,111.432206840091,1.10091551717772,0.13870376261237,0.262260397472806,0.393390596209208,64.5,112,54,82.5,79.5,171.5,3.41978039633887,4.44250754056904
"ZNF586",112.203699350987,146.316978759839,107.606222341708,0.73543223249798,-0.44333568657305,0.0025782793746822,0.00973365510001692,91.5,105,73.25,119.25,72,151.5,6.65911742635307,4.43734068068687
"ZNF446",301.426223486326,238.960109503517,309.84483723064,1.29663832961241,0.374776125821138,0.00306360799337843,0.0112887294538618,128.5,291,99.5,182,203.5,410,11.8157103995019,9.93630094650118
"ZNF8",71.5896217864046,53.9419751261372,73.9680108241765,1.37125143547693,0.45549313089601,0.00754163494762171,0.0241190023324883,31.5,73,24.25,47.5,46,111,2.6038292053459,3.54305483648836
"ZNF264",502.021172272425,638.992072223035,483.561482252128,0.756756622300228,-0.402098699901775,0.00199047631903556,0.00793848790768299,417,541,323.75,558.25,347,752.5,21.1781743639001,20.3633150498563
"ZNF213",276.08463446111,164.131800351242,291.172617494784,1.77401708183103,0.827019901270471,3.78833008239969e-06,4.58658534976248e-05,95,249,76.25,136.25,156,405,8.26652951389406,16.4794451916473
"ZNF343",308.50809639759,278.867665327698,312.502763657683,1.12061311694369,0.164288284740232,0.159424234446697,0.270766315705854,198.5,324,150,227,223,441.5,9.29329624525339,11.1614137152579
"ZNF302",710.203799380713,670.786622545629,715.516087363878,1.06668210622404,0.0931302866523972,0.476035475849451,0.615753344294329,415.5,767,292.75,619.25,505.5,1112.5,29.3261819359216,26.6871712060166
"ZNF268",373.591386644514,576.800447903938,346.204720706587,0.600215762599832,-0.736446888037125,6.14090605291373e-11,2.97395307419679e-09,358,362,276.5,506.75,221.5,590,25.3118386434136,16.0599305099651
"ZNF184",168.570445975441,145.898385640748,171.62597971327,1.17633912780825,0.234304035919272,0.081315260499631,0.160266705287063,87,178,67.25,142,107.5,264,6.52484357463605,10.0164613191825
"ZNF500",234.69746464366,193.765109157946,240.213954601303,1.23971728266875,0.310011151744303,0.0135274278158307,0.0382149835797218,127,258,96,160.75,166,369.5,7.03285815849794,8.28276572933326
"ZNF419",186.862204228158,157.85703019342,190.77125733257,1.20850656507867,0.273225310406524,0.0581117835872459,0.122359594012897,101.5,193,75.75,131.25,114,288.5,6.74715359486154,8.95071948150889
"ZNF175",98.9044423317042,135.965176115425,93.909734274599,0.690689608601516,-0.533890576365704,0.000574006129776045,0.00299366273837045,85,96,64.25,118,50,158,6.39742550259278,5.12383443554188
"ZNF14",80.2086388546093,55.4316045213622,83.5478618105725,1.50722430880338,0.591894138313917,0.0123231079142464,0.0351053242262986,36.5,60,24,53,23.5,157,3.77062870305822,6.6896081994625
"ZNF85",45.4863708048038,21.2053355399803,48.7587475251304,2.29936222575687,1.2012337562427,2.22087501847477e-06,2.78843196764055e-05,14,35,8,22.75,14,79.5,1.69320370171761,4.31664610405017
"ZKSCAN1",1281.78944150429,1388.01841021887,1267.47286890125,0.913152779220981,-0.131071837761373,0.537489342558076,0.667647596917494,874,1229,508.25,1290.5,558,2188,81.3981158083088,75.6707308338975
"ZNF862",427.844213379799,257.056432619802,450.861434506483,1.75393951402619,0.810598996175406,1.2793658918784e-06,1.76032293784545e-05,164,404,103.75,247,266.5,671.5,16.0171428571429,20.1040276295613
"ZNF684",278.260472328033,444.483622901178,255.858430471814,0.575630725833738,-0.796784493036954,3.53511323564283e-09,9.986694890691e-08,290.5,238,209.75,371.75,127.5,352,20.7522182733631,11.1989429585506
"ZNF430",33.6480049273749,34.0506677279018,33.5937377035842,0.98658087917779,-0.0194907680077189,1,1,21,26,14.25,36,9,63.5,2.86845759592012,3.25519365252881
"ZFP30",120.348924030091,126.794875346031,119.480197437646,0.942310934188603,-0.0857249106391836,1,1,85.5,126,65.25,116,50,225,5.81906507674102,7.83191934568519
"ZNF549",76.5518333505227,79.5885756163934,76.1425688942059,0.956702244065822,-0.0638581125488179,1,1,54.5,57,37.25,66,25,128,4.57847670951724,6.51544919376782
"ZNF211",162.154340139935,172.91033426524,160.704745244342,0.929410876031415,-0.105611567421144,0.374794934265215,0.519355586548548,126,165,78.75,157.75,102,243.5,8.26655370780845,8.37064972081853
"ZNF205",513.345934190607,377.293014840889,531.68190714879,1.4092015654544,0.494877982608048,0.000688985244726599,0.00338501446322199,236.5,513,180.5,283,358.5,724,11.6832844138058,15.3276062873631
"ZNF45",233.646041909903,254.98946118223,230.769570309858,0.905016110234209,-0.143984620980876,0.383915129302491,0.524787213038485,164,239,122.5,231,160.5,372.5,10.0444973259299,12.1006963481683
"ZNF133",325.465159632074,260.232266242634,334.256654698037,1.28445507363174,0.361156429995678,0.00333448360448088,0.012154730558269,175.5,340,130.25,214.75,236,474.5,9.17591167688752,12.0027735099048
"ZNF436",289.744913583108,236.324208654294,296.944469503434,1.25651312319771,0.329425739004786,0.00914168766099826,0.0281605537903383,144.5,302,124.25,198.75,196,450.5,9.66980108695233,12.1477302908567
"ZNF484",59.1073962729081,82.1688990144119,55.9993770355086,0.68151548465663,-0.553181658130481,0.00267825525415189,0.00997723660612626,54,58,48.25,72.25,38,82.5,3.24486910524971,2.47969888615217
"ZNF780B",233.260402957923,247.03535998926,231.403939746153,0.936723956263642,-0.0943041330259102,0.546270089195174,0.675859708894759,160.5,233,119.5,234.5,137.5,377.5,11.373236037258,12.921898350894
"ZNF557",180.560611108414,178.724076788053,180.808122472344,1.01166068792602,0.0167254897054683,0.942241245660177,1,102,188,88,159.75,134.5,252,7.07152958080816,5.37276091356831
