"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor"
"ZNF195",740.824873061114,534.403789351638,761.837797750103,1.42558457280851,0.51155362970179,7.62461227674333e-06,3.80109347325881e-05,672,710,565.5,874.5,531,1001,36.2582206139725,19.8014770177805
"ZNF263",1563.52060923458,1371.46394787439,1583.07128733711,1.15429303831915,0.207009524903673,0.10713516504146,0.16359829256331,1671,1465,1333,2064.5,1151,1966,108.983651638631,34.8430280335593
"ZNF200",583.810966192992,398.239715222764,602.701452818704,1.51341372992287,0.597806438654182,1.81666999720677e-06,1.00959201484114e-05,493,566,389.5,616.5,423,772,27.4940558393537,14.1842670514597
"ZNF582",55.793652124958,105.012846209451,50.7833150025845,0.48359145414739,-1.04813934485805,8.3847542713392e-06,4.1194662289623e-05,138,40,101.5,180.5,16,77,7.5544538627334,2.66433942038056
"ZNF285",56.0143851732682,51.4090209440372,56.4831947055851,1.09870201121067,0.135800153127191,0.406395659153743,0.508369477686785,65,33,42,93,13,86,6.14002318071734,4.19701772939848
"ZNF275",1483.3729366677,1214.72075004613,1510.72076404834,1.24367741638641,0.314612329415052,0.0174080252103212,0.0341116794583751,1450,1385,1067.5,1889,962,1968,123.273114012002,44.1764897947839
"ZNF37A",837.519843749049,947.181189672677,826.356712726883,0.872437841604996,-0.19687574729309,0.020345925252852,0.0387487003411057,1181,784,840,1566,545,1113,86.1784210000346,23.9882887191505
"ZNF510",478.820999548835,525.265862925282,474.093079324885,0.902577366601727,-0.147877493492794,0.114958550938366,0.173977449857616,664,455,497.5,901,318,639,45.1584691463311,13.1448859714749
"ZNF506",580.142830875763,755.180262786723,562.324649184228,0.744623074640709,-0.425417771265867,0.00120132993326805,0.00348077647331512,994,522,693.5,1188,302,819,53.6215558289706,22.8224086072465
"ZNF324",456.116502262865,429.397483852375,458.83640234058,1.06855866556108,0.0956661164120079,0.56367436052646,0.658915890408517,515,441,373,654,302,619,41.3755575525399,12.302002889551
"ZNF671",179.339423692922,340.413367222386,162.942674950402,0.478661212043282,-1.06292319181704,2.36022812709162e-15,6.15474873141584e-14,444,130,309,588.5,69,238,27.8358952194501,7.30286028018061
"ZNF416",283.625505578018,218.536226818052,290.251360302087,1.32816130546513,0.409430372936658,0.00139261552365676,0.00390162531007968,296,271,208,375,187,424,15.2051337978353,8.58442886548302
"ZNF586",397.537155234213,362.570127847888,401.096672992102,1.10625956797074,0.145689933029984,0.439170539653065,0.5394159889217,411,372,333,559,238,560,32.845539742389,11.1201716970933
"ZNF446",497.012117399112,410.05840828884,505.863692578002,1.23363814118324,0.302919275784901,0.0634650689954245,0.104440089269169,516,474,372,603.5,332,649,38.2506551345694,11.9572104451646
"ZNF8",245.289059796802,162.985933818144,253.667222321576,1.55637493603965,0.638189652358347,3.01168913771571e-05,0.000125801191203175,188,233,145,266.5,166,342,19.7023397459495,8.26791535931201
"ZNF264",1459.25451020048,1719.70498467377,1432.7415876493,0.83313219442758,-0.263382666386965,0.00258557140413184,0.00654110974627384,2214,1369,1607.5,2906,957,2027,184.534380393187,41.7709314563396
"ZNF213",1046.16592928609,811.323740107804,1070.07202040004,1.31892112544107,0.399358290641419,0.00601440361120444,0.0136837773436128,966,1004,755.5,1278,727,1392,87.1530381392479,24.7551047881213
"ZNF343",676.582879083152,414.58862697702,703.252952650842,1.69626687007461,0.762363163913522,3.4574688788331e-09,2.85873646323029e-08,499,645,388,636.5,451,906,33.0807254222707,18.7753344953853
"ZNF302",940.649704277287,1008.73955778185,933.718401824727,0.925628815308789,-0.111494317892251,0.270587831942658,0.355539825692098,1302,867,1031.5,1742,581,1216,74.2235894981197,31.594569771662
"ZNF268",656.533428068043,729.541165323805,649.101502718654,0.88973937807958,-0.168545290286201,0.153523508462127,0.221465827100685,949,635,692.5,1149.5,392,909,52.17358968106,19.6270627595512
"ZNF184",554.000588983983,407.081743174286,568.95639963527,1.3976465640506,0.482999579055508,3.0429786662715e-05,0.000125801191203175,528,534,402.5,646,390,766,34.6958470037548,16.9177541785131
"ZNF500",501.416823191589,418.927079829522,509.813982695512,1.21695160623891,0.283271798431828,0.0697926282790626,0.11160236314435,528,482,386.5,684.5,363,656,42.6939009822738,12.4120219922098
"ZNF419",368.07425237013,293.112765831218,375.705062377085,1.28177652485264,0.358144752915561,0.00342252236152234,0.00840750058373967,376,359,301.5,453.5,252,509,20.2612544372886,10.7274763289162
"ZNF175",265.343534186551,360.84202887646,255.622130535483,0.708404537385526,-0.497354642195287,0.000161864028383427,0.000537959859039036,468,247,319.5,612.5,149,382,31.1910127633118,8.88925482900196
"ZNF14",371.494351732952,385.154117695058,370.103836635013,0.960924003227297,-0.0575057580637304,0.863995527212419,0.88755904159094,525,353,359,667,224,527,28.3577543171453,13.5491356347885
"ZNF85",149.611167051172,135.853424086278,151.011655855981,1.11157784113028,0.152608980376106,0.204369992325798,0.276021623101377,182,119,126.5,221.5,57,225,11.3462908490967,8.98822142661422
"ZKSCAN1",1745.29895606083,1203.60758407583,1800.44119153236,1.49587059383212,0.580985374616083,1.3605220624826e-07,9.41259141186945e-07,1345,1672,972.5,2382.5,1123,2430,126.949294354786,61.6331950198565
"ZNF862",757.241658146824,849.473961038739,747.85274108597,0.880371589226224,-0.183815506613592,0.0423873545009789,0.07406862461769,1088,657,791,1473.5,409,1052,78.0633419204416,23.868580910658
"ZNF684",107.898559953505,115.249291292179,107.150281913042,0.929726167611695,-0.105122233291398,0.502613454491596,0.597845477447898,152,98,105,187.5,69,138,8.50377033778009,3.41340194635193
"ZNF430",301.036399875127,262.972520391779,304.911166050078,1.15947919423603,0.213476932410129,0.0648275833755305,0.105785331212566,338,289,257,431,180,441,20.5550492575614,11.7970890191378
"ZFP30",443.427899312312,310.758337591925,456.933184038339,1.47038109284252,0.556190120707411,4.03488294092132e-05,0.000160920625526156,379,401,281.5,526,252,681,30.2755412300172,18.8625077327311
"ZNF549",328.531443985692,362.343287204144,325.08951982573,0.897186539135675,-0.156520119656991,0.608664089253337,0.697084886002977,469,300,330.5,605,160,488,30.6432983529594,14.886605473439
"ZNF211",455.238814235923,495.506141585942,451.139744984724,0.910462468821846,-0.135328547383869,0.301748463945457,0.390430264417977,650,428,458,813,279,615,37.6536846701966,14.7087135642828
"ZNF205",588.532109929247,429.641544083645,604.706598668021,1.40746770649882,0.493101820914044,0.00236256726157669,0.00606750228541287,520,557,375.5,735,417,739,49.0069803343537,13.6375831247099
"ZNF45",567.725444855322,564.203543124514,568.083961797979,1.00687769284818,0.00988844735867898,0.835766937224462,0.873867652136556,724,549,516.5,913.5,384,797,41.5159446030804,16.5972836377552
"ZNF133",843.172363926705,515.609318508501,876.517105077061,1.6999636616587,0.765503907712921,2.07810504603207e-09,1.8063528477048e-08,711,783,484,828.5,596,1141,42.3789190482735,20.6970041851258
"ZNF436",1667.30993862408,868.910515682784,1748.58413137859,2.01238689119162,1.00890769696501,1.38012136311282e-14,2.66305242277889e-13,1100,1622,757.5,1501.5,1080,2368,84.4364058680216,52.1281907640537
"ZNF484",223.019686885959,186.209241449003,226.766857978344,1.21780667926972,0.284285130785362,0.160288452124403,0.230244852839715,233,206,165,316.5,145,302,16.4082194498143,6.93937509531221
"ZNF780B",616.152231484296,517.230393013121,626.222119232859,1.21072181312627,0.27586741587672,0.0977280411797719,0.150590027090649,641,550,480.5,870.5,359,821,45.2167380793605,25.5906428413174
"ZNF557",399.370610054401,342.250556045011,405.185226330806,1.18388478608496,0.243528686852269,0.0712467462289189,0.113392708786871,456,385,319.5,590,261,553,29.4555676435829,12.8556250668793
"ZNF337",1186.51494399334,907.860897765571,1214.88092474707,1.3381795908791,0.420271746385899,0.00217576119478574,0.00571769802350672,1149,1133,849.5,1464,775,1616,73.3573177722715,32.3568055414799
"ZNF317",1713.90676391918,1512.18820339582,1734.44098864312,1.14697428848354,0.197833051080806,0.0807191482971173,0.126100420611626,1877,1657,1503.5,2354.5,1219,2189,117.744416840204,43.3833138025942
"ZNF426",278.23892617103,330.918312752924,272.876353884251,0.824603363936497,-0.278227748232566,0.0628717690226032,0.103968437554451,406,264,308.5,501,154,383,34.6094152839596,10.5210579140521
"ZNF331",1148.93438022799,3106.85442862123,949.625153744845,0.305654859460626,-1.71002459088287,6.32500252994978e-19,4.28835171530595e-17,2776,758,1977,5318,498,1296,427.387420674754,59.1522584333197
