"tumor.median","tumor.mean","Gene.Id","healthy.median","healthy.mean","log2median","log2mean","tumor.name"
419.12715,437.963132210243,"ZNF195",242.236,257.006166666667,0.790974690976434,0.769006452493738,"UCEC"
585.40365,600.256414959569,"ZNF263",740.9772,762.954308333333,-0.339997410232921,-0.346017743126494,"UCEC"
237.2726,247.867604312668,"ZNF200",168.5668,176.759525,0.493225090295062,0.487781767739394,"UCEC"
27.26975,31.2670384097035,"ZNF582",71.2042,74.6292333333333,-1.38466086731367,-1.2550982906348,"UCEC"
32.11595,53.049065902965,"ZNF285",107.5269,124.830691666667,-1.74333574635896,-1.23457343472338,"UCEC"
738.30895,788.116492048518,"ZNF275",923.6641,1507.99460833333,-0.323143648647242,-0.936150474104126,"UCEC"
339.91385,357.390382884097,"ZNF37A",583.229,573.125675,-0.778893310253495,-0.68135071482098,"UCEC"
200.0173,209.483414285714,"ZNF510",330.6189,366.322491666667,-0.725044411669925,-0.806278259140726,"UCEC"
151.63835,257.459522506739,"ZNF506",503.5184,488.493625,-1.73140983586943,-0.923994103428161,"UCEC"
237.16235,268.469736253369,"ZNF324",266.0465,263.126525,-0.165803426811562,0.0290027772968726,"UCEC"
85.27215,100.834202830189,"ZNF671",147.6846,174.184658333333,-0.792372857655808,-0.788632479114363,"UCEC"
102.4882,107.925216442049,"ZNF416",135.101,141.483341666667,-0.398580539042045,-0.39060021317786,"UCEC"
181.8792,193.892668733154,"ZNF586",163.0725,165.972083333333,0.15746705217681,0.224317655537888,"UCEC"
393.39645,418.693234636119,"ZNF446",409.6091,408.480866666667,-0.0582638282143359,0.0356251029898338,"UCEC"
111.45195,122.841748382749,"ZNF8",102.4023,106.225958333333,0.122173739428618,0.209664591972413,"UCEC"
794.8258,815.948374123989,"ZNF264",1358.5859,1362.08823333333,-0.773395178196297,-0.739270381829362,"UCEC"
1026.4107,1242.22095498652,"ZNF213",768.4606,752.887641666667,0.417564917222686,0.722415326597044,"UCEC"
251.3718,274.288796765499,"ZNF343",307.0098,298.386166666667,-0.288461897390365,-0.121484956081638,"UCEC"
293.1937,344.413177088949,"ZNF302",729.572,712.5671,-1.31519625796096,-1.04888553356968,"UCEC"
286.0609,297.685964150943,"ZNF268",427.4809,418.43585,-0.579537643760902,-0.491215261208835,"UCEC"
210.4818,226.125332345013,"ZNF184",195.6107,194.81,0.105710202754736,0.215054887392162,"UCEC"
276.81025,284.623602021563,"ZNF500",404.6243,420.506241666667,-0.547685599091088,-0.563071914548152,"UCEC"
174.8415,185.835636657682,"ZNF419",175.814,172.177333333333,-0.00800229583993291,0.110131957337316,"UCEC"
99.3158,99.4017797843666,"ZNF175",213.8728,216.518308333333,-1.10665785723475,-1.12314543285123,"UCEC"
198.555,213.816400539084,"ZNF14",283.3969,270.838541666667,-0.513285285922704,-0.341060538622971,"UCEC"
131.605,139.93054097035,"ZNF85",94.697,103.298983333333,0.474823674707287,0.437884821415864,"UCEC"
557.1335,626.984608894879,"ZKSCAN1",899.9218,917.751983333333,-0.691776575104024,-0.549674298659982,"UCEC"
480.45365,607.302935983828,"ZNF862",954.9437,909.917625,-0.991018420603813,-0.583319599930063,"UCEC"
43.6807,47.7234808625337,"ZNF684",68.4039,63.549225,-0.647082605508586,-0.413175256898947,"UCEC"
77.32995,85.1157039083558,"ZNF430",115.1832,124.644483333333,-0.574831123067871,-0.55032179184545,"UCEC"
211.15325,218.706802291105,"ZFP30",280.3904,286.849166666667,-0.409146502446547,-0.391294234522427,"UCEC"
183.94635,192.71185296496,"ZNF549",228.4363,238.830283333333,-0.312506872886478,-0.309540470852591,"UCEC"
238.97395,264.874793126685,"ZNF211",304.1302,309.215475,-0.347835720575598,-0.223301966376612,"UCEC"
602.46585,733.053224932615,"ZNF205",414.4839,426.425841666667,0.539563402848534,0.7816230832431,"UCEC"
199.9079,212.172837196765,"ZNF45",261.079,275.602033333333,-0.385150932612992,-0.377346560693076,"UCEC"
482.937,545.505395687332,"ZNF133",354.9648,348.781491666667,0.444159031973902,0.645269982036691,"UCEC"
537.95785,587.867536792453,"ZNF436",641.3267,655.110891666667,-0.253566331985994,-0.156248022990694,"UCEC"
57.9111,63.4876571428571,"ZNF484",94.4123,86.9031666666667,-0.705134925066559,-0.452932608633693,"UCEC"
270.67535,301.16521361186,"ZNF780B",475.9152,498.148908333333,-0.814141023244814,-0.726021922271723,"UCEC"
196.7076,203.960111051213,"ZNF557",263.2558,265.856758333333,-0.420412618077737,-0.38236211298519,"UCEC"
442.7859,517.387670889488,"ZNF337",771.4821,763.42185,-0.801023401726967,-0.561234803042032,"UCEC"
744.5455,794.593225876011,"ZNF317",717.2775,728.418966666667,0.0538286400542746,0.125448006226992,"UCEC"
86.63275,97.9376281671159,"ZNF426",166.0305,184.9824,-0.938463871837343,-0.917452850527545,"UCEC"
377.0742,433.873837196766,"ZNF331",690.3283,1238.62661666667,-0.872434186330342,-1.51339385468641,"UCEC"
229.4977,239.847605390836,"ZNF227",298.9494,295.272408333333,-0.381421620185844,-0.299928514522117,"UCEC"
97.1882,124.500969811321,"ZNF141",112.6408,109.869591666667,-0.212876419143878,0.180364829919907,"UCEC"
240.56415,253.560426010782,"ZNF304",348.249,365.931675,-0.533697548782862,-0.52924470358144,"UCEC"
42.9219,53.0845911051213,"ZNF132",195.8115,197.52195,-2.18967965123653,-1.89564792942425,"UCEC"
180.1338,190.923483557951,"ZNF20",138.6047,181.078933333333,0.378092732284762,0.0763758515560469,"UCEC"
69.9906,76.5766730458221,"ZNF670",67.1931,75.4467083333333,0.0588480841819451,0.0214470234043068,"UCEC"
57.1429,63.516095148248,"ZFP37",94.2408,99.8264916666667,-0.721777531252524,-0.652300503633448,"UCEC"
365.2133,383.276965768194,"ZNF189",539.267,525.422166666667,-0.562260447002811,-0.455089769144343,"UCEC"
314.21905,315.170199595687,"ZNF434",282.2736,288.914216666667,0.154676443633476,0.125489932898099,"UCEC"
97.81635,101.287492048518,"ZNF287",184.9462,181.982583333333,-0.918958121530657,-0.845344356404718,"UCEC"
189.28925,197.451560781671,"ZFP14",312.0229,327.700683333333,-0.721059434610018,-0.730879909428899,"UCEC"
267.63535,297.24455916442,"ZNF473",249.0272,267.437616666667,0.103965354333983,0.152447999568698,"UCEC"
222.15255,233.508771293801,"ZNF614",377.6493,363.453475,-0.765496411186957,-0.638293956338073,"UCEC"
1457.52565,1569.28032412399,"POGK",1157.1661,1208.08794166667,0.332925308428609,0.377377609069293,"UCEC"
172.89765,192.127840296496,"ZNF514",297.9798,322.666508333333,-0.785296273740692,-0.747977250879635,"UCEC"
66.5335,158.651732345013,"ZNF300",176.575,179.243266666667,-1.40812826258685,-0.176055650250839,"UCEC"
418.34455,433.443691509434,"RBAK",454.8837,454.059725,-0.120806098537408,-0.0670374899929936,"UCEC"
213.13745,218.087855929919,"ZNF92",136.1868,138.57175,0.646197232848724,0.65427626505277,"UCEC"
2.0724,3.84395687331536,"ZNF157",5.3763,8.00630833333333,-1.37531115470559,-1.05854502674857,"UCEC"
180.4955,190.142609433962,"ZNF182",178.2512,183.40205,0.0180510801682442,0.0520720996727432,"UCEC"
197.63005,213.832914959569,"ZNF673",282.7957,284.072366666667,-0.516957855725642,-0.409774557309634,"UCEC"
174.7129,185.465905660377,"ZNF41",206.4516,202.219066666667,-0.24081746526589,-0.12476503182448,"UCEC"
351.41305,382.252721428571,"ZNF7",373.8387,372.198425,-0.0892481574888629,0.0384548223340104,"UCEC"
29.19285,36.8757101078167,"ZNF214",123.0916,124.7398,-2.07604534468055,-1.75817911448702,"UCEC"
15.7541,32.3398916442049,"ZNF215",30.303,26.4916333333333,-0.943733289272661,0.287778049666488,"UCEC"
54.21895,65.0556691374663,"ZNF547",51.6694,53.1498333333333,0.0694870434569328,0.291609615225896,"UCEC"
112.78785,118.058411994609,"ZNF773",138.3894,133.988158333333,-0.295121780619874,-0.182604661838627,"UCEC"
331.2622,357.474480862534,"ZNF776",361.2565,402.912575,-0.125049957591165,-0.172626577588783,"UCEC"
95.8262,105.006729380054,"ZNF256",129.8429,122.496075,-0.438275062847375,-0.222253737067719,"UCEC"
96.32455,106.688997439353,"ZNF599",141.3613,161.884041666667,-0.553411766344355,-0.601549371093462,"UCEC"
180.0329,190.705677358491,"ZNF18",173.0233,172.318358333333,0.0572942451041882,0.14627138311212,"UCEC"
181.9842,201.779364150943,"ZKSCAN2",298.1366,303.1019,-0.712160295045298,-0.58702425724069,"UCEC"
117.1021,133.219811320755,"ZNF689",202.7687,225.629658333333,-0.792068022664908,-0.760148074345852,"UCEC"
72.3691,77.1930196765499,"ZNF19",107.4512,127.97425,-0.570235859552314,-0.729311251260221,"UCEC"
95.21695,101.224675067385,"ZNF230",128.131,134.52495,-0.42832924121138,-0.410312758623736,"UCEC"
41.4865,44.9927843665768,"ZNF222",50.6326,51.4635666666667,-0.287424619321446,-0.193857795591709,"UCEC"
16.83845,18.7087553908356,"ZNF221",26.6193,29.6844916666667,-0.660713290950101,-0.66599582205284,"UCEC"
23.1301,28.5899822102426,"ZNF233",27.9383,43.9242083333333,-0.272472734483968,-0.61950656182626,"UCEC"
66.73485,71.8138637466307,"ZNF235",110.7655,110.389475,-0.730996335221268,-0.620268336081044,"UCEC"
5.66335,18.7190526954178,"ZNF208",154.3922,150.734841666667,-4.76880036587701,-3.0094335955937,"UCEC"
177.97805,220.843793396226,"ZNF714",107.0039,133.4592,0.734035944970085,0.726627526399367,"UCEC"
400.0748,432.813285714286,"ZNF394",416.129,445.226833333333,-0.0567610744485608,-0.0407957598789634,"UCEC"
188.4748,208.026360107817,"ZNF333",358.0923,372.74905,-0.925959855932146,-0.841438324233231,"UCEC"
40.4382,46.1596032345013,"ZNF382",67.8387,70.3382333333333,-0.746389742753273,-0.607678276299499,"UCEC"
158.98115,203.793323854447,"ZNF577",213.448,247.137216666667,-0.425028925766006,-0.278205493603664,"UCEC"
206.7268,241.833311590296,"ZNF75A",246.5116,246.335625,-0.253930105099463,-0.0266123012825108,"UCEC"
394.7713,428.532150673854,"ZNF496",535.6696,597.4013,-0.440326314201714,-0.479296930329274,"UCEC"
144.6795,149.601916981132,"ZNF2",158.0645,158.289233333333,-0.127652869230497,-0.0814344663512976,"UCEC"
509.3126,600.772622641509,"ZNF589",356.6992,374.121191666667,0.513843428684976,0.683313382364207,"UCEC"
568.92675,586.870924932615,"ZNF12",813.2296,827.93975,-0.515419811699598,-0.49648255005899,"UCEC"
251.86605,279.629655929919,"ZNF202",291.6667,304.489066666667,-0.211664012375891,-0.122873053147487,"UCEC"
971.0408,1039.48488760108,"ZNF3",942.5907,946.254733333333,0.0429004671249783,0.135568267093513,"UCEC"
291.1377,311.565370080863,"ZNF606",353.1509,321.610791666667,-0.278583104185631,-0.0457809276313511,"UCEC"
385.91625,410.502455929919,"ZNF91",468.8716,483.553541666667,-0.280905102733142,-0.236284788254136,"UCEC"
275.54765,289.547895283019,"ZNF226",371.3355,366.432775,-0.430421421458284,-0.339746538833437,"UCEC"
5.843,28.8129805929919,"ZNF229",195.8115,208.459525,-5.06661239733209,-2.85497647910869,"UCEC"
139.5461,146.640072506739,"ZNF180",188.1313,185.648125,-0.430998089689666,-0.340291340067646,"UCEC"
91.17405,101.004697708895,"ZNF641",189.3939,232.345358333333,-1.05469469782133,-1.20184842977141,"UCEC"
136.5676,145.40638328841,"ZNF610",135.7587,131.5027,0.00857059674870095,0.14499818335705,"UCEC"
323.54475,380.228110107817,"ZNF528",367.4746,357.4357,-0.183679266189478,0.0891814585592848,"UCEC"
127.9061,136.54432884097,"ZNF701",115.3488,120.1382,0.149082074358092,0.184674441617074,"UCEC"
49.94495,52.5792001347709,"ZNF283",56.294,60.412525,-0.17264235072171,-0.200355491660514,"UCEC"
355.50505,406.382263207547,"ZNF558",421.9895,417.976025,-0.247337048365966,-0.0405827558414292,"UCEC"
43.06255,44.818842722372,"ZNF597",48.4754,49.5296666666667,-0.170819050001606,-0.144187514536557,"UCEC"
88.1507,96.2466894878706,"ZNF30",100.1927,99.623425,-0.184733467111432,-0.0497480925011866,"UCEC"
252.16,277.410478975741,"ZNF354A",213.9785,219.030266666667,0.236873594222691,0.340892043215663,"UCEC"
227.0503,246.616806199461,"ZNF764",237.5954,243.687158333333,-0.0654949619171609,0.0172408915893876,"UCEC"
278.88055,284.106407681941,"ZNF747",353.952,347.538925,-0.343906407558488,-0.290743201224453,"UCEC"
61.4102,73.1681714285714,"ZNF778",80.6189,87.893425,-0.392639796910808,-0.264539042022192,"UCEC"
428.63875,434.621236792453,"ZNF212",347.907,367.643758333333,0.301060572364402,0.241450178501295,"UCEC"
1293.81695,1378.72540498652,"ZNF282",1069.2103,1102.721125,0.2750878777634,0.322267166250118,"UCEC"
634.8692,687.581010512129,"ZNF160",722.5131,782.628008333333,-0.186564356768477,-0.186797040397386,"UCEC"
207.4444,212.613206469003,"ZNF415",273.2919,266.232075,-0.397717989061699,-0.324453181496556,"UCEC"
111.8837,140.618671698113,"ZNF439",117.6471,125.481458333333,-0.0724658888616544,0.164313970523903,"UCEC"
447.35795,524.365088274933,"ZNF440",341.6771,539.910566666667,0.388796096543962,-0.0421488167499433,"UCEC"
563.8777,588.46871671159,"ZNF562",475.2688,480.094791666667,0.246638592918797,0.29364643799019,"UCEC"
764.44705,786.157268059299,"ZNF561",957.0681,934.239791666667,-0.324205007367537,-0.248974946986204,"UCEC"
236.02845,251.057133018868,"ZNF584",247.0817,267.411641666667,-0.0660273948200935,-0.0910465586467458,"UCEC"
299.8375,341.144950673854,"ZNF274",480.0625,477.263925,-0.679041415336244,-0.484402428405379,"UCEC"
8.82955,26.2522613207547,"ZIK1",120.4188,128.4435,-3.76957692313485,-2.29062027889285,"UCEC"
30.2556,43.4370514824798,"ZNF540",114.6452,117.2352,-1.92190185277893,-1.4324077245122,"UCEC"
48.33495,52.385996361186,"ZNF570",73.93,76.7143083333333,-0.6130931640763,-0.550314479239652,"UCEC"
115.0904,117.144750404313,"ZNF57",101.1673,92.9909833333333,0.186024451982463,0.333129563949073,"UCEC"
11.6832,17.5377509433962,"ZNF556",11.6732,32.2567083333333,0.00123537456889157,-0.879135477644864,"UCEC"
130.0084,134.110491644205,"ZNF554",174.2671,182.731416666667,-0.422695387291374,-0.44630258948704,"UCEC"
340.334,381.728627762803,"ZNF738",224.3941,227.668533333333,0.600916542795774,0.745612479039715,"UCEC"
73.85185,82.1949443396226,"ZNF596",93.1937,101.525416666667,-0.335598369180591,-0.304719383964398,"UCEC"
535.5849,562.400433692722,"ZNF621",668.491,665.323375,-0.31979285057035,-0.242458014296644,"UCEC"
214.898,220.493638814016,"ZNF680",142.6783,183.587458333333,0.590886124610139,0.264269529719338,"UCEC"
11.9539,15.7231293800539,"ZNF483",79.7665,90.16295,-2.73830159752921,-2.51964633287222,"UCEC"
314.4986,336.060119407008,"ZNF417",388.8889,387.126741666667,-0.306304461804125,-0.204086621808358,"UCEC"
