"meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","Gene.ID"
296.317216,337.153265151515,272.7821,342.11515,251.1451,296.9994,279.584925,408.9873,17.0817375154917,12.5742708326683,1.13781193581245,1.25417008667358,0.186262120305189,0.326733015253732,"ZNF195"
608.021372,833.767724242424,593.6516,807.1615,551.0051,633.2411,718.43315,957.0315,21.3802526443987,26.7314233497657,1.37128029151321,1.35965522538809,0.45552349004193,0.443240866415178,"ZNF263"
165.298992,186.685746969697,164.6041,187.7146,138.803,187.4734,161.873075,204.838225,6.50296712468731,4.55360938435315,1.12938224674532,1.14040051250242,0.175533858254232,0.189540592743938,"ZNF200"
79.550696,68.1647272727273,77.7958,70.54035,62.7183,87.9933,49.33135,86.53035,3.9330020562605,3.14617335293387,0.856871538530942,0.906737253167909,-0.22284916198013,-0.141243535828511,"ZNF582"
62.079148,77.4462848484849,66.1556,82.64695,45.4084,76.555,60.518475,94.622175,3.6822757540101,4.2646223540932,1.24754103984296,1.24928123998573,0.31908727608681,0.321098295087185,"ZNF285"
607.836272,1489.31069393939,598.8024,1465.2194,520.385,715.3299,1078.110075,1897.49395,35.1141647352596,80.2909129899304,2.45018397641692,2.44691637842467,1.29289008061529,1.29096479921321,"ZNF275"
406.473064,342.968828787879,397.4535,296.2034,351.4529,481.4559,231.5742,429.77615,24.6945919368856,20.1848292053986,0.84376766670049,0.745252966699249,-0.245082290554333,-0.424197881586349,"ZNF37A"
283.01588,246.095028787879,285.3117,241.12435,223.3305,354.1113,179.49475,292.59255,13.9070949130507,11.3940313150551,0.869544948459708,0.845126049860556,-0.201667489731744,-0.242761560656383,"ZNF510"
413.19172,506.581503030303,403.7541,495.4617,371.6449,475.9432,420.98605,604.6133,14.8250080912142,14.676724244936,1.22602046098674,1.2271372600303,0.293983056286261,0.29529662902504,"ZNF506"
177.905168,241.344631818182,178.7207,231.2536,161.1979,194.757,206.950575,278.121975,8.56055006144411,8.42544378542559,1.3565914612339,1.29393853090325,0.439986317225696,0.371769083120654,"ZNF324"
149.980968,200.149293939394,157.9696,211.06,93.898,189.8109,151.1863,258.38185,13.6425255802713,9.31205583645914,1.33449794736219,1.33607985333887,0.416297086422052,0.418006235785936,"ZNF671"
104.161284,127.256225757576,104.4859,125.75315,88.7226,126.4442,110.777475,150.483925,4.91590001886626,4.00445231242621,1.22172289809307,1.2035418176041,0.288917101130198,0.267286269774142,"ZNF416"
156.867164,140.723159090909,151.8281,133.48335,136.7146,159.7181,112.15885,161.017275,7.09387333128355,5.68036822442878,0.897084867875275,0.87917421083449,-0.156683618470787,-0.185779027124869,"ZNF586"
255.787344,283.476292424242,253.629,259.4508,223.1714,284.5342,215.7252,327.380875,8.38207368146268,13.8973214681178,1.10824987660157,1.02295399973978,0.14828320186585,0.0327412713399192,"ZNF446"
86.075744,94.7237015151515,81.6309,90.55715,78.5941,90.4097,81.9907,109.79805,3.88404999607832,2.95670447954615,1.10046915789832,1.10934891076786,0.13811871236199,0.149713191168083,"ZNF8"
559.764464,688.060681818182,573.1796,671.2573,475.9641,626.2516,592.916975,787.38495,32.8670531816599,20.0727666410967,1.22919678913055,1.17111163760888,0.297715903485519,0.227878609014094,"ZNF264"
391.015312,487.480309090909,384.5087,463.0603,340.449,441.8673,366.7125,550.838825,21.0940869871854,23.8655382192759,1.24670388634527,1.20429082618937,0.318118840924534,0.268183832990749,"ZNF213"
190.72866,212.768368181818,197.2996,205.67495,159.3493,216.9714,168.9155,250.810525,9.50074619949402,8.96165980841903,1.11555530344427,1.04244990866682,0.157762036690136,0.0599780616035579,"ZNF343"
530.904276,502.412362121212,559.0165,517.4053,416.4152,613.9535,362.19865,617.48445,23.3418771983805,23.3384376627079,0.946333237145018,0.925563556710759,-0.0795797982989492,-0.111596034231638,"ZNF302"
414.730196,399.313266666667,422.5213,401.3839,343.5497,483.2648,313.345275,521.40055,15.7290383619115,18.9759574861515,0.962826605147089,0.949973172950098,-0.054652087491805,-0.0740413222841314,"ZNF268"
204.711076,95.5106015151515,202.6841,81.85065,180.2731,228.9879,67.468,112.1405,6.76024197054681,5.70226472722621,0.466562940224844,0.40383360115569,-1.09985637838655,-1.30816713913654,"ZNF184"
236.383752,282.461831818182,229.3992,287.57575,189.4718,278.0159,228.975525,324.33525,11.445533745089,9.53994135786933,1.19492913293881,1.25360397943846,0.256925059553788,0.326081664619226,"ZNF500"
147.718288,223.464954545455,143.5443,216.15015,127.9752,170.2388,191.60185,252.312875,6.00265187609699,9.06286200742142,1.51277785283739,1.50580796311661,0.597200147409065,0.590537793698537,"ZNF419"
169.150912,211.731286363636,168.011,216.20775,144.6448,190.2078,176.407175,247.431375,7.77131405243309,7.61701451995143,1.25173009036828,1.28686663373232,0.323923508542989,0.363862545537755,"ZNF175"
259.247472,226.468063636364,243.032,236.73995,209.3825,291.6097,172.383625,266.6361,19.1675246810593,7.48585811054207,0.873559390528459,0.974110199479904,-0.195022304157258,-0.0378431036372251,"ZNF14"
78.413804,144.043736363636,76.5462,146.62775,65.382,86.2517,91.28895,176.279025,4.8404974259005,7.53609032001136,1.8369691178818,1.91554577496989,0.877327372854662,0.937755501633884,"ZNF85"
709.103788,1240.14171969697,704.8215,1141.4611,523.7122,851.7693,712.251675,1518.4494,45.3088421093272,86.053132145595,1.74888604557415,1.61950380344527,0.806436288778716,0.695551856342538,"ZKSCAN1"
507.269108,623.519787878788,484.6777,621.35535,383.6234,595.7091,440.4572,775.177225,34.2148684778172,27.4204700666108,1.22916964200152,1.28199698480041,0.297684040840524,0.358392868806417,"ZNF862"
152.578052,187.646646969697,139.4857,166.08415,118.103,167.4831,133.00275,207.4926,11.3731723218958,12.2358867558404,1.22984036373526,1.19068943984939,0.298471062398652,0.251797173055662,"ZNF684"
116.122476,130.674281818182,98.6263,124.5284,79.6826,118.4936,99.241275,163.79335,14.0062943301625,6.43652539503584,1.12531429159487,1.26262873087604,0.170327991309059,0.336430484837643,"ZNF430"
176.77558,185.417237878788,170.8196,175.40395,148.773,197.8246,146.691725,226.322925,9.57030303945143,7.46694108026181,1.04888490751261,1.02683737697548,0.0688563819472998,0.0382077162146513,"ZFP30"
177.205324,220.365795454545,169.6283,235.51255,153.6416,208.1247,172.384925,265.893925,9.23611414840007,8.07639425078477,1.24356193414677,1.38840364491067,0.31447836108223,0.473427057723478,"ZNF549"
206.491584,248.953056060606,206.4402,250.33035,168.2725,238.6861,193.99025,291.6243,9.0964419652149,9.82790480970608,1.20563294269952,1.21260466711425,0.269790742768289,0.27810928025607,"ZNF211"
239.366032,428.129075757576,251.5736,360.696,216.9704,285.9039,292.374825,497.750475,12.5812207289194,28.6242547776144,1.78859578437418,1.43375934517771,0.838827380810853,0.519802889691915,"ZNF205"
253.702384,245.062021212121,261.7174,252.2006,231.7853,269.5365,176.0452,296.88675,8.11625847850818,11.1843976046105,0.965942918424137,0.963637113925173,-0.0499901581447562,-0.0534381356772386,"ZNF45"
261.36314,249.263978787879,248.981,220.38255,227.3541,293.1167,173.963625,291.34985,10.5852709403869,15.0327335145598,0.953707469185895,0.885138022580036,-0.0683812788382108,-0.176025657809397,"ZNF133"
380.569124,283.884522727273,369.4057,265.93825,342.3318,428.8543,218.4912,340.416125,18.4602362808256,11.4791602123243,0.745947332099576,0.719908355501824,-0.422854322853394,-0.474114832052121,"ZNF436"
96.10752,70.0666696969697,93.5804,67.0731,72.5608,107.7524,55.1536,84.78665,6.43173421160265,2.83448751265441,0.729044612710532,0.716743035934875,-0.455920994235117,-0.480472112960495,"ZNF484"
342.979392,434.955668181818,331.7095,445.49685,269.9896,394.1994,319.3353,550.21935,18.6582960737084,19.2136106378906,1.2681685206959,1.34303313592164,0.342746470885653,0.425494900029756,"ZNF780B"
165.599876,175.541271212121,157.9227,167.9022,120.3607,188.9791,145.382125,209.525225,12.4710044448476,5.36659425997808,1.06003262473531,1.06319230864214,0.0841086674484061,0.0884025730036445,"ZNF557"
