"tumor.name" "tumor" "normal"
"ACC" "158" "0"
"BLCA" "816" "38"
"BRCA" "2186" "224"
"CESC" "608" "6"
"CHOL" "72" "18"
"COAD" "570" "82"
"COADREAD" "758" "102"
"DLBC" "30" "0"
"ESCA" "368" "22"
"GBM" "306" "0"
"GBMLGG" "1338" "0"
"HNSC" "1040" "88"
"KICH" "132" "50"
"KIPAN" "1778" "258"
"KIRC" "1066" "144"
"KIRP" "580" "64"
"LAML" "0" "0"
"LGG" "1032" "0"
"LIHC" "742" "100"
"LUAD" "1030" "118"
"LUSC" "1002" "102"
"MESO" "174" "0"
"OV" "606" "0"
"PAAD" "356" "8"
"PCPG" "358" "6"
"PRAD" "994" "104"
"READ" "188" "20"
"SARC" "518" "4"
"SKCM" "206" "2"
"STAD" "74" "8"
"STES" "442" "30"
"TGCT" "300" "0"
"THCA" "1002" "118"
"THYM" "240" "4"
"UCEC" "352" "48"
"UCS" "114" "0"
"UVM" "160" "0"
