"x","freq"
"A3I8",2
"A3QL",1
"A3Y9",1
"A3YA",1
"A3YB",1
"A3YC",1
"A43C",2
"A43E",1
"A43H",1
"A43I",1
"A43J",1
"A43M",1
"A49K",1
"A49L",1
"A49M",1
"A49N",1
"A49O",1
"A49P",1
"A49R",1
"A49S",1
"A49U",1
"A49V",1
"A49W",1
"A49X",1
"A49Y",1
"A4A1",1
"A4A2",1
"A4A3",1
"A4A4",1
"A4A5",1
"A4A6",1
"A4A8",1
"A4A9",1
"A4MQ",1
"A4MR",1
"A4OE",1
"A4OF",2
"A4OG",2
"A4OH",1
"A4OI",1
"A4OJ",2
"A4OM",2
"A4ON",1
"A4OO",2
"A4OP",1
"A4OQ",2
"A4OR",2
"A4OS",1
"A4OT",1
"A4OU",1
"A4OW",1
"A4OX",1
"A4P3",1
"A4QS",1
"A4QT",1
"A50L",1
"A51D",1
"A56G",1
"A5B8",1
"A5M8",1
"A5S3",1
"A5U5",1
"A5U6",1
"A5U7",1
"A625",1
"A6BV",1
"A6BW",1
"A6DN",1
"A6DQ",1
"A6F8",1
"A6FA",1
"A6FB",1
"A6FD",1
"A6FE",1
"A6FG",1
"A6FH",1
"A6FU",1
"A6FW",1
"A6KZ",1
"A6L4",1
"A6L6",1
"A6QS",1
"A6RE",2
"A6RF",2
"A6VZ",1
"A6WC",1
"A6XG",1
"A6XQ",1
"A6Y0",1
"A6Y2",1
"A7BO",1
"A7DP",1
"A7HV",1
"A7HW",1
"A7HX",1
"A7HY",1
"A7HZ",1
"A7RB",1
"A7RC",2
"A7RE",1
"A88S",1
"A88T",1
"A88V",1
"A88W",1
"A88Y",1
"A88Z",1
"A891",1
"A893",1
"A8EO",1
"A8EP",1
"A8EQ",1
"A8ER",1
"A8ET",1
"A8EU",1
"A8EW",1
"A8EX",1
"A8EY",1
"A8EZ",1
"A8HZ",1
"A8I0",1
"A8I1",1
"A8JD",1
"A8JE",1
"A8NE",1
"A8NF",1
"A8NG",1
"A8NH",1
"A8NI",1
"A8NJ",1
"A8NK",1
"A8NL",1
"A8NM",1
"A8NN",1
"A8NQ",1
"A8NR",1
"A8NS",1
"A8NT",1
"A8NU",1
"A8NV",1
"A8NW",1
"A8O2",1
"A8Q7",1
"A8T6",1
"A8T8",1
"A8W5",1
"A8W8",1
"A8WC",1
"A8WG",1
"A938",1
"A939",1
"A93C",1
"A93D",1
"A93E",1
"A93F",1
"A97H",1
"A97I",1
"A9CJ",1
"A9FO",1
"A9FP",1
"A9FQ",1
"A9FR",1
"A9GF",1
"A9GG",1
"A9GH",1
"A9GI",1
"A9GJ",1
"A9GK",1
"A9GL",1
"A9GM",1
"A9GN",1
"A9GO",1
"A9GQ",1
"A9GR",1
"A9VB",1
"AA4D",1
"AA4G",1
"AA7B",1
"AA7D",1
"AA7I",1
"AAAR",1
"AAPN",1
"AASV",1
"AASW",1
"AASX",1
