"x" "freq"
"0047" 2
"0055" 2
"0125" 4
"0129" 2
"0130" 2
"0132" 2
"0138" 2
"0141" 2
"0152" 2
"0156" 2
"0157" 2
"0158" 2
"0168" 2
"0171" 2
"0174" 2
"0178" 2
"0184" 2
"0187" 2
"0190" 4
"0210" 4
"0211" 4
"0219" 2
"0221" 2
"0238" 2
"0386" 2
"0616" 2
"0618" 2
"0619" 2
"0644" 2
"0645" 2
"0646" 2
"0649" 2
"0686" 2
"0736" 2
"0742" 2
"0743" 2
"0744" 2
"0745" 2
"0747" 2
"0749" 2
"0750" 2
"0781" 2
"0787" 2
"0789" 2
"0790" 2
"0817" 2
"0821" 2
"0846" 2
"0878" 2
"0882" 2
"0957" 2
"1034" 4
"1045" 2
"1389" 2
"1390" 2
"1402" 2
"1442" 2
"1444" 2
"1597" 2
"1747" 2
"1753" 2
"1787" 2
"1804" 2
"1823" 2
"1825" 2
"1829" 2
"1830" 2
"1831" 2
"1832" 2
"1834" 2
"1835" 2
"1837" 2
"1970" 2
"1980" 2
"1982" 2
"2483" 2
"2485" 2
"2486" 2
"2499" 2
"2509" 2
"2510" 2
"2513" 2
"2514" 2
"2519" 2
"2521" 2
"2523" 2
"2524" 2
"2526" 2
"2528" 2
"2554" 2
"2557" 2
"2558" 2
"2559" 2
"2561" 2
"2562" 2
"2563" 2
"2564" 2
"2565" 2
"2567" 2
"2569" 2
"2570" 2
"2571" 2
"2572" 2
"2615" 2
"2616" 2
"2619" 2
"2620" 2
"2624" 2
"2625" 2
"2629" 2
"2632" 2
"2634" 2
"2638" 2
"3650" 2
"3652" 2
"3653" 2
"3915" 2
"4065" 4
"4097" 2
"4213" 2
"4925" 2
"4926" 2
"4927" 2
"4928" 2
"4929" 2
"4931" 2
"4932" 2
"5132" 2
"5133" 2
"5134" 2
"5135" 2
"5136" 2
"5139" 2
"5204" 2
"5207" 2
"5208" 2
"5209" 2
"5213" 2
"5215" 2
"5216" 2
"5218" 2
"5220" 2
"5222" 2
"5295" 2
"5299" 2
"5408" 2
"5410" 2
"5411" 2
"5412" 2
"5413" 2
"5414" 2
"5415" 2
"5416" 2
"5417" 2
"5418" 2
"5651" 2
"5856" 2
"5858" 2
"5859" 2
"5960" 2
