"x","freq"
"0047",1
"0055",1
"0125",2
"0129",1
"0130",1
"0132",1
"0138",1
"0141",1
"0152",1
"0156",1
"0157",1
"0158",1
"0168",1
"0171",1
"0174",1
"0178",1
"0184",1
"0187",1
"0190",2
"0210",2
"0211",2
"0219",1
"0221",1
"0238",1
"0386",1
"0616",1
"0618",1
"0619",1
"0644",1
"0645",1
"0646",1
"0649",1
"0686",1
"0736",1
"0742",1
"0743",1
"0744",1
"0745",1
"0747",1
"0749",1
"0750",1
"0781",1
"0787",1
"0789",1
"0790",1
"0817",1
"0821",1
"0846",1
"0878",1
"0882",1
"0957",1
"1034",2
"1045",1
"1389",1
"1390",1
"1402",1
"1442",1
"1444",1
"1597",1
"1747",1
"1753",1
"1787",1
"1804",1
"1823",1
"1825",1
"1829",1
"1830",1
"1831",1
"1832",1
"1834",1
"1835",1
"1837",1
"1970",1
"1980",1
"1982",1
"2483",1
"2485",1
"2486",1
"2499",1
"2509",1
"2510",1
"2513",1
"2514",1
"2519",1
"2521",1
"2523",1
"2524",1
"2526",1
"2528",1
"2554",1
"2557",1
"2558",1
"2559",1
"2561",1
"2562",1
"2563",1
"2564",1
"2565",1
"2567",1
"2569",1
"2570",1
"2571",1
"2572",1
"2615",1
"2616",1
"2619",1
"2620",1
"2624",1
"2625",1
"2629",1
"2632",1
"2634",1
"2638",1
"3650",1
"3652",1
"3653",1
"3915",1
"4065",2
"4097",1
"4213",1
"4925",1
"4926",1
"4927",1
"4928",1
"4929",1
"4931",1
"4932",1
"4938",1
"4941",1
"4942",1
"4943",1
"4944",1
"5132",1
"5133",1
"5134",1
"5135",1
"5136",1
"5139",1
"5140",1
"5141",1
"5142",1
"5143",1
"5144",1
"5204",1
"5207",1
"5208",1
"5209",1
"5213",1
"5215",1
"5216",1
"5218",1
"5220",1
"5222",1
"5270",1
"5273",1
"5274",1
"5275",1
"5276",1
"5277",1
"5278",1
"5279",1
"5280",1
"5281",1
"5295",1
"5299",1
"5302",1
"5303",1
"5304",1
"5305",1
"5307",1
"5311",1
"5318",1
"5319",1
"5322",1
"5390",1
"5393",1
"5394",1
"5395",1
"5396",1
"5397",1
"5408",1
"5410",1
"5411",1
"5412",1
"5413",1
"5414",1
"5415",1
"5416",1
"5417",1
"5418",1
"5651",1
"5847",1
"5849",1
"5851",1
"5852",1
"5853",1
"5854",1
"5855",1
"5856",1
"5858",1
"5859",1
"5870",2
"5871",1
"5872",2
"5874",1
"5960",1
"5962",1
"5963",2
"5964",1
"5965",2
"6186",1
"6188",1
"6290",1
"6392",1
"6393",1
"6394",1
"6395",1
"6396",1
"6397",2
"6399",1
"6400",1
"6401",1
"6402",1
"6403",1
"6404",2
"6405",1
"6406",1
"6407",2
"6408",1
"6410",1
"6542",1
"6665",1
"6666",1
"6667",1
"6668",1
"6669",1
"6670",1
"6688",1
"6689",1
"6690",1
"6691",1
"6692",1
"7006",1
"7007",1
"7008",1
"7009",1
"7010",1
"7011",1
"7012",1
"7013",1
"7014",1
"7015",1
"7018",1
"7019",1
"7264",1
"7290",1
"7292",1
"7294",1
"7298",1
"7299",1
"7300",1
"7301",1
"7302",1
"7304",2
"7306",1
"7309",1
"7467",1
"7468",1
"7469",1
"7470",1
"7471",1
"7472",1
"7473",1
"7474",1
"7475",1
"7476",1
"7477",1
"7478",1
"7479",1
"7480",1
"7481",1
"7482",1
"7483",1
"7485",1
"7486",1
"7487",1
"7489",1
"7490",1
"7491",1
"7493",1
"7495",1
"7601",1
"7602",1
"7603",1
"7604",1
"7605",1
"7606",1
"7607",1
"7608",1
"7609",1
"7610",1
"7611",1
"7616",1
"7620",1
"7634",1
"7636",1
"7637",1
"7638",1
"7641",1
"7643",1
"7675",1
"7676",1
"7677",1
"7680",1
"7681",1
"7684",1
"7686",1
"7687",1
"7688",1
"7689",1
"7690",1
"7691",1
"7692",1
"7693",1
"7694",1
"7695",1
"7833",1
"7854",1
"7855",1
"7856",1
"7857",1
"7858",1
"7860",1
"7873",1
"7874",1
"7875",1
"7877",1
"7879",1
"7880",1
"7881",1
"7882",1
"7884",1
"7902",1
"8010",1
"8011",1
"8012",1
"8013",1
"8015",1
"8018",1
"8019",1
"8104",1
"8105",1
"8106",1
"8107",1
"8108",1
"8109",1
"8110",1
"8111",1
"8113",1
"8114",1
"8125",1
"8158",1
"8161",1
"8162",1
"8163",1
"8164",1
"8165",1
"8166",1
"8167",1
"8168",1
"8181",1
"8182",1
"8185",1
"8186",1
"8187",1
"8188",1
"8189",1
"8191",1
"8319",1
"8320",1
"8321",1
"8322",1
"8558",1
"8563",1
"8564",1
"A4DS",1
"A4DV",1
"A4MT",2
"A4MU",1
"A4MW",1
"A4MX",1
"A4MY",1
"A4X9",1
"A4XA",1
"A4XB",1
"A4XC",1
"A4XD",1
"A4XE",1
"A4XF",1
"A4XG",1
"A4XH",1
"A5ET",1
"A5EU",1
"A5EV",1
"A5EW",1
"A5EX",1
"A5EY",1
"A5EZ",1
"A5F0",1
"A5F1",1
"A5F2",1
"A5F4",1
"A5F6",1
"A5KJ",1
"A5KK",1
"A5KL",1
"A5KM",1
"A5R5",1
"A5R7",1
"A5R9",1
"A5RA",1
"A5RB",1
"A5RC",1
"A5TP",1
"A5TR",1
"A5TS",1
"A5TT",1
"A5TU",1
"A5TW",1
"A5TY",1
"A60J",1
"A60K",1
"A60L",1
"A614",1
"A615",1
"A616",1
"A617",1
"A618",1
"A619",1
"A61A",1
"A61B",1
"A61C",1
"A64L",1
"A64O",1
"A64P",1
"A64Q",1
"A64R",1
"A64S",1
"A64U",1
"A64V",1
"A64W",1
"A64X",1
"A65R",1
"A65S",1
"A65V",1
"A65X",1
"A65Z",1
"A669",2
"A66B",1
"A66D",1
"A66F",1
"A66G",1
"A6CS",1
"A6CU",1
"A6CV",1
"A6CW",1
"A6CX",1
"A6CY",1
"A6CZ",1
"A6IZ",1
"A6J1",1
"A6J3",1
"A6MK",1
"A6ML",1
"A6MO",1
"A6S2",1
"A6S3",1
"A6S6",1
"A6S7",1
"A6S8",1
"A6TS",1
"A6TU",1
"A6TV",1
"A6TW",1
"A6TX",1
"A6TY",1
"A6TZ",1
"A6U0",1
"A6U1",1
"A6U2",1
"A6U5",1
"A6U6",1
"A6U8",1
"A6U9",1
"A6UA",1
"A6UB",1
"A6WD",1
"A6WE",1
"A6WG",1
"A6WH",1
"A6WI",1
"A6WL",1
"A6WM",1
"A6WN",1
"A6WO",1
"A6WP",1
"A6WQ",1
"A6X3",1
"A6X4",1
"A6X5",1
"A6X8",1
"A6X9",1
"A6XA",1
"A6XC",1
"A6YH",1
"A70Y",1
"A70Z",1
"A710",1
"A711",1
"A713",1
"A72U",1
"A72W",1
"A72X",1
"A72Z",1
"A730",1
"A731",1
"A733",1
"A735",1
"A736",1
"A737",1
"A73M",1
"A74H",1
"A74J",1
"A74K",1
"A74L",1
"A74O",1
"A74X",1
"A75K",1
"A75L",1
"A75M",1
"A75O",1
"A75P",1
"A76K",1
"A76L",1
"A76O",1
"A76R",1
"A77W",1
"A77X",1
"A780",1
"A781",1
"A7C3",1
"A7C4",1
"A7C5",1
"A7CA",1
"A7CF",2
"A7IQ",1
"A7IS",1
"A7IX",1
"A7IY",1
"A7IZ",1
"A7J0",1
"A7J1",1
"A7J2",1
"A7J3",1
"A7QS",1
"A7QW",1
"A7QX",1
"A7QY",1
"A7QZ",1
"A7R1",1
"A7R2",1
"A7R3",1
"A7R4",1
"A7R7",1
"A7R8",1
"A7RF",1
"A7RG",1
"A7RH",1
"A7RI",1
"A7RJ",1
"A7RK",2
"A7RM",1
