"x" "freq"
"4074" 2
"4075" 2
"4076" 2
"4077" 2
"4078" 2
"4217" 2
"4223" 2
"4224" 2
"4225" 2
"4227" 2
"4228" 2
"4722" 2
"4723" 2
"4725" 2
"4726" 2
"4727" 2
"4728" 2
"4729" 2
"4730" 2
"4731" 2
"4733" 2
"4734" 2
"4735" 2
"4736" 2
"4737" 2
"4738" 2
"4739" 2
"4740" 2
"4741" 2
"4742" 2
"5149" 2
"5151" 2
"5152" 2
"5153" 2
"5243" 2
"5247" 2
"5248" 2
"5249" 2
"5250" 2
"5323" 2
"5324" 2
"5325" 2
"5326" 2
"5327" 2
"5329" 2
"5330" 2
"5331" 2
"5332" 2
"5333" 2
"5334" 2
"5355" 2
"5356" 2
"5358" 2
"5359" 2
"5360" 2
"5361" 2
"5363" 2
"5364" 2
"5365" 2
"5366" 2
"5367" 2
"5369" 2
"5370" 2
"5373" 2
"5374" 2
"5430" 2
"5431" 2
"5432" 2
"5434" 2
"5435" 2
"5436" 2
"5439" 2
"5440" 2
"5441" 2
"5442" 2
"5443" 2
"5444" 2
"5555" 2
"5556" 2
"5557" 2
"5558" 2
"5559" 2
"5624" 2
"5625" 2
"5629" 2
"5630" 2
"5631" 2
"5966" 2
"5970" 2
"5971" 2
"5973" 2
"5976" 2
"5977" 2
"5978" 2
"5979" 2
"6003" 2
"6010" 2
"6011" 2
"6012" 2
"6013" 2
"6016" 2
"6017" 2
"6018" 2
"6019" 2
"6020" 2
"6021" 2
"6022" 2
"6023" 2
"6024" 2
"6218" 2
"6219" 2
"6220" 2
"6221" 2
"6222" 2
"6223" 2
"6224" 2
"6225" 2
"6227" 2
"6228" 2
"6229" 2
"6433" 2
"6436" 2
"6441" 2
"6467" 2
"6470" 2
"6471" 2
"6472" 2
"6473" 2
"6474" 2
"6477" 2
"6478" 2
"6480" 2
"6481" 2
"6482" 2
"6484" 2
"6487" 2
"6488" 2
"6491" 2
"6492" 2
"6493" 2
"6515" 2
"6516" 2
"6517" 2
"6823" 2
"6824" 2
"6825" 2
"6826" 2
"6827" 2
"6868" 2
"6869" 2
"6870" 2
"6871" 2
"6872" 2
"6873" 2
"6933" 4
"6934" 4
"6935" 4
"6936" 4
"6937" 2
"6938" 4
"6939" 4
"6940" 2
"6941" 2
"6942" 2
"6943" 4
"6945" 2
"6948" 2
"6950" 2
"6951" 2
"6952" 2
"6953" 2
"6954" 2
"6955" 4
"6956" 4
"6959" 4
"6960" 4
"6961" 4
"6962" 4
"6988" 2
"6989" 2
"6992" 2
"6994" 2
"6995" 2
"6996" 2
"6997" 2
"6998" 2
"7063" 2
"7065" 2
"7067" 2
"7068" 2
"7069" 2
"7071" 2
"7072" 2
"7082" 2
"7085" 2
"7086" 2
"7089" 2
"7090" 2
"7091" 4
"7095" 2
"7097" 4
"7099" 2
"7100" 2
"7101" 4
"7102" 2
"7103" 4
"7104" 2
"7177" 4
"7178" 4
"7180" 2
"7183" 4
"7219" 2
"7229" 2
"7235" 4
"7236" 2
"7238" 4
"7242" 4
"7243" 2
"7245" 4
"7247" 2
"7248" 2
"7250" 4
"7252" 4
"7253" 2
"7254" 2
"7255" 4
"7261" 4
"7263" 2
"7269" 2
"7364" 2
"7365" 2
"7367" 2
"7368" 2
"7369" 2
"7370" 2
"7371" 2
"7372" 2
"7373" 2
"7374" 2
"7376" 2
"7377" 2
"7379" 2
"7380" 2
"7382" 2
"7383" 2
"7385" 2
"7386" 2
