"x","freq"
"8323",1
"8324",2
"8325",1
"8326",2
"8327",1
"8328",1
"8329",2
"8330",1
"8331",1
"8332",2
"8333",1
"8334",1
"8335",1
"8336",2
"8337",1
"8338",1
"8339",2
"8340",1
"8341",1
"8342",1
"8343",1
"8344",1
"8345",1
"8346",1
"8403",2
"8404",1
"8405",1
"8406",1
"8407",1
"8408",1
"8409",1
"8410",1
"8411",1
"8413",1
"8414",1
"8415",2
"8416",1
"8417",1
"8418",1
"8419",2
"8421",1
"8422",2
"8423",2
"8424",2
"8425",2
"8426",2
"8427",2
"8428",2
"8429",2
"8430",2
"8431",2
"8432",2
"8433",2
"8434",2
"8435",2
"8436",2
"8437",2
"8438",1
"8439",1
"8440",1
"8441",1
"8442",1
"8443",1
"8476",1
"8477",1
"8639",1
