"x","freq"
"3466",1
"3467",1
"3468",1
"3471",1
"3472",1
"3473",1
"3925",1
"3926",1
"4103",1
"4104",1
"4113",1
"4114",1
"4115",2
"4116",1
"4117",1
"4617",1
"5155",1
"5156",1
"5398",1
"5560",1
"5561",1
"5875",2
"5876",1
"5877",2
"5878",2
"5879",2
"5880",1
"5881",1
"5882",2
"5883",1
"5884",2
"5885",1
"5886",1
"5887",2
"5888",2
"5889",1
"5890",2
"5891",2
"5892",1
"5893",1
"5894",2
"5901",1
"5902",1
"5903",1
"6131",2
"6132",2
"6133",2
"6134",2
"6135",1
"6720",1
"6789",1
"6790",1
"6792",1
"6793",1
"6795",1
"6796",1
"6797",1
"6846",2
"7044",2
"7045",2
"7046",2
"7048",1
"7049",1
"7050",1
"7051",2
"7053",1
"7055",2
"7056",1
"7058",1
"7059",2
"7060",1
"7061",2
"7062",1
"7128",1
"7129",1
"7130",1
"7173",1
"7268",1
"7286",1
"7287",1
"7288",1
"7332",1
"7501",1
"7502",1
"7583",1
"7584",1
"7585",1
"7732",1
"7734",1
"7773",1
"7828",1
"7834",1
"7836",1
"7837",1
"7838",1
"7839",1
"7840",1
"7841",1
"7842",1
"7915",1
"7963",1
"7966",2
"7996",1
"7997",1
"8098",1
"8121",1
"8195",1
"8196",1
"8310",1
"8311",1
"8312",1
"8500",1
"8515",1
"8516",1
"8517",1
"8518",1
"8537",1
"8630",1
"A40U",1
"A40X",1
"A40Y",1
"A44B",1
"A47M",1
"A47N",1
"A47O",1
"A48D",1
"A4EM",1
"A4JJ",1
"A4TM",1
"A4ZT",2
"A55W",1
"A55Z",1
"A560",1
"A561",1
"A562",1
"A57E",2
"A59R",2
"A59T",1
"A5DJ",1
"A5DU",1
"A5E6",1
"A5E7",1
"A5E8",2
"A5EA",1
"A5EB",1
"A5ED",2
"A5NF",1
"A5NH",1
"A5NI",1
"A5NJ",1
"A5NK",1
"A5NL",1
"A5NU",1
"A5QZ",1
"A5W7",1
"A5W8",1
"A5W9",1
"A5XZ",1
"A5Y0",1
"A5Y1",1
"A5Z8",1
"A5Z9",1
"A654",1
"A655",1
"A656",1
"A657",1
"A69E",1
"A6GD",1
"A6GE",1
"A6HP",1
"A6M8",1
"A6M9",1
"A6W5",1
"A71R",1
"A71S",1
"A71U",1
"A71V",1
"A71W",1
"A74V",1
"A75Z",1
"A772",1
"A7HT",1
"A7Q0",1
"A7SL",1
"A7SM",1
"A7SN",1
"A7SO",1
"A7SP",1
"A7SQ",1
"A7SR",1
"A7SS",1
"A7SU",1
"A7UZ",1
"A7VF",1
"A83S",1
"A83T",1
"A83V",1
"A83W",1
"A854",1
"A855",1
"A856",1
"A857",1
"A894",1
"A895",1
"A896",1
"A897",1
"A898",1
"A8I2",1
"A8LB",1
"A8LC",1
"A8LD",1
"A8LE",1
"A8NY",1
"A8RY",2
"A8RZ",1
"A8S0",1
"A8S1",1
"A8YH",1
"A8YI",1
"A93W",1
"A93X",1
"A93Y",1
"A97G",1
"A9DC",1
"A9DD",1
"A9DE",2
"A9G9",1
"A9J1",1
"A9J2",1
"A9J3",1
"A9J5",1
"A9J6",1
"A9J7",1
"A9J8",1
"A9J9",1
"A9JD",1
"A9JE",1
"A9JG",1
"A9JI",1
"A9JJ",1
"A9JK",1
"A9JL",1
"A9JM",1
"A9JN",1
"A9JO",1
"A9JP",1
"A9JQ",1
"A9JR",1
"A9JS",1
"A9JT",1
"A9JU",1
"A9JV",1
"A9JW",1
"A9JY",1
"A9JZ",1
"A9K0",1
"A9K2",1
"A9K3",1
"A9K4",1
"A9K6",1
"A9K8",1
"A9K9",1
"A9KA",1
"A9KC",1
"A9KE",1
"A9KF",1
"A9KH",1
"A9PJ",1
"A9PK",1
"A9PL",1
"A9PM",1
"A9PN",1
"A9PO",1
"A9PP",1
"A9PQ",1
"A9PR",1
"A9PS",2
"A9PU",1
"A9PV",1
"A9PX",1
"A9PZ",1
"A9Q0",1
"A9Q1",1
"A9WE",1
"AAVK",1
"AAVL",1
"AAVM",1
"AAVO",1
"AAZ9",1
"AB4C",1
