"x" "freq"
"4938" 2
"4941" 2
"4942" 2
"4943" 2
"4944" 2
"5140" 2
"5141" 2
"5142" 2
"5143" 2
"5144" 2
"5270" 2
"5273" 2
"5274" 2
"5275" 2
"5276" 2
"5277" 2
"5278" 2
"5279" 2
"5280" 2
"5281" 2
"5302" 2
"5303" 2
"5304" 2
"5305" 2
"5307" 2
"5311" 2
"5318" 2
"5319" 2
"5322" 2
"5390" 2
"5393" 2
"5394" 2
"5395" 2
"5396" 2
"5397" 2
"5847" 2
"5849" 2
"5851" 2
"5852" 2
"5853" 2
"5854" 2
"5855" 2
"5870" 4
"5871" 2
"5872" 4
"5874" 2
"5962" 2
"5963" 4
"5964" 2
"5965" 4
"6186" 2
"6188" 2
"6290" 2
"6392" 2
"6393" 2
"6394" 2
"6395" 2
"6396" 2
"6397" 4
"6399" 2
"6400" 2
"6401" 2
"6402" 2
"6403" 2
"6404" 4
"6405" 2
"6406" 2
"6407" 4
"6408" 2
"6410" 2
"6542" 2
"6665" 2
"6666" 2
"6667" 2
"6668" 2
"6669" 2
"6670" 2
"6688" 2
"6689" 2
"6690" 2
"6691" 2
"6692" 2
"7006" 2
"7007" 2
"7008" 2
"7009" 2
"7010" 2
"7011" 2
"7012" 2
"7013" 2
"7014" 2
"7015" 2
"7018" 2
"7019" 2
"7264" 2
"7290" 2
"7292" 2
"7294" 2
"7298" 2
"7299" 2
"7300" 2
"7301" 2
"7302" 2
"7304" 4
"7306" 2
"7309" 2
"7467" 2
"7468" 2
"7469" 2
"7470" 2
"7471" 2
"7472" 2
"7473" 2
"7474" 2
"7475" 2
"7476" 2
"7477" 2
"7478" 2
"7479" 2
"7480" 2
"7481" 2
"7482" 2
"7483" 2
"7485" 2
"7486" 2
"7487" 2
"7489" 2
"7490" 2
"7491" 2
"7493" 2
"7495" 2
"7601" 2
"7602" 2
"7603" 2
"7604" 2
"7605" 2
"7606" 2
"7607" 2
"7608" 2
"7609" 2
"7610" 2
"7611" 2
"7616" 2
"7620" 2
"7634" 2
"7636" 2
"7637" 2
"7638" 2
"7641" 2
"7643" 2
"7675" 2
"7676" 2
"7677" 2
"7680" 2
"7681" 2
"7684" 2
"7686" 2
"7687" 2
"7688" 2
"7689" 2
"7690" 2
"7691" 2
"7692" 2
"7693" 2
"7694" 2
"7695" 2
"7833" 2
"7854" 2
"7855" 2
"7856" 2
"7857" 2
"7858" 2
"7860" 2
"7873" 2
"7874" 2
"7875" 2
"7877" 2
"7879" 2
"7880" 2
"7881" 2
"7882" 2
"7884" 2
"7902" 2
"8010" 2
"8011" 2
"8012" 2
"8013" 2
"8015" 2
"8018" 2
"8019" 2
"8104" 2
"8105" 2
"8106" 2
"8107" 2
"8108" 2
"8109" 2
"8110" 2
"8111" 2
"8113" 2
"8114" 2
"8125" 2
"8158" 2
"8161" 2
"8162" 2
"8163" 2
"8164" 2
"8165" 2
"8166" 2
"8167" 2
"8168" 2
"8181" 2
"8182" 2
"8185" 2
"8186" 2
"8187" 2
"8188" 2
"8189" 2
"8191" 2
"8319" 2
"8320" 2
"8321" 2
"8322" 2
"8558" 2
"8563" 2
"8564" 2
"A4DS" 2
"A4DV" 2
"A4MT" 4
"A4MU" 2
"A4MW" 2
"A4MX" 2
"A4MY" 2
"A4X9" 2
"A4XA" 2
"A4XB" 2
"A4XC" 2
"A4XD" 2
"A4XE" 2
"A4XF" 2
"A4XG" 2
"A4XH" 2
"A5ET" 2
"A5EU" 2
"A5EV" 2
"A5EW" 2
"A5EX" 2
"A5EY" 2
"A5EZ" 2
"A5F0" 2
"A5F1" 2
"A5F2" 2
"A5F4" 2
"A5F6" 2
"A5KJ" 2
"A5KK" 2
"A5KL" 2
"A5KM" 2
"A5R5" 2
"A5R7" 2
"A5R9" 2
"A5RA" 2
"A5RB" 2
"A5RC" 2
"A5TP" 2
"A5TR" 2
"A5TS" 2
"A5TT" 2
"A5TU" 2
"A5TW" 2
"A5TY" 2
"A60J" 2
"A60K" 2
"A60L" 2
"A614" 2
"A615" 2
"A616" 2
"A617" 2
"A618" 2
"A619" 2
"A61A" 2
"A61B" 2
"A61C" 2
"A64L" 2
"A64O" 2
"A64P" 2
"A64Q" 2
"A64R" 2
"A64S" 2
"A64U" 2
"A64V" 2
"A64W" 2
"A64X" 2
"A65R" 2
"A65S" 2
"A65V" 2
"A65X" 2
"A65Z" 2
"A669" 4
"A66B" 2
"A66D" 2
"A66F" 2
"A66G" 2
"A6CS" 2
"A6CU" 2
"A6CV" 2
"A6CW" 2
"A6CX" 2
"A6CY" 2
"A6CZ" 2
"A6IZ" 2
"A6J1" 2
"A6J3" 2
"A6MK" 2
"A6ML" 2
"A6MO" 2
"A6S2" 2
"A6S3" 2
"A6S6" 2
"A6S7" 2
"A6S8" 2
"A6TS" 2
"A6TU" 2
"A6TV" 2
"A6TW" 2
"A6TX" 2
"A6TY" 2
"A6TZ" 2
"A6U0" 2
"A6U1" 2
"A6U2" 2
"A6U5" 2
"A6U6" 2
"A6U8" 2
"A6U9" 2
"A6UA" 2
"A6UB" 2
"A6WD" 2
"A6WE" 2
"A6WG" 2
"A6WH" 2
"A6WI" 2
"A6WL" 2
"A6WM" 2
"A6WN" 2
"A6WO" 2
"A6WP" 2
"A6WQ" 2
"A6X3" 2
"A6X4" 2
"A6X5" 2
"A6X8" 2
"A6X9" 2
"A6XA" 2
"A6XC" 2
"A6YH" 2
"A70Y" 2
"A70Z" 2
"A710" 2
"A711" 2
"A713" 2
"A72U" 2
"A72W" 2
"A72X" 2
"A72Z" 2
"A730" 2
"A731" 2
"A733" 2
"A735" 2
"A736" 2
"A737" 2
"A73M" 2
"A74H" 2
"A74J" 2
"A74K" 2
"A74L" 2
"A74O" 2
"A74X" 2
"A75K" 2
"A75L" 2
"A75M" 2
"A75O" 2
"A75P" 2
"A76K" 2
"A76L" 2
"A76O" 2
"A76R" 2
"A77W" 2
"A77X" 2
"A780" 2
"A781" 2
"A7C3" 2
"A7C4" 2
"A7C5" 2
"A7CA" 2
"A7CF" 4
"A7IQ" 2
"A7IS" 2
"A7IX" 2
"A7IY" 2
"A7IZ" 2
"A7J0" 2
"A7J1" 2
"A7J2" 2
"A7J3" 2
"A7QS" 2
"A7QW" 2
"A7QX" 2
"A7QY" 2
"A7QZ" 2
"A7R1" 2
"A7R2" 2
"A7R3" 2
"A7R4" 2
"A7R7" 2
"A7R8" 2
"A7RF" 2
"A7RG" 2
"A7RH" 2
"A7RI" 2
"A7RJ" 2
"A7RK" 4
"A7RM" 2
"A7RN" 2
"A7RO" 2
"A7RP" 2
"A7RQ" 2
"A7RR" 2
"A7RS" 2
"A7RU" 2
"A7RV" 4
"A7RW" 2
"A7T6" 2
"A7T8" 2
"A7TA" 2
"A7TB" 2
"A7TC" 2
"A7TD" 2
"A7TG" 2
"A7TI" 2
"A7TJ" 2
"A7UR" 2
"A7US" 2
"A7UT" 2
"A7UU" 2
"A7UV" 2
"A7W1" 2
"A7YD" 2
"A7YE" 2
"A7YH" 2
"A7YI" 2
"A7YJ" 2
"A7YK" 2
"A7YL" 2
"A7YM" 2
"A7YN" 2
"A7YO" 2
"A7YQ" 2
"A7YS" 2
"A7YU" 2
"A7YV" 2
"A7YW" 2
"A7YY" 2
"A7Z2" 2
"A7Z3" 2
"A7Z4" 2
"A7Z6" 2
"A829" 2
"A837" 2
"A83X" 2
"A83Y" 2
"A83Z" 2
"A840" 2
"A843" 2
"A845" 2
"A847" 2
"A84B" 2
"A84C" 2
"A84F" 2
"A84G" 2
"A84H" 2
"A84I" 2
"A84J" 2
"A84L" 2
"A84M" 2
"A84O" 2
"A84Q" 2
"A84R" 2
"A84S" 2
"A84T" 2
"A858" 2
"A859" 2
"A85A" 2
"A85B" 2
"A85C" 2
"A85D" 2
"A85E" 2
"A86K" 2
"A86M" 2
"A86X" 2
"A870" 2
"A87N" 2
"A87Q" 2
"A89V" 2
"A89Z" 2
"A8C8" 2
"A8C9" 2
"A8CA" 2
"A8CB" 2
"A8CD" 2
"A8CE" 2
"A8CF" 2
"A8CH" 2
"A8FI" 2
"A8O3" 2
"A8O4" 2
"A8XE" 4
