"x","freq"
"4072",1
"4073",1
"5258",1
"5259",1
"5260",1
"5261",1
"5262",1
"5263",1
"5264",1
"A10Q",2
"A10R",2
"A10S",1
"A10T",2
"A10U",2
"A10W",2
"A10X",2
"A10Y",2
"A10Z",2
"A110",2
"A112",1
"A113",2
"A114",2
"A115",1
"A116",2
"A118",2
"A119",2
"A11A",2
"A11B",2
"A11C",2
"A11D",2
"A123",1
"A12J",2
"A1EA",1
"A1EB",2
"A1EC",2
"A1ED",1
"A1EE",2
"A1EF",1
"A1EG",2
"A1EH",2
"A1EI",2
"A1EJ",2
"A1EK",1
"A1EL",2
"A1HT",1
"A216",2
"A217",1
"A23B",2
"A25S",1
"A25T",1
"A25U",1
"A25V",1
"A25X",1
"A25Y",1
"A25Z",1
"A26S",2
"A2HS",1
"A2HT",2
"A2KA",1
"A2KB",1
"A2KC",1
"A2L6",2
"A2QQ",1
"A2QR",2
"A39V",2
"A39W",2
"A39X",2
"A39Y",1
"A39Z",2
"A3A1",2
"A3A2",2
"A3A3",2
"A3A4",2
"A3A5",2
"A3A6",2
"A3A7",1
"A3A8",2
"A3A9",1
"A3CG",1
"A3CH",2
"A3CI",1
"A3CJ",1
"A3CK",1
"A3EP",2
"A3ER",1
"A3I0",2
"A3I1",2
"A3JL",1
"A3KF",1
"A3KG",1
"A3M9",1
"A3MA",1
"A3MB",1
"A3MC",1
"A3OU",1
"A3R2",2
"A3R3",1
"A3RK",2
"A459",1
"A495",1
"A496",1
"A4NA",1
"A4NB",1
"A4ND",1
"A4NE",1
"A4NF",1
"A4NG",1
"A4NH",1
"A4NI",1
"A4NJ",1
"A4NK",1
"A4NL",1
"A4NN",1
"A4NO",1
"A4NP",1
"A4NQ",1
"A4NR",1
"A4NS",1
"A4NV",1
"A4U2",1
"A4XI",1
"A4ZP",1
"A4ZQ",1
"A520",1
"A5DF",1
"A5KG",1
"A5MZ",1
"A5N0",1
"A5NO",1
"A5NP",1
"A5NQ",1
"A5RF",1
"A5RG",1
"A5SI",1
"A5SJ",1
"A5SK",1
"A5SL",1
"A5SM",1
"A5UC",1
"A5UD",1
"A5UE",1
"A5W4",1
"A627",1
"A66X",1
"A66Y",1
"A69H",1
"A69I",1
"A6C0",1
"A6G5",1
"A6GG",1
"A6J8",1
"A6M3",1
"A6M4",1
"A6M5",1
"A6M6",1
"A6UC",1
"A73A",1
"A73B",1
"A73C",1
"A73D",1
"A73E",1
"A73F",1
"A73G",1
"A75C",1
"A75E",1
"A75G",1
"A75H",1
"A75I",1
"A75V",1
"A7B7",1
"A7D4",1
"A7IE",1
"A7IF",1
"A7IG",1
"A7IH",1
"A7II",1
"A7IJ",1
"A7IK",1
"A7IL",1
"A7K0",1
"A7K2",1
"A7K7",1
"A7K8",1
"A7M5",1
"A7M6",1
"A7M7",1
"A7M8",1
"A7M9",1
"A7MA",1
"A7MB",1
