"x","freq"
"1592",2
"1594",2
"1595",2
"1596",2
"1676",2
"1677",2
"1678",2
"1679",2
"1680",2
"1681",2
"2655",4
"2656",2
"2657",4
"2659",2
"2661",4
"2662",4
"2665",4
"2666",2
"2668",4
"3396",4
"3398",4
"3615",2
"3770",2
"3771",2
"3772",2
"3773",2
"3774",2
"3918",2
"3919",2
"4112",2
"4122",2
"4123",2
"4244",2
"4249",2
"4250",2
"4382",2
"4384",2
"4389",2
"4390",2
"4395",2
"4396",2
"4397",2
"4398",2
"4402",2
"4403",2
"4405",2
"4410",2
"4415",2
"4417",2
"4418",2
"4420",2
"4422",2
"4424",2
"4425",2
"4426",2
"4427",2
"4430",2
"4432",2
"4433",2
"4434",2
"4486",2
"4487",2
"4488",2
"4490",4
"4494",2
"4501",2
"4505",2
"4506",2
"4507",2
"4510",2
"4512",4
"4514",2
"4625",4
"4626",4
"4627",4
"4628",2
"4629",2
"4630",2
"4631",2
"4632",4
"4658",2
"4659",2
"4662",2
"4666",2
"4668",2
"4670",2
"4675",2
"4676",4
"4677",2
"4679",2
"5044",2
"5045",2
"5049",2
"5051",2
"5055",2
"5066",4
"5068",2
"5072",2
"5122",2
"5125",2
"5126",2
"5146",2
"5147",2
"5375",2
"5420",2
"5423",2
"5425",2
"5428",2
"5429",2
"5607",2
"5608",2
"5611",2
"5643",2
"5644",2
"5645",4
"5715",2
"5774",2
"5775",2
"5778",2
"5779",2
"5781",2
"5815",2
"5899",2
"5908",2
"5930",4
"5931",4
"5932",4
"5933",4
"5935",4
"5936",4
"5939",4
"5941",2
"5942",2
"5944",2
"5946",4
"6144",2
"6145",4
"6146",4
"6147",4
"6148",4
"6178",2
"6203",2
"6205",2
"6206",2
"6207",2
"6211",2
"6212",2
"6214",2
"6215",2
"6216",2
"6217",2
"6543",2
"6562",2
"6590",2
"6591",2
"6592",2
"6593",2
"6594",2
"6595",4
"6597",2
"6642",2
"6673",2
"6712",2
"6725",2
"6742",4
"6743",4
"6744",4
"6745",4
"6761",4
"6767",2
"6774",2
"6775",2
"6776",4
"6777",4
"6778",4
"6779",2
"6828",4
"6829",4
"6830",2
"6831",4
"6835",4
"6836",4
"6840",2
"6847",4
"6848",2
"6849",4
"6851",2
"6968",4
"6969",4
"6970",4
"6971",4
"6972",4
"6975",4
"6978",4
"6979",4
"6980",4
"6981",4
"6982",4
"6983",4
"6984",4
"6985",4
"6986",4
"6987",2
"7025",2
"7027",2
"7030",2
"7031",2
"7039",2
"7043",2
"7109",2
"7143",2
"7145",2
"7146",2
"7147",2
"7148",2
"7149",2
"7150",2
"7152",2
"7153",2
"7154",2
"7155",2
"7156",2
"7158",2
"7159",2
"7160",2
"7161",2
"7162",2
"7163",2
"7166",2
"7167",2
"7220",2
"7227",2
"7271",2
"7281",2
"7283",2
"7284",2
"7347",2
"7348",2
"7458",2
"7498",2
"7499",2
"7535",2
"7536",2
"7537",2
"7539",2
"7540",2
"7542",2
"7546",2
"7547",2
"7552",2
"7553",2
"7554",2
"7562",2
"7567",2
"7570",2
"7573",2
"7574",2
"7576",2
"7624",2
"7626",2
"7633",2
"7659",2
"7660",2
"7661",2
"7662",2
"7667",2
"7669",2
"7670",2
"7671",2
"7672",2
"7701",2
"7711",2
"7713",2
"7714",2
"7724",2
"7725",2
"7726",2
"7727",2
"7728",2
"7760",2
"7761",2
"7763",2
"7764",2
"7765",2
"7771",2
"7813",2
"7815",2
"7816",2
"7903",2
"7907",2
"7910",2
"7911",2
"7913",2
"7914",2
"7937",2
"7938",2
"7941",2
"7944",2
"7947",2
"7948",2
"7953",2
"7954",2
"7955",2
"7973",2
"7974",2
"7978",2
"7979",2
"7980",2
"7994",2
"7995",2
"8025",2
"8028",2
"8032",2
"8033",2
"8039",2
"8054",2
"8055",2
"8056",2
"8067",2
"8073",2
"8074",2
"8075",2
"8076",2
"8085",2
"8087",2
"8089",2
"8090",2
"8091",2
"8092",2
"8094",2
"8096",2
"8097",2
"8117",2
"8119",2
"8120",2
"8171",2
"8172",2
"8174",2
"8175",2
"8176",2
"8177",2
"8179",2
"8192",2
"8194",2
"8203",2
"8204",2
"8205",2
"8206",2
"8207",2
"8208",2
"8253",2
"8254",2
"8255",2
"8278",2
"8279",2
"8280",2
"8281",2
"8299",2
"8301",2
"8302",2
"8358",2
"8359",2
"8394",2
"8395",2
"8397",2
"8398",2
"8399",2
"8402",2
"8453",2
"8457",2
"8459",2
"8460",2
"8494",2
"8496",2
"8497",2
"8499",2
"8505",2
"8506",2
"8507",2
"8508",2
"8510",2
"8511",2
"8512",2
"8513",2
"8514",2
"8520",2
"8547",2
"8552",2
"8585",2
"8614",2
"8615",2
"8616",2
"8619",2
"8620",2
"8621",2
"8640",2
"8648",2
"8655",2
"8660",2
"8662",2
"8668",2
