"x","freq"
"A4KX",1
"A4LC",1
"A4LI",1
"A4LJ",1
"A4LM",1
"A4LP",1
"A4LV",1
"A4NW",1
"A4NY",1
"A4NZ",1
"A4O0",1
"A4O2",1
"A4O4",1
"A4O5",1
"A4O6",1
"A4O7",1
"A57I",1
"A638",1
"A6BL",1
"A6BN",1
"A6BQ",1
"A6BR",1
"A6BS",1
"A6LM",1
"A6LN",1
"A6LP",1
"A6LQ",1
"A6LR",1
"A7BC",1
"A7BD",1
"A7BH",1
"A7OU",1
"A7OY",1
"A7OZ",1
"A7P0",1
"A7P1",1
"A7P3",1
"A7P6",1
"A7P7",1
"A7P8",1
"A7PB",1
"A88C",1
"A88D",1
"A88E",1
"A88G",1
"A8AF",1
"A8AI",1
"A8AS",1
"A8AV",1
"A8AY",1
"A95B",1
"A95C",1
"A97Y",1
"A98D",1
"A98E",1
"A98F",1
"A98G",1
"A98H",1
"A98I",1
"A98J",1
"A9CT",1
"A9CU",1
"A9VO",1
"A9VP",1
"A9VQ",1
"A9VS",1
"A9VU",1
"A9VV",1
"A9VW",1
"AA4M",1
"AA5Z",1
"AABY",1
"AABZ",1
"AAC1",1
"AAC4",1
"AAC5",1
"AAC6",1
"AAC7",1
"AASU",1
"AB3K",1
"AB3L",1
"AB3M",1
"AB3O",1
"AB3S",1
"AB3T",1
"AB3U",1
"AB3X",1
