"x" "freq"
"0364" 2
"0366" 2
"0367" 2
"0369" 2
"0730" 2
"0799" 2
"0800" 2
"0801" 2
"0890" 2
"0893" 2
"0897" 2
"0899" 2
"0913" 2
"0916" 2
"0920" 2
"0924" 2
"0928" 2
"0936" 2
"0975" 2
"1023" 2
"1026" 2
"1027" 2
"1029" 2
"1103" 2
"1109" 2
"1111" 2
"1114" 2
"1120" 2
"1122" 2
"1123" 2
"1312" 2
"1313" 2
"1314" 2
"1315" 2
"1316" 2
"1317" 2
"1318" 2
"1319" 2
"1320" 2
"1321" 2
"1322" 2
"1323" 2
"1324" 2
"1326" 2
"1328" 2
"1329" 2
"1348" 2
"1357" 2
"1362" 2
"1364" 2
"1365" 2
"1403" 2
"1405" 2
"1410" 2
"1411" 2
"1413" 2
"1416" 2
"1417" 2
"1418" 2
"1419" 2
"1423" 2
"1424" 2
"1425" 2
"1427" 2
"1428" 2
"1430" 2
"1434" 2
"1435" 2
"1436" 2
"1463" 2
"1467" 2
"1469" 2
"1474" 2
"1481" 2
"1489" 2
"1497" 2
"1498" 2
"1505" 2
"1506" 2
"1507" 2
"1511" 2
"1512" 2
"1514" 2
"1519" 2
"1544" 2
"1545" 2
"1546" 2
"1548" 2
"1549" 2
"1550" 2
"1551" 2
"1552" 2
"1553" 2
"1555" 2
"1556" 2
"1557" 2
"1558" 2
"1560" 2
"1562" 2
"1563" 2
"1564" 2
"1567" 2
"1568" 2
"1569" 2
"1570" 2
"1571" 2
"1574" 2
"1575" 2
"1576" 2
"1577" 2
"1578" 2
"1580" 2
"1581" 2
"1582" 2
"1583" 2
"1584" 2
"1585" 2
"1603" 2
"1604" 2
"1616" 2
"1623" 2
"1625" 2
"1626" 2
"1627" 2
"1628" 2
"1630" 2
"1631" 2
"1632" 2
"1633" 2
"1634" 2
"1635" 2
"1659" 2
"1662" 2
"1666" 2
"1667" 2
"1668" 2
"1669" 2
"1670" 2
"1673" 2
"1674" 2
"1682" 2
"1683" 2
"1684" 2
"1685" 2
"1687" 2
"1688" 2
"1690" 2
"1691" 2
"1693" 2
"1694" 2
"1695" 2
"1696" 2
"1697" 2
"1698" 2
"1699" 2
"1701" 2
"1702" 2
"1703" 2
"1705" 2
"1710" 2
"1711" 2
"1718" 2
"1721" 2
"1724" 2
"1725" 2
"1728" 2
"1733" 2
"1736" 2
"1737" 2
"1738" 2
"1740" 2
"1741" 2
"1743" 2
"1761" 2
"1762" 2
"1763" 2
"1770" 4
"1776" 2
"1778" 2
"1781" 2
"1783" 2
"1784" 2
"1785" 2
"1809" 2
"1842" 2
"1843" 2
"1844" 2
"1846" 2
"1847" 2
"1849" 2
"1850" 2
"1855" 2
"1857" 2
"1860" 2
"1861" 2
"1862" 2
"1870" 2
"1871" 2
"1891" 2
"1900" 2
"1907" 2
"1910" 2
"1914" 2
"1917" 2
"1918" 2
"1919" 2
"1924" 2
"1928" 2
"1930" 2
"1944" 2
"1946" 2
"1951" 2
"1953" 2
"1956" 2
"1959" 2
"1993" 2
"1994" 2
"1995" 2
"1998" 2
"2000" 2
"2002" 2
"2003" 2
"2008" 4
"2009" 2
"2012" 2
"2016" 2
"2019" 2
"2020" 2
"2023" 2
"2024" 2
"2026" 2
"2027" 2
"2033" 2
"2035" 2
"2036" 2
"2038" 2
"2042" 2
"2044" 2
"2045" 2
"2048" 2
"2051" 2
"2054" 2
"2056" 2
"2060" 2
"2077" 2
"2078" 2
"2081" 2
"2084" 2
"2088" 2
"2092" 2
"2094" 2
"2095" 2
"2097" 2
"2098" 2
"2101" 2
"2102" 2
"2104" 2
"2109" 2
"2110" 2
"2111" 2
"2113" 2
"2254" 2
"2261" 2
"2262" 2
"2267" 2
"2271" 2
"2281" 2
"2288" 2
"2289" 2
"2290" 2
"2293" 2
"2297" 2
"2298" 2
"2348" 2
"2350" 2
"2351" 2
"2352" 2
"2354" 2
"2355" 2
"2363" 2
"2391" 2
"2392" 2
"2393" 2
"2396" 2
"2397" 2
"2398" 2
"2399" 2
"2400" 2
"2401" 2
"2404" 2
"2409" 2
"2414" 4
"2425" 2
"2427" 2
"2428" 2
"A56P" 2
"A56Q" 2
"A5FT" 2
"A5NZ" 2
"A5PD" 2
"A838" 2
"A8LO" 2
"A9WA" 2
"AA5U" 2
