"x","freq"
"6879",1
"6880",1
"7273",1
"7276",1
"7289",1
"7644",1
"7645",1
"7646",1
"7647",1
"7649",1
"7651",1
"7652",1
"7654",1
"7885",1
"7886",1
"7887",1
"7888",1
"7889",1
"7890",1
"7891",1
"7893",1
"7897",1
"7918",1
"7919",1
"7920",1
"7922",1
"7923",1
"7924",1
"7925",1
"7926",1
"8001",1
"8002",1
"8003",1
"8005",1
"8124",2
"8126",1
"8127",1
"8315",1
"8317",1
"8519",1
"8636",1
"8637",1
"8638",1
"A44G",1
"A44H",1
"A45N",2
"A49G",1
"A49H",1
"A49I",1
"A4BH",1
"A4BK",1
"A4P5",1
"A4P6",1
"A545",1
"A5A3",2
"A5A4",1
"A5A5",1
"A5A6",1
"A5N4",1
"A5QY",1
"A5RE",1
"A5SO",1
"A5SP",1
"A5SQ",1
"A5SS",1
"A5ST",1
"A5VM",1
"A6C1",1
"A6UF",1
"A6UG",1
"A75W",1
"A774",1
"A776",1
"A779",1
"A77E",1
"A77G",1
"A77J",1
"A77O",1
"A77P",1
"A77Q",1
"A78T",1
"A7B8",1
"A7DR",1
"A7LX",1
"A7M4",1
"A7OL",1
"A7OP",1
"A7SX",1
"A7TX",1
"A7W4",1
"A89D",2
"A8F3",1
"A8LH",1
"A8P0",1
"A8P1",1
"A8RM",1
"A8RO",1
"A8RP",1
"A8SY",1
"A8T3",1
"A8T5",1
"A8YN",1
"A9I5",1
"A9I7",1
"A9I9",1
"A9IB",1
"A9IC",1
"A9IH",1
"A9IJ",1
"A9IL",1
"A9IN",1
"A9IO",1
"A9IR",1
"A9IS",1
"A9IU",1
"A9IV",1
"A9IX",1
"A9IZ",1
"A9J0",1
"A9Q5",1
"A9TJ",2
"AA2A",1
"AA8V",1
"AA8X",1
"AA9M",1
"AAAS",1
"AAAY",1
"AAAZ",1
"AAB1",1
"AAB4",1
"AAB6",1
"AAB8",1
"AAB9",1
"AABA",1
"AABE",1
"AABF",1
"AABH",1
"AABI",1
"AABK",1
"AABO",1
"AABP",1
"AABR",1
"AABT",1
"AABU",1
"AABV",1
"AAPL",1
"AAPP",1
"AAPQ",1
"AAPS",1
"AAPU",1
"AAPY",1
"AAPZ",1
"AAQ0",1
"AAQ1",1
"AAQ2",1
"AAQ3",1
"AAQ6",1
"AAQA",1
"AAQE",1
"AAQI",1
"AAQJ",1
"AAQL",1
"AAQM",1
"AAUG",1
"AAUH",1
"AAUI",1
"AAUL",1
"AAUM",1
"AAUN",1
"AAUO",1
"AAUP",1
"AAUQ",1
"AAUR",1
"AAUS",1
"AAUT",1
"AAUU",1
"AAUV",1
"AAUW",1
