"x","freq"
"2687",1
"2689",1
"2690",1
"2691",1
"2692",1
"2693",1
"3400",1
"3591",1
"3592",1
"3725",2
"3731",2
"3732",2
"3742",2
"3902",1
"3911",1
"4021",1
"4022",1
"4110",1
"4745",1
"4749",1
"4957",1
"5265",1
"5337",1
"5654",2
"5830",1
"5831",1
"5869",1
"5917",1
"5918",1
"6136",1
"6154",1
"6155",1
"6156",1
"6157",1
"6158",1
"6160",1
"6198",1
"6233",1
"6235",1
"6464",1
"6465",1
"6506",1
"6507",1
"6508",1
"6509",1
"6510",1
"6511",1
"6512",1
"6513",1
"6514",1
"6544",1
"6547",1
"6549",1
"6571",1
"6572",2
"6619",1
"6620",1
"6621",1
"6622",1
"6623",1
"6624",1
"6641",1
"6643",2
"6644",1
"6655",1
"6672",1
"6681",1
"6682",1
"6683",1
"6702",1
"6810",1
"6811",1
"6812",1
"6813",1
"6814",1
"6861",1
"6863",1
"6864",1
"6881",1
"6882",1
"6883",1
"6884",1
"6885",1
"6897",1
"6903",1
"6917",1
"7002",1
"7004",1
"A0XA",1
"A1DC",1
"A1DD",1
"A1DE",1
"A1DF",1
"A1DG",1
"A1H8",1
"A56K",1
"A56L",1
"A56N",1
