"x" "freq"
"A0XZ" 2
"A0Y2" 2
"A0Y3" 2
"A0YZ" 2
"A0Z0" 2
"A0Z2" 2
"A0Z3" 2
"A0Z5" 2
"A0Z9" 2
"A0ZA" 2
"A0ZB" 2
"A0ZC" 2
"A0ZE" 2
"A0ZG" 2
"A0ZH" 2
"A0ZJ" 2
"A13K" 2
"A13L" 2
"A13M" 2
"A13O" 2
"A13P" 2
"A13R" 2
"A13S" 2
"A13T" 2
"A13U" 2
"A13V" 2
"A13W" 2
"A13X" 2
"A18Y" 2
"A18Z" 2
"A190" 2
"A191" 2
"A192" 2
"A1CS" 4
"A1CT" 4
"A1CU" 4
"A1CV" 4
"A1CW" 4
"A1JZ" 4
"A1K0" 2
"A1QD" 2
"A1QE" 2
"A1QF" 2
"A1QG" 2
"A1QH" 2
"A1QI" 2
"A1QL" 2
"A1QM" 2
"A1QN" 2
"A1QO" 2
"A1QQ" 2
"A1YA" 2
"A1YB" 2
"A1YC" 4
"A1YD" 2
"A1YE" 2
"A22I" 2
"A22J" 2
"A22K" 2
"A22L" 2
"A22M" 2
"A22N" 2
"A22O" 2
"A22P" 2
"A22Q" 2
"A22Z" 2
"A230" 2
"A231" 2
"A232" 2
"A233" 2
"A234" 2
"A235" 2
"A236" 2
"A237" 2
"A238" 2
"A239" 2
"A23A" 2
"A242" 2
"A25G" 2
"A25I" 2
"A25J" 2
"A25K" 2
"A25L" 2
"A25M" 2
"A25N" 2
"A25O" 2
"A25P" 2
"A25R" 2
"A26U" 2
"A27D" 2
"A28R" 4
"A28S" 2
"A28T" 2
"A28V" 2
"A28W" 4
"A28X" 4
"A28Z" 2
"A290" 4
"A291" 2
"A2C6" 4
"A2CJ" 2
"A2CK" 2
"A2CL" 2
"A2CN" 2
"A2CO" 2
"A2CP" 2
"A2CQ" 2
"A2CR" 2
"A2CS" 4
"A2CT" 2
"A2CU" 2
"A2EA" 2
"A2HM" 2
"A2JQ" 4
"A2K9" 4
"A2MX" 4
"A2MY" 2
"A2MZ" 2
"A2N0" 2
"A2N3" 2
"A2N4" 2
"A2N5" 4
"A2N7" 4
"A2N8" 4
"A2N9" 4
"A2NA" 4
"A2OL" 2
"A2OV" 2
"A2OW" 2
"A2OX" 2
"A2OY" 2
"A2OZ" 2
"A2P0" 2
"A2P1" 4
"A2P2" 2
"A2P3" 2
"A2P4" 2
"A2PN" 2
"A2PO" 2
"A2PP" 2
"A2PQ" 2
"A2PR" 2
"A2PS" 2
"A2PT" 2
"A2PU" 2
"A2PV" 2
"A2PW" 2
"A2PX" 2
"A2PY" 2
"A2PZ" 2
"A2Q0" 2
"A2Q1" 2
"A2Q2" 2
"A2Q3" 2
"A2Q4" 2
"A2Q5" 2
"A2Q6" 2
"A2Q7" 2
"A2Q9" 2
"A2QA" 2
"A2QB" 2
"A2QC" 2
"A2QD" 2
"A39I" 2
"A39J" 2
"A39K" 2
"A39L" 2
"A39M" 2
"A39N" 2
"A39O" 2
"A39P" 2
"A39R" 2
"A39S" 2
"A39T" 2
"A3AI" 2
"A3AJ" 2
"A3AK" 2
"A3AL" 2
"A3AN" 2
"A3AO" 2
"A3AP" 2
"A3AQ" 2
"A3AR" 2
"A3BL" 2
"A3BN" 2
"A3BO" 2
"A3BP" 2
"A3BQ" 2
"A3BS" 2
"A3BT" 2
"A3BU" 2
"A3BV" 2
"A3BW" 2
"A3BX" 2
"A3CL" 2
"A3CM" 2
"A3CN" 2
"A3CO" 2
