"x" "freq"
"A853" 2
"A8D6" 4
"A8D7" 4
"A8D8" 2
"A8D9" 2
"A8DB" 2
"A8DD" 2
"A8DE" 2
"A8DF" 2
"A8DG" 2
"A8DJ" 2
"A8M0" 2
"A8M1" 2
"A8M3" 2
"A8M4" 2
"A8M5" 2
"A8M6" 2
"A8M7" 2
"A8M8" 2
"A8OM" 2
"A8R8" 2
"A8R9" 2
"A8RB" 2
"A8RC" 2
"A8RD" 2
"A8RE" 2
"A8RF" 2
"A8RG" 2
"A8RH" 2
"A8RI" 2
"A8RL" 2
"A8YW" 2
"A92O" 2
"A92Q" 2
"A92T" 2
"A92U" 2
"A92V" 2
"A92W" 2
"A92X" 2
"A92Y" 2
"A92Z" 2
"A930" 2
"A931" 2
"A932" 2
"A933" 2
"A936" 2
"A95D" 2
"A95E" 2
"A95F" 2
"A95G" 2
"A95H" 2
"A961" 2
"A962" 2
"A963" 2
"A964" 2
"A965" 2
"A966" 2
"A969" 2
"A96A" 2
"A96B" 2
"A96C" 2
"A96D" 2
"A96E" 2
"A96F" 2
"A96G" 2
"A96H" 2
"A96I" 2
"A96K" 2
"A96L" 2
"A96M" 2
"A96O" 2
"A96P" 2
"A96Q" 2
"A96R" 2
"A96V" 2
"A9F9" 2
"A9FA" 2
"A9FB" 2
"A9FC" 2
"A9FD" 2
"A9QI" 2
"A9QJ" 2
"A9QL" 2
"A9QM" 2
"A9QN" 2
"A9QR" 2
"A9QS" 2
"A9QT" 2
"A9QU" 2
"A9QW" 2
"A9QX" 2
"A9RR" 2
"A9V6" 2
"A9WF" 2
"A9ZZ" 2
"AA9L" 2
"AAA7" 2
"AAAA" 2
"AAAF" 2
"AAAH" 2
"AAAP" 2
"AAXV" 2
"AAXW" 2
"AAXX" 2
"AAXY" 2
"AAXZ" 2
"AAY0" 2
"AAY1" 2
"AAYX" 2
"AAZ1" 2
"AAZ2" 2
"AAZ3" 2
"AB0D" 2
"AB0E" 2
"AB0F" 2
"AB0O" 2
"AB0Q" 2
"AB0T" 2
"AB14" 2
"AB19" 2
