"x","freq"
"A87T",1
"A87U",1
"A87W",1
"A87Y",1
"A880",1
"A881",1
"A882",1
"A883",1
"A884",1
"A885",1
"A888",1
"A88A",1
"A8K7",1
"A8K8",1
"A8K9",1
"A8KA",1
"A8KB",1
"A8KD",1
"A8KE",1
"A8KF",1
"A8KG",1
"A8KH",1
"A8KI",1
"A8KJ",1
"A8KK",1
"A8KL",1
"A8KM",1
"A8KN",1
"A8KO",1
"A980",1
"A982",1
"A983",1
"A984",1
"A985",1
"A9E5",1
"A9E7",1
"A9E8",1
"A9E9",1
"A9EA",1
"A9EC",1
"A9ED",1
"A9EE",1
"A9EF",1
"A9EH",1
"A9EI",1
"A9EJ",1
"A9EK",1
"A9EL",1
"A9EM",1
"A9EO",1
"A9EQ",1
"A9ES",1
"A9ET",1
"A9EU",1
"A9EV",1
"A9EW",1
"A9EX",1
"A9EY",1
"A9EZ",1
"A9F0",1
"A9F1",1
"A9F2",1
"A9F3",1
"A9F4",1
"A9F5",1
"A9F7",1
"A9F8",1
"A9ZX",1
"A9ZY",1
"AA8M",1
"AA8N",1
"AA8O",1
"AA8P",1
"AA8Q",1
"AA8R",1
"AA8S",1
"AA8T",1
"AA9A",1
"AA9E",1
"AB0B",1
