"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-1","count-2","count-3","count-4","count-5","probe"
"ZNF195",0.998929671193271,0.366632285226271,0.203365311296758,0.997415189209666,0.964630504862361,0.426035540230155,0.00612528573212234,0.00105606768842725,0.693311332503852,0.00379678002054962,379.455859124088,375.054484482759,414.143364356436,384.60042398374,438.626068493151,8.35019725220974,7.66769440926188,14.6162639847536,8.0588629435969,19.2710384678326,313.3098,314.58455,299.8512,298.866175,296.54345,431.4325,433.286825,517.1181,442.113075,533.798175,137,174,101,246,146,""
"ZNF263",0.0100415086195358,0.27423641817957,0.89701072131592,0.107930206871279,0.781315181188286,0.999999998421798,2.82052831357404e-06,0,0,0,920.834916058394,1036.35292643678,1001.48563465347,1001.15136138211,730.043682876712,22.6167703093422,26.0078804184378,38.0923191392123,20.507765582156,17.9119237833235,729.98,786.47,737.2488,772.7117,584.29435,1058.0554,1259.92765,1154.6996,1138.307425,831.071725,137,174,101,246,146,"cg17171916 cg23412875"
"ZNF200",0.430762065527807,0.762983150713257,0.0422855014429342,0.99946312028697,0.178505508848786,0.801686935785676,0.985672180032889,0.758128979325929,0.452778623211298,0.926081999346561,276.97833649635,260.646953448276,289.946677227723,278.959715447154,271.824860958904,6.80676772334707,5.75008487892425,9.97985931047869,5.4631238239372,6.6952220385744,224.5422,211.79595,223.3324,217.299,222.176025,310.992,298.211825,326.4939,316.080775,314.7024,137,174,101,246,146,"cg00861635 cg26091688"
"ZNF582",0.998657115962676,0.000153399014292899,1.77912663050783e-05,0.0212789325739156,0.00331135799119764,0.226028289878099,4.3439147767721e-07,5.44073108788012e-09,0.961432972875041,0.0123801369496708,63.151497810219,64.1730189655172,44.9440891089109,52.8316089430894,42.1451054794521,2.42015276839291,2.69366879851888,3.18477953360093,2.13774930362818,2.28595807418225,44.8048,35.37855,18.3434,26.84115,22.78945,81.4873,85.467675,67.2688,71.978325,58.506925,137,174,101,246,146,""
"ZNF285",0.301872493214869,0.984141693464141,0.139657089702504,0.946667690143766,0.609584760172448,0.716874360120099,0.00346138630581994,0.363063782001552,0.00135317131035406,0.00866539622446849,86.0710416058394,100.483890804598,81.5181415841584,91.2373609756098,113.82931369863,4.07620837778265,5.07909321052163,7.09934827000928,4.0409383667439,6.27625945891747,56.8403,62.057925,20.7174,48.079275,60.676325,109.0666,133.418625,127.8846,123.632975,140.9868,137,174,101,246,146,"cg09030119 cg26918645"
"ZNF275",0.991370014326476,0.997208221754135,0.999997238395799,0.99664387851347,0.999912031652744,0.99999787452267,0.693978171251961,0.355019143801775,0.541395419562102,0.353375693518375,626.004287591241,613.227237356322,615.055557425743,616.673300813008,664.135188356164,19.2753869653013,17.9478304648043,26.6396873648229,16.073921162941,21.2394903840522,464.7127,462.96155,399.752,453.277525,479.822275,744.9643,717.034625,804.2371,738.8323,828.008425,137,174,101,246,146,""
"ZNF37A",0.578078847613667,0.0192178126845501,0.338732390165814,0.881571117619709,0.958244685983752,0.0806939002002078,0.98140686510999,0.891070101955362,0.0724603584189734,0.997523779235645,714.502409489051,767.303850574713,840.237708910891,745.845985365854,735.144070547945,23.7860706444498,22.7657498130932,38.2825851319666,20.1121989559009,24.7732434529506,550.0365,553.2546,577.3597,531.746475,489.596525,804.9451,933.4518,1014.5086,870.4091,909.784975,137,174,101,246,146,"cg13531842 cg15873633"
"ZNF510",0.981937461202716,0.753421138863479,0.399893786508086,0.962357264224286,0.999985689159748,0.300003574448179,0.000541813314349104,0.0019074667641632,9.74005068987704e-06,0.000899715412099544,366.356205109489,358.866543678161,385.065300990099,357.813376422764,308.94874109589,9.51615240084844,8.87910982104861,13.8063704653528,7.36088020546483,9.97374525266927,301.9528,281.395525,300.9231,267.536825,222.0402,421.5995,425.6695,457.5359,439.527275,370.5351,137,174,101,246,146,""
"ZNF506",0.995743231135753,0.621232074378785,0.787893647995223,0.995048844299964,0.999999993943827,0.744336376728607,0.718651254694768,0.426284640751929,0.0744975610154951,0.357801236703151,437.769308029197,445.568798275862,471.343667326733,445.339011788618,410.662582876712,12.565283321946,11.6770702208447,22.1310687663157,11.3023871353511,17.7072212375416,333.6698,325.56965,322.8402,352.66685,266.48065,528.1877,551.679,600.885,540.493225,549.439825,137,174,101,246,146,""
"ZNF324",0.220053730588638,0.84821409146634,0.0243807032318138,0.784623893507758,0.753696466314214,0.197581652363297,0.914158729981666,0.0204502555636632,0.999186062729407,0.20665229826574,206.667362043796,234.320722988506,191.32710990099,220.676158130081,194.999957534247,6.20341133045986,9.38694318000674,6.64446644784006,9.78318325370671,6.91947754691887,165.9348,173.277525,145.4599,161.65395,144.724675,236.7431,260.95225,224.8863,248.022425,226.459925,137,174,101,246,146,"cg23473726 cg27401095"
